語句,読み,意味,語源等解説,関連語,関連分野,難易度
Where is the station?,Where is the station?,会話表現: Where is the station? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the library?,Where is the library?,会話表現: Where is the library? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the hospital?,Where is the hospital?,会話表現: Where is the hospital? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the museum?,Where is the museum?,会話表現: Where is the museum? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the hotel?,Where is the hotel?,会話表現: Where is the hotel? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the restaurant?,Where is the restaurant?,会話表現: Where is the restaurant? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the toilet?,Where is the toilet?,会話表現: Where is the toilet? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the bus stop?,Where is the バス stop?,会話表現: Where is the bus stop? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the airport?,Where is the airport?,会話表現: Where is the airport? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the post office?,Where is the post office?,会話表現: Where is the post office? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the bank?,Where is the bank?,会話表現: Where is the bank? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the park?,Where is the park?,会話表現: Where is the park? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the school?,Where is the school?,会話表現: Where is the school? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the classroom?,Where is the classroom?,会話表現: Where is the classroom? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the city hall?,Where is the シティ hall?,会話表現: Where is the city hall? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the police station?,Where is the ポリス station?,会話表現: Where is the police station? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the convenience store?,Where is the convenience store?,会話表現: Where is the convenience store? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the supermarket?,Where is the supermarket?,会話表現: Where is the supermarket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the bookstore?,Where is the bookstore?,会話表現: Where is the bookstore? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the bakery?,Where is the bakery?,会話表現: Where is the bakery? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
