語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
apple,アップル,りんご,丸く甘い果物。見た目（赤）で結びつけると記憶しやすい。,fruit:果物,食べ物,1
bird,バード,とり,古英語 'brid' に由来する一般名詞。羽やさえずりをイメージして覚える。,chick:ひな; feather:羽,動物,1
cat,キャット,ねこ,家庭で親しまれる小動物。kitten（子猫）とセットで覚える。,kitten:子猫,動物,1
dog,ドッグ,いぬ,人になつく代表的なペット。puppy（子犬）と合わせて覚える。,puppy:子犬,動物,1
mouse,マウス,ねずみ,小さな哺乳類。computer mouseと用法の違いを押さえる。,mice:複数形,自然,1
rabbit,ラビット,うさぎ,長い耳と跳ねる動作でイメージしやすい。bunnyは親しみ語。,bunny:ひな,自然,1
duck,ダック,あひる,水辺の鳥。鳴き声（quack）で覚えると定着しやすい。,goose:がちょう,自然,1
frog,フロッグ,かえる,跳ねるイメージで覚える。toadと比較して種の違いを学ぶ。,toad:ヒキガエル,自然,1
lion,ライオン,ライオン,強いイメージ（百獣の王）で覚える。tigerと対比すると理解が深まる。,tiger:トラ,自然,2
eagle,イーグル,わし,猛禽類の代表。大きな翼と鋭い目でイメージする。,hawk:タカ,自然,2
whale,ホエール,くじら,大型の海洋哺乳類。大きさを想像して記憶する。,dolphin:イルカ,科学,2
shark,シャーク,サメ,海の捕食者。鋭い歯のイメージで覚える。,whale:くじら,日常,2
fish,フィッシュ,さかな,水中の一般語。swim（泳ぐ）とセットで学ぶ。,shrimp:えび,動物,1
chicken,チキン,にわとり・鶏肉,家禽と食材の両方で使う語。chickはひな。,egg:卵,食べ物,1
cow,カウ,うし,農場の家畜。milkやbeefと関連付けて覚える。,beef:牛肉,日常,1
pig,ピッグ,ぶた,家畜の一種。pork（豚肉）との語彙関係を押さえる。,hog:ブタ,日常,1
horse,ホース,うま,乗る・仕事に使われる動物。rideと結びつけて覚える。,pony:子馬,日常,1
bee,ビー,はち,花と蜜の関係で覚えると良い。honeyとセットで学ぶ。,honey:はちみつ,自然,1
ant,アント,あり,小さな昆虫。働き者のイメージで覚える。,nest:巣,自然,1
tree,ツリー,き,植物の代表。leafやrootと合わせて学ぶ。,leaf:葉,自然,1
flower,フラワー,はな,色や形で視覚的に覚えやすい語。petalと合わせて学ぶ。,petal:花びら,自然,1
leaf,リーフ,は,植物の一部分。green（緑）と結びつけると定着。,branch:枝,自然,1
grass,グラス,くさ,地面を覆う植物。lawn（芝生）と合わせて学ぶ。,park:公園,日常,1
fruit,フルーツ,くだもの,appleなどのグループ語。味や色で分類して覚える。,apple:りんご,食べ物,1
vegetable,ベジタブル,やさい,食材グループ。cookingと関連づけて学ぶ。,carrot:にんじん,日常,1
rice,ライス,ごはん・米,日本の食習慣と結びつけて覚える。,meal:食事,日常,1
bread,ブレッド,パン,小麦由来の主食。toastとセットで覚える。,butter:バター,日常,1
meat,ミート,にく,肉類の総称。beefやporkと合わせて学ぶ。,beef:牛肉,日常,1
egg,エッグ,たまご,栄養豊富な食品。breakfastと関連して覚える。,omelet:オムレツ,日常,1
milk,ミルク,ぎゅうにゅう,飲料としての基礎語。cerealと合わせて学ぶ。,cheese:チーズ,日常,1
water,ウォーター,みず,生命に不可欠な語。drinkやriverと結びつけて覚える。,river:川,日常,1
juice,ジュース,ジュース,果汁を元にした飲み物。orangeと結びつけて学ぶ。,orange:オレンジ,食べ物,1
tea,ティー,おちゃ,hot drinkの代表。文化的背景も話題にすると覚えやすい。,coffee:コーヒー,食べ物,1
coffee,コーヒー,コーヒー,豆を焙煎して抽出する飲料。cafeと関連づけて学ぶ。,drink:飲み物,食べ物,1
breakfast,ブレックファスト,あさごはん,朝の食事。morningとセットで例文を作る。,lunch:昼ごはん,日常,1
lunch,ランチ,ひるごはん,昼の食事。school lunchなど実用例を想起すると良い。,dinner:夕ごはん,日常,1
dinner,ディナー,ゆうごはん,夜の主要な食事。supperとの違いを短く補足して学ぶ。,supper:夕食,食べ物,1
school,スクール,がっこう,学ぶ場としての語。classやstudentと合わせて覚える。,teacher:先生,学校,1
teacher,ティーチャー,せんせい,teach（教える）に由来する職業語。roleを意識して覚える。,student:学生,学校,1
student,スチューデント,がくせい,学ぶ人。classやhomeworkと実例で定着。,pupil:生徒,学校,1
book,ブック,ほん,読む物の総称。titleやauthorと合わせて学ぶ。,novel:小説,学校,1
pen,ペン,ぺん,書く道具。pencilやeraserと合わせて覚える。,pencil:えんぴつ,日常,1
pencil,ペンシル,えんぴつ,書く道具。eraserとセットで覚える。,eraser:消しゴム,日常,1
notebook,ノート,ノート,書き留める道具。lessonと合わせて使うと実践的。,paper:紙,日常,1
desk,デスク,つくえ,教室の家具。chairと合わせて覚える。,chair:いす,学校,1
