語句,発音（カタカナ）,和訳,語源等解説や覚え方（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
get up,ゲット アップ,起きる,get（得る）+ up（上へ）で「起き上がる」,wake up:目を覚ます,日常,1
go to bed,ゴー トゥ ベッド,寝る,bed（ベッド）へ行くことから「就寝する」,sleep:眠る,日常,1
look for,ルック フォー,探す,look（見る）+ for（～を求めて）で「～を探す」,search for:捜索する,日常,1
look at,ルック アット,見る,look（見る）+ at（～を）で「～を見る」,watch:注視する,日常,1
look after,ルック アフター,世話する,look（見る）+ after（～の後を）で「面倒を見る」,take care of:世話をする,家族,2
take care of,テイク ケア オブ,世話する,care（世話）を take（する）ことから,look after:面倒を見る,家族,2
put on,プット オン,着る,put（置く）+ on（身に）で「身につける」,wear:着ている,日常,1
take off,テイク オフ,脱ぐ,take（取る）+ off（離して）で「脱ぐ」,remove:取り除く,日常,1
turn on,ターン オン,つける,turn（回す）+ on（入れる）で電気などを「つける」,switch on:スイッチを入れる,日常,1
turn off,ターン オフ,消す,turn（回す）+ off（切る）で電気などを「消す」,switch off:スイッチを切る,日常,1
come back,カム バック,帰ってくる,come（来る）+ back（戻って）で「戻ってくる」,return:戻る,日常,1
go back,ゴー バック,戻る,go（行く）+ back（後ろへ）で「戻る」,return:帰る,日常,1
sit down,シット ダウン,座る,sit（座る）+ down（下に）で「着席する」,take a seat:席につく,学校,1
stand up,スタンド アップ,立つ,stand（立つ）+ up（上へ）で「起立する」,rise:立ち上がる,学校,1
listen to,リスン トゥ,聞く,listen（聴く）+ to（～に）で「～を聴く」,hear:聞こえる,学校,1
wait for,ウェイト フォー,待つ,wait（待つ）+ for（～を）で「～を待つ」,expect:期待する,日常,1
talk to,トーク トゥ,話す,talk（話す）+ to（～に）で「～に話しかける」,speak to:～と話す,日常,1
think about,シンク アバウト,考える,think（考える）+ about（～について）で「～について考える」,consider:熟考する,学校,2
look forward to,ルック フォワード トゥ,楽しみにする,forward（前方へ）を見ることから「期待する」,expect:期待する,感情,2
be interested in,ビー インタレステッド イン,興味がある,interest（興味）を持っていることから,be curious about:好奇心がある,感情,2
be good at,ビー グッド アット,得意である,good（上手）at（～において）で「～が得意」,excel at:秀でている,学校,1
be afraid of,ビー アフレイド オブ,恐れる,afraid（恐れて）of（～を）で「～を恐れる」,fear:恐怖,感情,2
take part in,テイク パート イン,参加する,part（部分）をtakeすることから「一部となる」,participate in:関与する,学校,2
get on,ゲット オン,乗る,get（得る）+ on（上に）で乗り物に「乗る」,board:乗車する,交通,1
get off,ゲット オフ,降りる,get（得る）+ off（離れて）で乗り物から「降りる」,alight:降車する,交通,1
turn right,ターン ライト,右に曲がる,turn（曲がる）+ right（右へ）で「右折する」,go right:右へ行く,交通,1
turn left,ターン レフト,左に曲がる,turn（曲がる）+ left（左へ）で「左折する」,go left:左へ行く,交通,1
go straight,ゴー ストレイト,まっすぐ行く,go（行く）+ straight（まっすぐ）で「直進する」,continue straight:直進を続ける,交通,1
come from,カム フロム,出身である,come（来る）+ from（～から）で「～から来る」,be from:～出身,日常,1
grow up,グロウ アップ,成長する,grow（成長する）+ up（上へ）で「育つ」,mature:成熟する,家族,2
good morning,グッド モーニング,おはよう,挨拶の定番,hello:こんにちは,日常,1
good night,グッド ナイト,おやすみ,挨拶（夜）,goodbye:さようなら,日常,1
see you,シー ユー,またね,別れの挨拶,bye:バイバイ,日常,1
how are you,ハウ アー ユー,元気ですか,相手の調子を尋ねる定型表現,how do you do:はじめまして,日常,1
nice to meet you,ナイス トゥ ミート ユー,はじめまして,初対面の挨拶,pleased to meet you:お会いできてうれしい,日常,1
get down,Get Down,得る/なる 下へ,get + down の結合でできる慣用表現。動作の停止・解除,get:得る/なる,日常,1
get in,Get In,得る/なる 中に,get + in の結合でできる慣用表現。内への動作,get:得る/なる,日常,1
get out,Get Out,得る/なる 外へ,get + out の結合でできる慣用表現。外への動作,get:得る/なる,日常,1
get back,Get Back,得る/なる 戻る,get + back の結合でできる慣用表現。復帰・逆戻り,get:得る/なる,日常,1
get away,Get Away,得る/なる 離れて,get + away の結合でできる慣用表現。離脱を示す,get:得る/なる,日常,1
get over,Get Over,得る/なる 越えて/再度,get + over の結合でできる慣用表現。完了や繰り返し,get:得る/なる,日常,1
get about,Get About,得る/なる 約/～について,get + about の結合でできる慣用表現。おおよその意や話題,get:得る/なる,日常,1
get after,Get After,得る/なる 後に/世話,get + after の結合でできる慣用表現。時の後続や世話を表す,get:得る/なる,日常,1
get for,Get For,得る/なる ～のために/目的,get + for の結合でできる慣用表現。目的を示す,get:得る/なる,日常,1
get with,Get With,得る/なる ～と一緒に,get + with の結合でできる慣用表現。同行や付帯,get:得る/なる,日常,1
get into,Get Into,得る/なる ～の中へ,get + into の結合でできる慣用表現。内部への移動,get:得る/なる,日常,1
get through,Get Through,得る/なる 通して,get + through の結合でできる慣用表現。貫通・通過,get:得る/なる,日常,1
get away from,Get Away From,得る/なる ～から離れて,get + away from の結合でできる慣用表現。起点からの離脱,get:得る/なる,日常,1
get around,Get Around,得る/なる 周りに/だいたい,get + around の結合でできる慣用表現。周辺やおおむね,get:得る/なる,日常,1
get across,Get Across,得る/なる 横切って,get + across の結合でできる慣用表現。横断,get:得る/なる,日常,1
get along,Get Along,得る/なる 沿って,get + along の結合でできる慣用表現。沿って移動,get:得る/なる,日常,1
get throughout,Get Throughout,得る/なる 全体に,get + throughout の結合でできる慣用表現。全域を通じて,get:得る/なる,日常,1
go up,Go Up,行く 上へ,go + up の結合でできる慣用表現。動作の完了,go:行く,日常,1
go down,Go Down,行く 下へ,go + down の結合でできる慣用表現。動作の停止・解除,go:行く,日常,1
go on,Go On,行く ～の上に/作動,go + on の結合でできる慣用表現。作動や継続を示す,go:行く,日常,1
go off,Go Off,行く ～から離れて/停止,go + off の結合でできる慣用表現。停止や除去を示す,go:行く,日常,1
go in,Go In,行く 中に,go + in の結合でできる慣用表現。内への動作,go:行く,日常,1
go out,Go Out,行く 外へ,go + out の結合でできる慣用表現。外への動作,go:行く,日常,1
go away,Go Away,行く 離れて,go + away の結合でできる慣用表現。離脱を示す,go:行く,日常,1
go over,Go Over,行く 越えて/再度,go + over の結合でできる慣用表現。完了や繰り返し,go:行く,日常,1
go about,Go About,行く 約/～について,go + about の結合でできる慣用表現。おおよその意や話題,go:行く,日常,1
go after,Go After,行く 後に/世話,go + after の結合でできる慣用表現。時の後続や世話を表す,go:行く,日常,1
go for,Go For,行く ～のために/目的,go + for の結合でできる慣用表現。目的を示す,go:行く,日常,1
go with,Go With,行く ～と一緒に,go + with の結合でできる慣用表現。同行や付帯,go:行く,日常,1
go into,Go Into,行く ～の中へ,go + into の結合でできる慣用表現。内部への移動,go:行く,日常,1
go through,Go Through,行く 通して,go + through の結合でできる慣用表現。貫通・通過,go:行く,日常,1
go away from,Go Away From,行く ～から離れて,go + away from の結合でできる慣用表現。起点からの離脱,go:行く,日常,1
go around,Go Around,行く 周りに/だいたい,go + around の結合でできる慣用表現。周辺やおおむね,go:行く,日常,1
go across,Go Across,行く 横切って,go + across の結合でできる慣用表現。横断,go:行く,日常,1
go along,Go Along,行く 沿って,go + along の結合でできる慣用表現。沿って移動,go:行く,日常,1
go throughout,Go Throughout,行く 全体に,go + throughout の結合でできる慣用表現。全域を通じて,go:行く,日常,1
look up,Look Up,見る 上へ,look + up の結合でできる慣用表現。動作の完了,look:見る,日常,1
look down,Look Down,見る 下へ,look + down の結合でできる慣用表現。動作の停止・解除,look:見る,日常,1
look on,Look On,見る ～の上に/作動,look + on の結合でできる慣用表現。作動や継続を示す,look:見る,日常,1
look off,Look Off,見る ～から離れて/停止,look + off の結合でできる慣用表現。停止や除去を示す,look:見る,日常,1
look in,Look In,見る 中に,look + in の結合でできる慣用表現。内への動作,look:見る,日常,1
look out,Look Out,見る 外へ,look + out の結合でできる慣用表現。外への動作,look:見る,日常,1
look back,Look Back,見る 戻る,look + back の結合でできる慣用表現。復帰・逆戻り,look:見る,日常,1
look away,Look Away,見る 離れて,look + away の結合でできる慣用表現。離脱を示す,look:見る,日常,1
look over,Look Over,見る 越えて/再度,look + over の結合でできる慣用表現。完了や繰り返し,look:見る,日常,1
look about,Look About,見る 約/～について,look + about の結合でできる慣用表現。おおよその意や話題,look:見る,日常,1
