年号,登場人物,史実名,解説,関連史実,関連分野,難易度
4世紀頃,大和朝廷の豪族たち,大和政権の成立,弥生時代後期に各地の豪族が力を持つようになる。畿内の豪族が協力して大和地方に統一勢力を形成。古墳を築くことで権威を示し、朝鮮半島との交流を通じて鉄器や文字を導入した結果、古代国家の基礎ができた。,古墳文化・律令以前の統合過程,その他,2
593 (推古天皇時代),聖徳太子・蘇我馬子・推古天皇,聖徳太子の摂政,蘇我氏と物部氏の争いで蘇我氏が勝利し、政権を握る。蘇我馬子が推古天皇を擁立し、その甥である厩戸皇子（聖徳太子）を摂政とする。仏教を取り入れ、隋の進んだ制度を学ぶことで国家体制を整備しようとした。,十七条憲法(604);遣隋使,その他,2
604,聖徳太子,十七条憲法の制定,豪族同士の争いが絶えず、中央集権化が進まない。聖徳太子が豪族や官僚の心構えを示すため、仏教や儒教の教えに基づいた十七条憲法を制定。「和を以て貴しとなす」など、協調と天皇への服従を説いた。,推古朝の改革,その他,2
645,中大兄皇子・中臣鎌足,大化の改新,蘇我氏が専横を極め、天皇の権威を脅かす。中大兄皇子と中臣鎌足が蘇我入鹿を暗殺（乙巳の変）。その後、唐の律令制を模範に、公地公民制や班田収授法を導入し、天皇中心の中央集権国家を目指した。,皇位と律令国家の成立過程,その他,3
701 (大宝律令),天武天皇・持統天皇,大宝律令の制定,中央集権国家を実現するため、法律体系が必要になる。中国の唐の律令を参考に、刑法（律）と行政法（令）からなる大宝律令を制定。国家の仕組み、税制、官職などを詳細に定め、律令国家の基礎を確立した。,律令制・班田収授法,その他,3
710 (和銅3年),元明天皇・藤原不比等,平城京遷都,藤原京では狭くなり、唐の長安を模した大規模な都が必要になる。奈良盆地に碁盤の目状の平城京を造営し、遷都。仏教を国家の守護とし、東大寺など大寺院を建立。貴族文化が栄え、律令国家が本格的に機能し始めた。,仏教の公的受容;東大寺,地理,2
752,聖武天皇,東大寺大仏の開眼,聖武天皇の時代、疫病や飢饉、反乱が相次ぐ。仏教の力で国家を鎮護しようと、奈良に巨大な盧舎那仏（大仏）を造立。全国から人と資材を集める国家事業として実施。天平文化の象徴となった。,平城京・聖武天皇,文化,2
794 (延暦13年),桓武天皇,平安京遷都,奈良の寺院勢力が政治に介入し、天皇の権威を脅かす。桓武天皇が長岡京を経て、京都（平安京）に遷都。都を新しくすることで寺院の影響力を排除し、天皇の権力を強化。平安時代の幕開けとなった。,藤原氏の政権形成,地理,2
894,菅原道真,遣唐使の停止,唐の国力が衰え、政治が混乱。遣唐使派遣のリスクが高まる。菅原道真が遣唐使の停止を提言し、以後中国への公式使節が途絶える。これにより日本独自の文化（国風文化）が発展するきっかけとなった。,国風文化の成立,文化,2
1008,紫式部・藤原道長,『源氏物語』の成立（紫式部）,藤原道長が摂関政治の全盛期を迎え、貴族社会が最も華やかになる。宮廷に仕える女性作家たちが活躍し、仮名文字を使った文学が発展。紫式部が『源氏物語』を執筆し、日本文学の最高峰となった。,平安文学・枕草子,文化,2
1156,崇徳上皇・後白河天皇・平清盛・源義朝,保元の乱,藤原氏の摂関政治が衰退し、上皇（院）が政治を行う院政が始まる。崇徳上皇と後白河天皇の皇位継承争いが発生。双方が武士（源氏・平氏）を味方につけて戦い、後白河側が勝利。武士が政治の表舞台に登場するきっかけとなった。,平治の乱・源平合戦,その他,3
1159,平清盛・源義朝・藤原信頼,平治の乱,保元の乱後、平清盛と源義朝が対立。源義朝が藤原信頼と組んで後白河上皇を幽閉するクーデターを起こすが、平清盛が鎮圧。源氏は敗北し、義朝は殺され、子の頼朝は伊豆に流される。平氏の天下となり、武士の力がさらに強まった。,鎌倉幕府成立へ,その他,3
1180-1185,源頼朝・源義経・平清盛,源平合戦（壇ノ浦の戦い）,平清盛が太政大臣となり平氏政権を樹立するが、専横に不満が高まる。源頼朝が伊豆で挙兵し、各地の源氏や武士が呼応。一の谷、屋島、壇ノ浦の戦いで源氏が勝利し、平氏は滅亡。武士が政治の実権を握る時代の始まり。,鎌倉幕府成立(1192),その他,3
1192 (建久3年),源頼朝,鎌倉幕府成立,源平合戦で勝利した源頼朝が、東国を支配する基盤を固める。朝廷から征夷大将軍に任命され、鎌倉に幕府を開く。守護・地頭を全国に配置し、武家による政治体制（幕府）を確立。武士が初めて政権の中心となった。,幕府政治の基本,その他,3
1221,後鳥羽上皇・北条義時,承久の乱,後鳥羽上皇が幕府の力が強まることを恐れ、執権北条義時の追討を命じる。朝廷側と幕府側が戦い、幕府軍が圧勝。上皇は隠岐に流され、朝廷の力は大きく弱まる。以後、幕府が朝廷を監視する体制が確立した。,武家政権の優位化,その他,3
"1274,1281",モンゴル帝国（元）のフビライ・ハンが日本に服属を要求するが、幕府は拒否。元軍が2度（文永・弘安）にわたり九州北部に襲来。武士が必死に防戦し、暴風雨（神風）の助けもあり元軍は撤退。しかし恩賞不足で御家人が困窮し、幕府への不満が高まった。,元寇（文永・弘安の役）,防衛と御家人の結束、弘安の役での台風（神風）伝説を含む,元との外交・防衛,その他,3
1333,元寇後の恩賞不足で御家人が困窮し、幕府への不満が蓄積。後醍醐天皇が倒幕を計画し、足利尊氏や新田義貞らが呼応。鎌倉幕府は滅亡し、天皇親政（建武の新政）が始まるが、武士の不満で短期間で崩壊した。,鎌倉幕府滅亡,建武の新政成立と南北朝動乱への移行を理解,建武の新政,その他,3
1336,建武の新政が公家優遇で武士の不満を招く。足利尊氏が後醍醐天皇に反旗を翻し、京都に幕府を開く。後醍醐天皇は吉野に逃れ、南北朝の分裂が始まる。室町幕府は京都に置かれ、文化の中心となった。,室町幕府（足利政権）の成立,南北朝時代を経て室町文化の特徴を学ぶ,南北朝の動乱,その他,3
