Report: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英単語.csv
Backup used: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英単語.csv.single.bak

row	key	old_related	new_related
2	apple	日常;食べ物・飲食	日常
4	cat	動物;住居・建物	動物
5	dog	動物;住居・建物	動物
6	mouse	動物;自然	自然
7	rabbit	動物;自然	自然
8	duck	動物;自然	自然
9	frog	動物;自然	自然
10	lion	動物;自然	自然
11	eagle	動物;自然	自然
12	whale	動物;日常	日常
13	shark	動物;日常	日常
14	fish	食べ物・飲食;日常;動物	日常
15	chicken	食べ物・飲食;動物	食べ物・飲食
16	cow	動物;日常	日常
17	pig	動物;日常	日常
18	horse	動物;日常	日常
19	bee	動物;自然	自然
20	ant	動物;自然	自然
21	tree	自然;植物	自然
22	flower	自然;文化・芸術・娯楽	自然
23	leaf	自然;植物	自然
24	grass	自然;日常	日常
25	fruit	食べ物・飲食;自然	食べ物・飲食
26	vegetable	食べ物・飲食;日常;交通・移動	日常
27	rice	食べ物・飲食;日常	日常
28	bread	食べ物・飲食;日常	日常
29	meat	食べ物・飲食;日常	日常
30	egg	食べ物・飲食;日常	日常
31	milk	食べ物・飲食;日常	日常
32	water	自然;日常	日常
33	juice	食べ物・飲食;時間・頻度	食べ物・飲食
34	tea	食べ物・飲食;文化・芸術・娯楽	食べ物・飲食
35	coffee	食べ物・飲食;文化・芸術・娯楽	食べ物・飲食
36	breakfast	食べ物・飲食;日常	日常
37	lunch	食べ物・飲食;日常	日常
38	dinner	食べ物・飲食;文化・芸術・娯楽	食べ物・飲食
40	teacher	学校・学習;仕事・職業	学校・学習
42	book	学校・学習;文化・芸術・娯楽	学校・学習
43	pen	学校・学習;日常	日常
44	pencil	学校・学習;日常	日常
45	notebook	学校・学習;日常	日常
46	desk	学校・学習;住居・建物	学校・学習
47	chair	学校・学習;住居・建物	学校・学習
48	room	日常;住居・建物	日常
49	house	住居・建物;日常	日常
51	bus	交通・移動;公共・サービス;天体・天気	交通・移動
52	train	交通・移動;天体・天気	交通・移動
53	plane	交通・移動;日常	日常
54	airport	日常;交通・移動;物理・状態	日常
56	map	方角・場所・地理;日常	日常
57	city	方角・場所・地理;日常	日常
58	village	方角・場所・地理;日常	日常
59	market	商業・買い物;日常	日常
61	restaurant	食べ物・飲食;公共・サービス	食べ物・飲食
62	bank	日常;公共・サービス	日常
63	hospital	医療・健康;公共・サービス	医療・健康
64	police	公共・サービス;仕事・職業	仕事・職業
65	firefighter	仕事・職業;公共・サービス	仕事・職業
68	camera	文化・芸術・娯楽;日常;物理・状態	日常
69	music	文化・芸術・娯楽	文化・芸術
70	movie	文化・芸術・娯楽	文化・芸術
71	library	学校・学習;日常	日常
72	friend	日常;家族・人間関係	日常
73	family	日常;家族・人間関係	日常
74	mother	日常;家族・人間関係	日常
75	father	日常;家族・人間関係	日常
76	sister	日常;家族・人間関係	日常
77	brother	日常;家族・人間関係	日常
78	happy	感情・思考・認知;日常	日常
79	sad	感情・思考・認知;学校・学習	学校・学習
80	angry	感情・思考・認知;日常	日常
81	cold	自然;医療・健康;物理・状態	自然
82	hot	自然;日常;物理・状態	日常
83	warm	自然;日常	日常
84	summer	日常;自然	日常
85	spring	日常;自然	日常
86	autumn	日常;自然	日常
87	rain	自然;日常;天体・天気	日常
88	snow	自然;日常	日常
89	sun	天体・天気;自然	自然
90	moon	天体・天気;自然	自然
91	star	天体・天気;文化・芸術・娯楽	文化・芸術
92	light	自然;物理・状態	自然
93	dark	自然;日常;物理・状態	日常
94	open	文法・表現;物理・状態	文法・表現
95	close	文法・表現;物理・状態	文法・表現
96	start	文法・表現;日常;天体・天気	日常
97	finish	文法・表現;物理・状態	文法・表現
98	use	文法・表現;日常	日常
99	make	文法・表現;日常	日常
100	have	文法・表現;物理・状態	文法・表現
101	get	文法・表現;日常	日常
102	see	文法・表現;日常	日常
103	hear	文法・表現;日常	日常
106	write	文法・表現;学校・学習	学校・学習
107	read	文法・表現;学校・学習	学校・学習
109	learn	文法・表現;学校・学習	学校・学習
110	think	文法・表現;感情・思考・認知	文法・表現
111	know	文法・表現;感情・思考・認知	文法・表現
112	like	文法・表現;感情・思考・認知	文法・表現
113	love	文法・表現;感情・思考・認知	文法・表現
114	want	文法・表現;日常	日常
115	need	文法・表現;日常	日常
119	must	文法・表現;日常	日常
