Report: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英熟語.csv
Backup used: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英熟語.csv.preaugment.bak

Key	Old Related	New Related
put on	学校・学習	学校・学習;食べ物・飲食
put off	学校・学習	学校・学習;家族・人間関係
put out	学校・学習	学校・学習;住居・建物
I'm fine, thank you.	日常	日常;仕事・職業
put up	学校・学習	学校・学習;医療・健康
put away	学校・学習	学校・学習;公共・サービス
put back	学校・学習	学校・学習;商業・買い物
put through	学校・学習	学校・学習;自然
get up	学校・学習	学校・学習;植物
get off	学校・学習	学校・学習;天体・天気
get on	学校・学習	学校・学習;文化・芸術・娯楽
get out	学校・学習	学校・学習;物理・状態
get over	学校・学習	学校・学習;文法・表現
get along	学校・学習	学校・学習
get through	学校・学習	学校・学習
get back	学校・学習	学校・学習
get around	学校・学習	学校・学習
bring up	学校・学習	学校・学習
bring out	学校・学習	学校・学習
bring back	学校・学習	学校・学習
bring about	学校・学習	学校・学習
go out	学校・学習	学校・学習
go in	学校・学習	学校・学習
go on	学校・学習	学校・学習
go off	学校・学習	学校・学習
go over	学校・学習	学校・学習
go through	学校・学習	学校・学習
go back	学校・学習	学校・学習
go ahead	学校・学習	学校・学習
go away	学校・学習	学校・学習
go along	学校・学習	学校・学習
give up	学校・学習	学校・学習
give in	学校・学習	学校・学習
give out	学校・学習	学校・学習
give back	学校・学習	学校・学習
give away	学校・学習	学校・学習
call up	学校・学習	学校・学習
call off	学校・学習	学校・学習
call back	学校・学習	学校・学習
call for	学校・学習	学校・学習
call on	学校・学習	学校・学習
look at	学校・学習	学校・学習;方角・場所・地理;時間・頻度
look for	学校・学習	学校・学習
look after	学校・学習	学校・学習
look up	学校・学習	学校・学習
look over	学校・学習	学校・学習
look into	学校・学習	学校・学習
look out	学校・学習	学校・学習
look back	学校・学習	学校・学習
look around	学校・学習	学校・学習
take off	学校・学習	学校・学習
take on	学校・学習	学校・学習
take out	学校・学習	学校・学習
take up	学校・学習	学校・学習
take over	学校・学習	学校・学習
take back	学校・学習	学校・学習
take in	学校・学習	学校・学習
check in	学校・学習	学校・学習
check out	学校・学習	学校・学習
check over	学校・学習	学校・学習
check up on	学校・学習	学校・学習
make up	学校・学習	学校・学習
make out	学校・学習	学校・学習
make for	学校・学習	学校・学習
make over	学校・学習	学校・学習
make into	学校・学習	学校・学習
turn on	学校・学習	学校・学習
turn off	学校・学習	学校・学習
turn up	学校・学習	学校・学習
turn down	学校・学習	学校・学習
turn in	学校・学習	学校・学習
turn out	学校・学習	学校・学習
