Report: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英単語.csv
Backup used: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英単語.csv.preaugment.bak

Key	Old Related	New Related
apple	日常;食べ物・飲食	日常;食べ物・飲食
bird	動物;自然	動物;自然
cat	動物;住居・建物	動物;住居・建物
dog	動物;住居・建物	動物;住居・建物
mouse	動物;自然	動物;自然
rabbit	動物;自然	動物;自然
duck	動物;自然	動物;自然
frog	動物;自然	動物;自然
lion	動物;自然	動物;自然
eagle	動物;自然	動物;自然
whale	動物;日常	動物;日常
shark	動物;日常	動物;日常
fish	食べ物・飲食;日常	食べ物・飲食;日常;動物
chicken	食べ物・飲食;動物	食べ物・飲食;動物
cow	動物;日常	動物;日常
pig	動物;日常	動物;日常
horse	動物;日常	動物;日常
bee	動物;自然	動物;自然
ant	動物;自然	動物;自然
tree	自然;植物	自然;植物
flower	自然;文化・芸術・娯楽	自然;文化・芸術・娯楽
leaf	自然;植物	自然;植物
grass	自然;日常	自然;日常
fruit	食べ物・飲食;自然	食べ物・飲食;自然
vegetable	食べ物・飲食;日常	食べ物・飲食;日常;交通・移動
rice	食べ物・飲食;日常	食べ物・飲食;日常
bread	食べ物・飲食;日常	食べ物・飲食;日常
meat	食べ物・飲食;日常	食べ物・飲食;日常
egg	食べ物・飲食;日常	食べ物・飲食;日常
milk	食べ物・飲食;日常	食べ物・飲食;日常
water	自然;日常	自然;日常
juice	食べ物・飲食	食べ物・飲食;時間・頻度
tea	食べ物・飲食;文化・芸術・娯楽	食べ物・飲食;文化・芸術・娯楽
coffee	食べ物・飲食;文化・芸術・娯楽	食べ物・飲食;文化・芸術・娯楽
breakfast	食べ物・飲食;日常	食べ物・飲食;日常
lunch	食べ物・飲食;日常	食べ物・飲食;日常
dinner	食べ物・飲食;文化・芸術・娯楽	食べ物・飲食;文化・芸術・娯楽
school	学校・学習	学校・学習
teacher	学校・学習;仕事・職業	学校・学習;仕事・職業
student	学校・学習	学校・学習
book	学校・学習;文化・芸術・娯楽	学校・学習;文化・芸術・娯楽
pen	学校・学習;日常	学校・学習;日常
pencil	学校・学習;日常	学校・学習;日常
notebook	学校・学習;日常	学校・学習;日常
desk	学校・学習;住居・建物	学校・学習;住居・建物
chair	学校・学習;住居・建物	学校・学習;住居・建物
room	日常;住居・建物	日常;住居・建物
house	住居・建物;日常	住居・建物;日常
car	交通・移動	交通・移動
bus	交通・移動;公共・サービス	交通・移動;公共・サービス;天体・天気
train	交通・移動	交通・移動;天体・天気
plane	交通・移動;日常	交通・移動;日常
airport	日常;交通・移動	日常;交通・移動;物理・状態
ticket	日常	日常
map	方角・場所・地理;日常	方角・場所・地理;日常
city	方角・場所・地理;日常	方角・場所・地理;日常
village	方角・場所・地理;日常	方角・場所・地理;日常
market	商業・買い物;日常	商業・買い物;日常
shop	商業・買い物	商業・買い物
restaurant	食べ物・飲食;公共・サービス	食べ物・飲食;公共・サービス
bank	日常	日常;公共・サービス
hospital	医療・健康;公共・サービス	医療・健康;公共・サービス
police	公共・サービス;仕事・職業	公共・サービス;仕事・職業
firefighter	仕事・職業;公共・サービス	仕事・職業;公共・サービス
computer	日常	日常
phone	日常	日常
camera	文化・芸術・娯楽;日常	文化・芸術・娯楽;日常;物理・状態
music	文化・芸術・娯楽	文化・芸術・娯楽
