語句,読み,意味,語源等解説,関連語,関連分野,難易度
[TODO: 熟語_1],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_2],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_3],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_4],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_5],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_6],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_7],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_8],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_9],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
[TODO: 熟語_10],[TODO: カタカナ読み（アクセント記号付き）],[TODO: 日本語の意味],[TODO: 語源・成り立ち・使い方の解説] タイプ: phrasal_verb,[TODO: 類義語や関連表現（英語+カタカナ読み）],言語基本,初級
