file,line,before,after
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,2,家族・住居,家族
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,3,交通・移動,交通
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,4,文化・芸術,文化
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,5,学校・学習,学校
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,6,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,7,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,8,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,9,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,10,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,11,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,12,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,13,仕事・職業,職業
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,14,健康・身体,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,15,科学・物理,科学
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,16,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,17,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,18,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,19,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,20,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,21,買い物・商業,買い物
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,22,スポーツ・遊び,スポーツ
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,24,食べ物・飲食,食べ物
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,25,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,27,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,30,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,34,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,36,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,38,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,39,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,41,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,44,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,45,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,47,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,48,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,58,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,59,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,66,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,67,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,73,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,75,社会・政治,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,76,地理・天気,地理
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,86,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,87,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,88,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,93,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,94,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,95,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,100,文化・芸術,文化
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,101,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,102,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,103,文化・芸術,文化
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,105,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,106,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,107,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,110,時間・頻度,時間
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,111,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,113,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,114,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,117,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,118,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,119,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,122,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,124,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,125,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,127,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,130,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,131,倫理,その他
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,134,学校・学習,学校
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,138,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,140,文法・表現,文法
/Users/yuichinakamura/Documents/20251006_002/SimpleWord/Resources/中学古典単語.csv,144,文法・表現,文法
