西暦（和暦）年,史実,経緯,解説や覚え方や語呂合わせ,関連史実,関連分野,難易度
4世紀頃,大和政権の成立,諸豪族が統合されて古代日本の統一勢力が成立,古代国家のはじまり。大和（やまと）→大和朝廷の成立を押さえる,古墳文化・律令以前の統合過程,日常,2
593 (推古天皇時代),聖徳太子の摂政,推古朝において摂政となり中央政治の整備を促進,十七条憲法や冠位十二階などの制度、仏教振興を結びつけて覚える,十七条憲法(604);遣隋使,地理・天気,2
604,十七条憲法の制定,聖徳太子の政治思想を示す法的指針を発布,和を重んじる政治の基本を示す文書として覚える,推古朝の改革,学校・学習,2
645,大化の改新,中大兄皇子らによる蘇我氏討伐に続いて始まった政治改革,中央集権化と律令国家化への重要な一歩。年号645を暗記する,皇位と律令国家の成立過程,食べ物・飲食,3
701 (大宝律令),大宝律令の制定,律令体制の法的基盤を確立,律令国家の制度（官制・土地制度）を学ぶ際の基礎。701を大宝として記憶,律令制・班田収授法,自然,3
710 (和銅3年),平城京遷都,都が奈良（平城京）に移り律令国家の中心となる,奈良時代の始まり。710を奈良遷都として暗記,仏教の公的受容;東大寺,動物,2
752,東大寺大仏の開眼,国家鎮護のために大仏が造立された,国家事業としての仏教と大仏建立の意義を押さえる,平城京・聖武天皇,文化,2
794 (延暦13年),平安京遷都,長岡京の失敗の後、京都（平安京）へ遷都し貴族文化が開花,平安時代の始まり。794を平安遷都で暗記,藤原氏の政権形成,文化,2
894,遣唐使の停止,唐の衰退を受けて中国への公式使節が途絶える,日本文化の自立と国風文化の発展につながる,国風文化の成立,文化,2
1008,『源氏物語』の成立（紫式部）,藤原氏の貴族文化の最盛期に物語文学が花開く,日本文学史上の重要作品としてタイトルで覚える,平安文学・枕草子,文化,2
1156,保元の乱,朝廷内の勢力争いが武士を巻き込む大規模な内乱,院政期の混乱と武士台頭の契機,平治の乱・源平合戦,感情,3
1159,平治の乱,源義朝と平清盛の対立が決着し、武士の台頭が進む,武士政権成立の端緒として位置づける,鎌倉幕府成立へ,家族・住居,3
1180-1185,源平合戦（壇ノ浦の戦い）,平氏と源氏の争いが最終決戦で源氏勝利となる,武家政権（源頼朝）成立の背景を把握,鎌倉幕府成立(1192),交通・移動,3
1192 (建久3年),鎌倉幕府成立,源頼朝が征夷大将軍に任じられ武家政権の中心ができる,武士の政治的台頭と守護・地頭制度の成立を押さえる,幕府政治の基本,時間・頻度,3
1221,承久の乱,朝廷が幕府排除を図るも討たれ、幕府の権力が強化,朝廷と幕府の関係変化の重要事例,武家政権の優位化,文法・表現,3
"1274,1281",元寇（文永・弘安の役）,モンゴル軍の2度の襲来と鎌倉武士の防戦,防衛と御家人の結束、弘安の役での台風（神風）伝説を含む,元との外交・防衛,文化・芸術,3
1333,鎌倉幕府滅亡,後醍醐天皇の討幕運動で鎌倉幕府が滅ぶ,建武の新政成立と南北朝動乱への移行を理解,建武の新政,仕事・職業,3
1336,室町幕府（足利政権）の成立,足利尊氏が政権を確立し室町時代が始まる,南北朝時代を経て室町文化の特徴を学ぶ,南北朝の動乱,健康・身体,3
1467,応仁の乱,将軍権力の衰退で戦国時代へ移行,日本の戦国時代の開始点として重要,戦国大名の台頭,科学・物理,3
1543,鉄砲伝来,ポルトガル人が種子島に漂着して火器が伝来,戦術や城郭の変化に影響。年号と種子島を結び付けて覚える,戦国時代の軍事変化,買い物・商業,2
1568,織田信長の上洛,信長が京都に入り室町幕府の実質的支配を弱める,戦国統一への転換点。信長の革新策を合わせて覚える,本能寺の変(1582),スポーツ・遊び,3
1582,本能寺の変,信長が家臣の明智光秀に襲われて自害,戦国の権力交代の象徴的事件,天正年間の動き・秀吉の台頭,テクノロジー,3
1590,豊臣政権による全国統一の完了,豊臣秀吉が勢力を全国に及ぼす,検地・刀狩・太閤検地など政策をセットで覚える,関白政治と外征(朝鮮出兵),社会・政治,3
