語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
bird,,鳥,,,動物,
duck,,アヒル,,,動物,
foot,,足,,,日常,
mouse,,ネズミ,,,動物,
cool,,涼しい,,,自然,
frog,,カエル,,,動物,
seventeen,,17,,,感情,
stomach,,胃・お腹,,,家族・住居,
beef,,牛肉,,,食べ物,
rabbit,,ウサギ,,,動物,
jacket,,ジャケット,,,時間・頻度,
slow,,遅い,,,文法・表現,
twelve,,12,,,文化・芸術,
zebra,,シマウマ,,,動物,
comeing,,来る,,,仕事・職業,
airport,,エアポート,,,交通・移動,
library,,図書館,,,健康・身体,
know,,知る,,,科学・物理,
meat,,肉,,,食べ物・飲食,
rhino,,サイ,,,動物,
sweater,,セーター,,,テクノロジー,
jeans,,ジーンズ,,,社会・政治,
going,,行く,,,その他,
eats,,食べる,,,その他,
speak,,話す,,,その他,
study,,勉強する,,,学校・学習,
hippo,,カバ,,,動物,
play,,遊ぶ/演奏する,,,スポーツ・遊び,
chicken,,ニワトリ,,,動物,
market,,市場,,,買い物・商業,
think,,考える,,,その他,
whale,,クジラ,,,動物,
run,,走る,,,その他,
white,,白,,,その他,
lemon,,レモン,,,食べ物,
shop,,店,,,その他,
banana,,バナナ,,,食べ物,
waiting,,待つ,,,その他,
seeed,,見る,,,その他,
new,,新しい,,,その他,
knee,,ひざ,,,その他,
book,,ブック,,,学校,
tea,,お茶,,,食べ物,
socks,,靴下,,,その他,
speaks,,話す,,,その他,
looking,,見る/見える,,,その他,
finish,,フィニッシュ,,,その他,
eagle,,ワシ,,,動物,
do,,する,,,その他,
camel,,ラクダ,,,動物,
try,,トライ,,,その他,
cold,,寒い/冷たい,,,その他,
geted,,得る/着く/なる,,,その他,
mushroom,,きのこ,,,食べ物,
two,,2（に）,,,その他,
village,,村,,,地理・天気,
looked,,見る（過去）,,,その他,
looks,,見る/見える,,,その他,
knows,,知る,,,その他,
tired,,疲れた,,,その他,
wolf,,オオカミ,,,動物,
waited,,待った,,,その他,
salt,,塩,,,食べ物,
fast,,速い,,,その他,
thinks,,考える,,,その他,
brown,,茶色,,,その他,
hear,,聞く,,,その他,
lion,,ライオン,,,動物,
comes,,来る,,,その他,
bread,,パン,,,食べ物,
hears,,聞く,,,その他,
cafe,,カフェ,,,その他,
say,,言う,,,その他,
small,,小さい,,,その他,
happy,,嬉しい,,,その他,
cookie,,クッキー,,,食べ物,
mountain,,山,,,その他,
shoes,,靴,,,その他,
clean,,クリーン,,,その他,
takeed,,取る,,,その他,
gets,,得る/着く/なる,,,その他,
hungry,,お腹がすいた,,,その他,
walks,,歩く,,,その他,
walked,,歩いた,,,その他,
shark,,サメ,,,動物,
shorts,,半ズボン,,,その他,
tshirt,,Tシャツ,,,その他,
make,,作る,,,その他,
playing,,遊ぶ/演奏する,,,その他,
pants,,パンツ,,,その他,
hand,,手,,,その他,
makes,,作る,,,その他,
goed,,行く,,,その他,
young,,若い,,,その他,
tiger,,虎,,,動物,
red,,赤,,,その他,
live,,リブ,,,その他,
restaurant,,レストラン,,,その他,
eated,,食べる,,,その他,
cabbage,,キャベツ,,,食べ物,
stay,,ステイ,,,その他,
says,,言う,,,その他,
