語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
bird,,鳥,,,動物,1
duck,,アヒル,,,動物,1
foot,,足,,,健康,1
mouse,,ネズミ,,,動物,1
cool,,涼しい,,,その他,1
frog,,カエル,,,動物,1
seventeen,,17,,,その他,1
stomach,,胃・お腹,,,健康,1
beef,,牛肉,,,食べ物,1
rabbit,,ウサギ,,,動物,1
jacket,,ジャケット,,,買い物,1
slow,,遅い,,,その他,1
twelve,,12,,,その他,1
zebra,,シマウマ,,,動物,1
comeing,,来る,,,日常,1
airport,,エアポート,,,交通,1
library,,図書館,,,その他,1
know,,知る,,,自然,1
meat,,肉,,,食べ物,1
rhino,,サイ,,,動物,1
sweater,,セーター,,,買い物,1
jeans,,ジーンズ,,,買い物,1
going,,行く,,,感情,1
eats,,食べる,,,家族,1
speak,,話す,,,その他,1
study,,勉強する,,,学校,1
hippo,,カバ,,,動物,1
play,,遊ぶ/演奏する,,,スポーツ,1
chicken,,ニワトリ,,,動物,1
market,,市場,,,買い物,1
think,,考える,,,時間,1
whale,,クジラ,,,動物,1
run,,走る,,,文法,1
white,,白,,,その他,1
lemon,,レモン,,,食べ物,1
shop,,店,,,その他,1
banana,,バナナ,,,食べ物,1
waiting,,待つ,,,文化,1
seeed,,見る,,,その他,1
new,,新しい,,,その他,1
knee,,ひざ,,,健康,1
book,,ブック,,,学校,1
tea,,お茶,,,食べ物,1
socks,,靴下,,,買い物,1
speaks,,話す,,,その他,1
looking,,見る/見える,,,職業,1
finish,,フィニッシュ,,,その他,1
eagle,,ワシ,,,動物,1
do,,する,,,健康,1
camel,,ラクダ,,,動物,1
try,,トライ,,,科学,1
cold,,寒い/冷たい,,,その他,1
geted,,得る/着く/なる,,,テクノロジー,1
mushroom,,きのこ,,,食べ物,1
two,,2（に）,,,その他,1
village,,村,,,地理,1
looked,,見る（過去）,,,その他,1
looks,,見る/見える,,,その他,1
knows,,知る,,,その他,1
tired,,疲れた,,,その他,1
wolf,,オオカミ,,,動物,1
waited,,待った,,,その他,1
salt,,塩,,,食べ物,1
fast,,速い,,,その他,1
thinks,,考える,,,その他,1
brown,,茶色,,,その他,1
hear,,聞く,,,その他,1
lion,,ライオン,,,動物,1
comes,,来る,,,その他,1
bread,,パン,,,食べ物,1
hears,,聞く,,,その他,1
cafe,,カフェ,,,その他,1
say,,言う,,,その他,1
small,,小さい,,,その他,1
happy,,嬉しい,,,その他,1
cookie,,クッキー,,,食べ物,1
mountain,,山,,,その他,1
shoes,,靴,,,買い物,1
clean,,クリーン,,,その他,1
takeed,,取る,,,その他,1
gets,,得る/着く/なる,,,その他,1
hungry,,お腹がすいた,,,その他,1
walks,,歩く,,,その他,1
walked,,歩いた,,,その他,1
shark,,サメ,,,動物,1
shorts,,半ズボン,,,買い物,1
tshirt,,Tシャツ,,,買い物,1
make,,作る,,,その他,1
playing,,遊ぶ/演奏する,,,その他,1
pants,,パンツ,,,買い物,1
hand,,手,,,健康,1
makes,,作る,,,その他,1
goed,,行く,,,その他,1
young,,若い,,,その他,1
tiger,,虎,,,動物,1
red,,赤,,,その他,1
live,,リブ,,,その他,1
restaurant,,レストラン,,,その他,1
eated,,食べる,,,その他,1
cabbage,,キャベツ,,,食べ物,1
stay,,ステイ,,,その他,1
says,,言う,,,その他,1
