語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
put on,プット オン,（服を）着る、（スイッチを）つける,句動詞（put + on）。'put' は「置く・設置する・与える」、'on' は「上・接触（装着や起動）」を示し、結びついて「（服を）着る、（スイッチを）つける」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: （服を）着る; on: 上・接触（装着や起動）: （服を）着る,感情・思考・認知,1
put off,プット オフ,延期する、（人を）やる気をなくす,句動詞（put + off）。'put' は「置く・設置する・与える」、'off' は「離脱・停止」を示し、結びついて「延期する、（人を）やる気をなくす」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: 延期する; off: 離脱・停止: 延期する,自然,1
put out,プット アウト,消す、（情報を）公表する,句動詞（put + out）。'put' は「置く・設置する・与える」、'out' は「外側・除去・完了」を示し、結びついて「消す、（情報を）公表する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: 消す; out: 外側・除去・完了: 消す,感情・思考・認知,1
"I'm fine, thank you.",アイム ファイン サンキュー,元気です、ありがとう,"句動詞（i'm + fine,）。'i'm' は「私は（略）」、'fine,' は「fine,」を示し、結びついて「元気です、ありがとう」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。",I'm fine: （意味未設定）: 元気です; thank you.: （意味未設定）: 元気です,地理・天気,1
put up,プット アップ,掲示する、（泊める）,句動詞（put + up）。'put' は「置く・設置する・与える」、'up' は「上・完了・増加」を示し、結びついて「掲示する、（泊める）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: 掲示する; up: 上・完了・増加: 掲示する,家族・人間関係,1
put away,プット アウェイ,片付ける、しまう,句動詞（put + away）。'put' は「置く・設置する・与える」、'away' は「離れて・放棄」を示し、結びついて「片付ける、しまう」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: 片付ける; away: 離れて・放棄: 片付ける,時間・頻度,1
put back,プット バック,元に戻す,句動詞（put + back）。'put' は「置く・設置する・与える」、'back' は「戻る・復帰」を示し、結びついて「元に戻す」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: 元に戻す; back: 戻る・復帰: 元に戻す,文法・表現,1
put through,プット スルー,（電話を）つなぐ、（経験を）受けさせる,句動詞（put + through）。'put' は「置く・設置する・与える」、'through' は「通じて」を示し、結びついて「（電話を）つなぐ、（経験を）受けさせる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: （電話を）つなぐ; through: 通じて: （電話を）つなぐ,交通・移動,1
get up,ゲット アップ,起きる,句動詞（get + up）。'get' は「得る・到達する・起きる」、'up' は「上・完了・増加」を示し、結びついて「起きる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 起きる; up: 上・完了・増加: 起きる,文化・芸術・娯楽,1
get off,ゲット オフ,降りる、（仕事を）終える,句動詞（get + off）。'get' は「得る・到達する・起きる」、'off' は「離脱・停止」を示し、結びついて「降りる、（仕事を）終える」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 降りる; off: 離脱・停止: 降りる,仕事・職業,1
get on,ゲット オン,乗る、仲良くする,句動詞（get + on）。'get' は「得る・到達する・起きる」、'on' は「上・接触（装着や起動）」を示し、結びついて「乗る、仲良くする」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 乗る; on: 上・接触（装着や起動）: 乗る,医療・健康,1
get out,ゲット アウト,外に出る、漏れる,句動詞（get + out）。'get' は「得る・到達する・起きる」、'out' は「外側・除去・完了」を示し、結びついて「外に出る、漏れる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 外に出る; out: 外側・除去・完了: 外に出る,家族・人間関係,1
get over,ゲット オーバー,克服する,句動詞（get + over）。'get' は「得る・到達する・起きる」、'over' は「上・越えて」を示し、結びついて「克服する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 克服する; over: 上・越えて: 克服する,商業・買い物,1
get along,ゲット アロング,仲良くやる,句動詞（get + along）。'get' は「得る・到達する・起きる」、'along' は「一緒に/沿って」を示し、結びついて「仲良くやる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 仲良くやる; along: 一緒に: 仲良くやる; 沿って: 仲良くやる,文化・芸術・娯楽,1
get through,ゲット スルー,切り抜ける、（電話が）つながる,句動詞（get + through）。'get' は「得る・到達する・起きる」、'through' は「通じて」を示し、結びついて「切り抜ける、（電話が）つながる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 切り抜ける; through: 通じて: 切り抜ける,医療・健康,1
get back,ゲット バック,戻る、取り戻す,句動詞（get + back）。'get' は「得る・到達する・起きる」、'back' は「戻る・復帰」を示し、結びついて「戻る、取り戻す」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 戻る; back: 戻る・復帰: 戻る,物理・状態,1
get around,ゲット アラウンド,（問題を）回避する、（町を）回る,句動詞（get + around）。'get' は「得る・到達する・起きる」、'around' は「周りに」を示し、結びついて「（問題を）回避する、（町を）回る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: （問題を）回避する; around: 周りに: （問題を）回避する,商業・買い物,1
bring up,ブリング アップ,育てる、（話題を）持ち出す,句動詞（bring + up）。'bring' は「持ってくる」、'up' は「上・完了・増加」を示し、結びついて「育てる、（話題を）持ち出す」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,bring: 持ってくる: 育てる; up: 上・完了・増加: 育てる,感情・思考・認知,1
bring out,ブリング アウト,発売する、引き立てる,句動詞（bring + out）。'bring' は「持ってくる」、'out' は「外側・除去・完了」を示し、結びついて「発売する、引き立てる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,bring: 持ってくる: 発売する; out: 外側・除去・完了: 発売する,家族・人間関係,1
bring back,ブリング バック,思い出させる、持ち帰る,句動詞（bring + back）。'bring' は「持ってくる」、'back' は「戻る・復帰」を示し、結びついて「思い出させる、持ち帰る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,bring: 持ってくる: 思い出させる; back: 戻る・復帰: 思い出させる,文化・芸術・娯楽,1
bring about,ブリング about,引き起こす,句動詞（bring + about）。'bring' は「持ってくる」、'about' は「〜について」を示し、結びついて「引き起こす」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,bring: 持ってくる: 引き起こす; about: 〜について: 引き起こす,医療・健康,1
go out,ゴー アウト,外出する,句動詞（go + out）。'go' は「行く・起こる」、'out' は「外側・除去・完了」を示し、結びついて「外出する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 外出する; out: 外側・除去・完了: 外出する,物理・状態,1
go in,ゴー イン,入る,句動詞（go + in）。'go' は「行く・起こる」、'in' は「中・内部・完了」を示し、結びついて「入る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 入る; in: 中・内部・完了: 入る,商業・買い物,1
go on,ゴー オン,続く、起こる,句動詞（go + on）。'go' は「行く・起こる」、'on' は「上・接触（装着や起動）」を示し、結びついて「続く、起こる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 続く; on: 上・接触（装着や起動）: 続く,感情,1
go off,ゴー オフ,鳴る、爆発する、腐る,句動詞（go + off）。'go' は「行く・起こる」、'off' は「離脱・停止」を示し、結びついて「鳴る、爆発する、腐る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 鳴る; off: 離脱・停止: 鳴る,家族・住居,1
go over,ゴー オーバー,復習する、越える,句動詞（go + over）。'go' は「行く・起こる」、'over' は「上・越えて」を示し、結びついて「復習する、越える」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 復習する; over: 上・越えて: 復習する,文化・芸術,1
go through,ゴー スルー,経験する、調べる,句動詞（go + through）。'go' は「行く・起こる」、'through' は「通じて」を示し、結びついて「経験する、調べる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 経験する; through: 通じて: 経験する,健康・身体,1
go back,ゴー バック,戻る,句動詞（go + back）。'go' は「行く・起こる」、'back' は「戻る・復帰」を示し、結びついて「戻る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 戻る; back: 戻る・復帰: 戻る,科学・物理,1
go ahead,ゴー ahead,先に進める、どうぞ,句動詞（go + ahead）。'go' は「行く・起こる」、'ahead' は「先に」を示し、結びついて「先に進める、どうぞ」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 先に進める; ahead: 先に: 先に進める,買い物・商業,1
go away,ゴー アウェイ,去る,句動詞（go + away）。'go' は「行く・起こる」、'away' は「離れて・放棄」を示し、結びついて「去る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: 去る; away: 離れて・放棄: 去る,スポーツ・遊び,1
