語句,読み,意味,語源等解説,関連語,関連分野,難易度
lion,ライオン,ライオン,百獣の王,tiger;cat,動物;野生,2
elephant,エレファント,ゾウ,大きな動物,big;mammal,動物;野生,2
monkey,マンキー,サル,木に登る動物,ape;gorilla,動物;野生,2
tiger,タイガー,トラ,縞模様のネコ科,cat;lion,動物;野生,2
rabbit,ラビット,ウサギ,耳の長い動物,bunny;hare,動物;ペット,1
bear,ベア,クマ,冬眠する動物,hibernate;forest,動物;野生,2
bird,バード,鳥,空を飛ぶ動物,fly;wing,動物;空,1
fish,フィッシュ,魚,水中に住む動物,swim;water,動物;海,1
horse,ホース,馬,乗れる動物,ride;gallop,動物;家畜,2
cow,カウ,牛,ミルクを出す動物,milk;farm,動物;家畜,1
sheep,シープ,羊,毛が生える動物,wool;farm,動物;家畜,2
chicken,チキン,ニワトリ,卵を産む鳥,egg;farm,動物;家畜,1
duck,ダック,アヒル,水鳥の一種,water;bird,動物;鳥,2
frog,フロッグ,カエル,水辺に住む動物,pond;jump,動物;両生類,2
snake,スネーク,ヘビ,長い爬虫類,reptile;slither,動物;爬虫類,2
