語句,読み,意味,語源等解説,関連語,関連分野,難易度
arrive at,アラ́イヴ ア́ット,到着する,arrive(到着する)と at(〜に)の組み合わせ。目的地に着くという意味。,"reach(リ́ーチ): 到達する, get to(ゲ́ットトゥ): 着く",場所・移動,初級
leave for,リ́ーヴ フォ́ー,〜に向けて出発する,leave(出発する)と for(〜へ)の組み合わせ。目的地に向かって出るという意味。,"depart for(ディパ́ートフォア): 〜へ出発する, set off for(セ́ットオフフォア): 〜に向けて出発する",場所・移動,初級
wait for,ウェ́イト フォ́ー,〜を待つ,wait(待つ)と for(〜を)の組み合わせ。人や物が来るまで待つという意味。,"await(アウェ́イト): 待つ, expect(イクスペ́クト): 期待する",時間・数量,初級
search for,サ́ーチ フォ́ー,〜を探す,search(探す)と for(〜を)の組み合わせ。何かを見つけようと探すという意味。,"look for(ル́ックフォア): 探す, seek(スィ́ーク): 探し求める",日常生活,初級
hope for,ホ́ウプ フォ́ー,〜を望む,hope(望む)と for(〜を)の組み合わせ。何かが起こることを願うという意味。,"wish for(ウィ́ッシュフォア): 〜を願う, long for(ロ́ングフォア): 〜を切望する",人・社会,初級
ask for,ア́スク フォ́ー,〜を求める,ask(頼む)と for(〜を)の組み合わせ。何かをくださいと言うという意味。,"request(リクウェ́スト): 要求する, seek(スィ́ーク): 求める",言語基本,初級
call for,コ́ール フォ́ー,〜を要求する・迎えに行く,call(呼ぶ)と for(〜を)の組み合わせ。必要とする、または人を迎えに行くという意味。,"demand(ディマ́ンド): 要求する, pick up(ピ́ックア́ップ): 迎えに行く",人・社会,初級
send for,セ́ンド フォ́ー,〜を呼びにやる,send(送る)と for(〜を)の組み合わせ。人を呼び寄せるという意味。,"summon(サ́マン): 呼び出す, call for(コ́ールフォア): 迎えに行く",人・社会,初級
care for,ケ́ア フォ́ー,〜の世話をする・好む,care(気にかける)と for(〜を)の組み合わせ。面倒を見る、または好きだという意味。,"look after(ル́ックア́フター): 世話する, like(ラ́イク): 好む",人・社会,初級
pay for,ペ́イ フォ́ー,〜の代金を払う,pay(払う)と for(〜に対して)の組み合わせ。お金を支払うという意味。,"buy(バ́イ): 買う, purchase(パ́ーチャス): 購入する",日常生活,初級
prepare for,プリペ́ア フォ́ー,〜の準備をする,prepare(準備する)と for(〜のために)の組み合わせ。用意するという意味。,"get ready for(ゲ́ットレ́ディフォア): 〜の準備をする, arrange for(アレ́インジフォア): 〜を手配する",日常生活,初級
apologize for,アポ́ロジャイズ フォ́ー,〜について謝る,apologize(謝る)と for(〜について)の組み合わせ。過ちを詫びるという意味。,"say sorry for(セ́イソ́リフォア): 〜を謝る, express regret for(イクスプレ́スリグレ́ットフォア): 〜を後悔する",人・社会,初級
thank for,サ́ンク フォ́ー,〜に感謝する,thank(感謝する)と for(〜に対して)の組み合わせ。お礼を言うという意味。,"express gratitude for(イクスプレ́スグラ́ティテュードフォア): 〜に感謝を表す, appreciate(アプリ́ーシエイト): 感謝する",人・社会,初級
blame for,ブレ́イム フォ́ー,〜のせいにする,blame(非難する)と for(〜について)の組み合わせ。責任を負わせるという意味。,"accuse of(アキュ́ーズオヴ): 〜を非難する, hold responsible for(ホ́ウルドリスポ́ンシブルフォア): 〜の責任を問う",人・社会,初級
forgive for,フォギ́ヴ フォ́ー,〜を許す,forgive(許す)と for(〜について)の組み合わせ。過ちを赦すという意味。,"pardon(パ́ードン): 許す, excuse(イクスキュ́ーズ): 大目に見る",人・社会,初級
be good at,ビー グ́ッド ア́ット,〜が得意である,be、good(上手な)、at(〜において)の組み合わせ。能力が高いという意味。,"excel at(イクセ́ルア́ット): 〜に秀でる, be skilled at(ビースキ́ルドア́ット): 〜が上手である",学校・学習,初級
be bad at,ビー バ́ッド ア́ット,〜が苦手である,be、bad(下手な)、at(〜において)の組み合わせ。能力が低いという意味。対義語: be good at,"be poor at(ビープ́アア́ット): 〜が下手である, be weak at(ビーウィ́ークア́ット): 〜が弱い",学校・学習,初級
be famous for,ビー フェ́イマス フォ́ー,〜で有名である,be、famous(有名な)、for(〜で)の組み合わせ。よく知られているという意味。,"be well-known for(ビーウェ́ルノ́ウンフォア): 〜で有名である, be renowned for(ビーリナ́ウンドフォア): 〜で名高い",人・社会,初級
be proud of,ビー プラ́ウド オヴ,〜を誇りに思う,be、proud(誇らしい)、of(〜を)の組み合わせ。自慢に思うという意味。,"take pride in(テ́イクプラ́イドイン): 〜を誇る, boast of(ボ́ウストオヴ): 〜を自慢する",人・社会,初級
be afraid of,ビー アフレ́イド オヴ,〜を恐れる,be、afraid(怖がって)、of(〜を)の組み合わせ。恐怖を感じるという意味。,"fear(フィ́ア): 恐れる, be scared of(ビースケ́アドオヴ): 〜が怖い",人・社会,初級
be tired of,ビー タ́イアド オヴ,〜にうんざりする,be、tired(疲れた)、of(〜に)の組み合わせ。飽き飽きするという意味。,"be sick of(ビースィ́ックオヴ): 〜にうんざりする, be fed up with(ビーフェ́ッドア́ップウィズ): 〜にうんざりする",人・社会,初級
be full of,ビー フ́ル オヴ,〜でいっぱいである,be、full(満ちた)、of(〜で)の組み合わせ。満ちているという意味。,"be filled with(ビーフィ́ルドウィズ): 〜で満たされている, be packed with(ビーパ́クトウィズ): 〜で詰まっている",時間・数量,初級
be sure of,ビー シ́ュア オヴ,〜を確信している,be、sure(確かな)、of(〜を)の組み合わせ。間違いないと思うという意味。,"be certain of(ビーサ́ートゥンオヴ): 〜を確信している, be confident of(ビーコ́ンフィデントオヴ): 〜に自信がある",人・社会,初級
