語句,読み,意味,語源等解説,関連語,関連分野,難易度
get on with,ゲ́ット オ́ン ウィズ,続ける・仲良くする,get(得る)、on(上に)、with(〜と)の組み合わせ。進めるまたは良好な関係を持つという意味。,"continue(コンティ́ニュー): 続ける, have good relations(ハ́ヴグ́ッドリレ́イションズ): 良い関係を持つ",人・社会,中級
get through to,ゲ́ット スルー́ トゥ,理解させる・連絡がつく,get(得る)、through(通して)、to(〜へ)の組み合わせ。意思疎通するという意味。,"make understand(メ́イクアンダースタ́ンド): 理解させる, reach(リ́ーチ): 連絡する",言語基本,中級
give in to,ギ́ヴ イ́ン トゥ,屈する,give(与える)、in(中へ)、to(〜へ)の組み合わせ。譲歩するという意味。,"yield to(イー́ルドトゥ): 降参する, surrender to(サレ́ンダートゥ): 明け渡す",人・社会,中級
go about,ゴ́ウ アバ́ウト,取り掛かる・歩き回る,go(行く)とabout(周りに)の組み合わせ。着手するという意味。,"approach(アプロ́ウチ): 取り組む, set about(セ́ットアバウト): 始める",学校・学習,中級
go down,ゴ́ウ ダ́ウン,下がる・沈む,go(行く)とdown(下へ)の組み合わせ。降下するという意味。,"decrease(ディクリ́ース): 減少する, sink(スィ́ンク): 沈む",時間・数量,中級
go for,ゴ́ウ フォ́ー,取りに行く・好む,go(行く)とfor(〜のために)の組み合わせ。目指すまたは選ぶという意味。,"try to get(トラ́イトゥゲット): 手に入れようとする, choose(チュ́ーズ): 選ぶ",人・社会,中級
go in for,ゴ́ウ イ́ン フォ́ー,好む・参加する,go(行く)、in(中へ)、for(〜のために)の組み合わせ。興味を持つという意味。,"be interested in(ビーイ́ンタレスティドイン): 興味がある, take part in(テ́イクパートイン): 参加する",運動・娯楽,中級
go off,ゴ́ウ オ́フ,爆発する・鳴る,go(行く)とoff(離れて)の組み合わせ。作動するという意味。,"explode(イクスプロ́ウド): 爆発する, ring(リ́ング): 鳴る",時間・数量,中級
go through with,ゴ́ウ スルー́ ウィズ,やり遂げる,go(行く)、through(通して)、with(〜と)の組み合わせ。最後まで実行するという意味。,"complete(コンプリ́ート): 完成する, carry through(キャ́リスルー): 貫徹する",学校・学習,中級
go with,ゴ́ウ ウィズ,調和する・付き合う,go(行く)とwith(〜と)の組み合わせ。一緒に行くまたは似合うという意味。,"match(マ́ッチ): 合う, accompany(アカ́ンパニ): 同伴する",人・社会,中級
grow on,グロ́ウ オ́ン,だんだん好きになる,grow(成長する)とon(〜の上に)の組み合わせ。徐々に魅力を感じるという意味。,"become more appealing(ビカ́ムモ́アアピ́ーリング): より魅力的になる, gradually like(グラ́ジュアリラ́イク): 徐々に好きになる",人・社会,中級
hang on,ハ́ング オ́ン,しがみつく・待つ,hang(ぶら下がる)とon(上に)の組み合わせ。持ちこたえるという意味。,"hold on(ホ́ウルドオン): つかまる, wait(ウェ́イト): 待つ",人・社会,中級
hang up,ハ́ング ア́ップ,電話を切る,hang(掛ける)とup(上へ)の組み合わせ。受話器を置くという意味。,"end a call(エ́ンダコール): 通話を終える, disconnect(ディスコネ́クト): 切断する",日常生活,中級
have on,ハ́ヴ オ́ン,身につけている,have(持つ)とon(上に)の組み合わせ。着用しているという意味。,"wear(ウェ́ア): 着ている, be dressed in(ビードレ́ストイン): 〜を着ている",日常生活,中級
head off,ヘ́ッド オ́フ,出発する・阻止する,head(頭を向ける)とoff(離れて)の組み合わせ。向かうまたは未然に防ぐという意味。,"leave(リ́ーヴ): 出発する, prevent(プリヴェ́ント): 防ぐ",場所・移動,中級
hear of,ヒ́ア オヴ,〜について聞く,hear(聞く)とof(〜について)の組み合わせ。知るという意味。,"learn about(ラ́ーンアバウト): 知る, be informed of(ビーインフォ́ームドオヴ): 知らされる",言語基本,中級
hit on,ヒ́ット オ́ン,思いつく,hit(打つ)とon(〜の上に)の組み合わせ。偶然発見するという意味。,"come up with(カ́ムアップウィズ): 思いつく, discover(ディスカ́ヴァー): 発見する",学校・学習,中級
hit upon,ヒ́ット アポ́ン,偶然見つける,hit(打つ)とupon(〜の上に)の組み合わせ。思いがけず発見するという意味。,"chance upon(チャ́ンスアポン): 偶然出会う, stumble on(スタ́ンブルオン): 偶然見つける",学校・学習,中級
hold off,ホ́ウルド オ́フ,延期する・撃退する,hold(保持する)とoff(離して)の組み合わせ。保留するという意味。,"postpone(ポウストポ́ウン): 延期する, delay(ディレ́イ): 遅らせる",時間・数量,中級
hold out,ホ́ウルド ア́ウト,持ちこたえる・差し出す,hold(保持する)とout(外へ)の組み合わせ。耐えるという意味。,"endure(インデュ́ア): 耐える, last(ラ́スト): 持続する",人・社会,中級
iron out,ア́イアン ア́ウト,解決する・アイロンをかける,iron(アイロン)とout(外へ)の組み合わせ。しわを伸ばすという意味。,"resolve(リゾ́ルヴ): 解決する, smooth out(スムー́ズアウト): 平らにする",人・社会,中級
join in,ジョ́イン イ́ン,参加する,join(加わる)とin(中へ)の組み合わせ。一緒になるという意味。,"participate(パーティ́シペイト): 参加する, take part(テ́イクパート): 加わる",人・社会,中級
jump at,ジャ́ンプ ア́ット,飛びつく,jump(跳ぶ)とat(〜へ)の組み合わせ。即座に受け入れるという意味。,"accept eagerly(アクセ́プトイ́ーガリ): 喜んで受け入れる, seize(シ́ーズ): つかむ",人・社会,中級
keep down,キ́ープ ダ́ウン,抑える・低く保つ,keep(保つ)とdown(下へ)の組み合わせ。抑制するという意味。,"suppress(サプレ́ス): 抑圧する, control(コントロ́ウル): 制御する",人・社会,中級
keep off,キ́ープ オ́フ,近づけない,keep(保つ)とoff(離して)の組み合わせ。遠ざけるという意味。,"stay away from(ステ́イアウェ́イフロム): 離れている, avoid(アヴォ́イド): 避ける",人・社会,中級
keep to,キ́ープ トゥ,守る・固執する,keep(保つ)とto(〜へ)の組み合わせ。従うという意味。,"adhere to(アドヒ́アトゥ): 固守する, stick to(スティ́ックトゥ): 固持する",人・社会,中級
kick off,キ́ック オ́フ,始める・キックオフする,kick(蹴る)とoff(離して)の組み合わせ。開始するという意味。,"start(スタート): 始める, begin(ビギ́ン): 開始する",運動・娯楽,中級
knock out,ノ́ック ア́ウト,ノックアウトする,knock(叩く)とout(外へ)の組み合わせ。気絶させるという意味。,"make unconscious(メ́イクアンコ́ンシャス): 意識を失わせる, eliminate(イリ́ミネイト): 除外する",運動・娯楽,中級
laugh at,ラ́フ ア́ット,笑う・嘲笑する,laugh(笑う)とat(〜へ)の組み合わせ。面白がるという意味。,"mock(モ́ック): あざ笑う, ridicule(リ́ディキュール): 嘲る",人・社会,中級
lean on,リ́ーン オ́ン,頼る・もたれる,lean(傾く)とon(〜の上に)の組み合わせ。依存するという意味。,"depend on(ディペ́ンドオン): 頼る, rely on(リラ́イオン): 当てにする",人・社会,中級
light up,ラ́イト ア́ップ,照らす・明るくなる,light(光)とup(上へ)の組み合わせ。点灯するという意味。,"illuminate(イル́ーミネイト): 照明する, brighten(ブラ́イトゥン): 明るくする",日常生活,中級
listen in,リ́スン イ́ン,盗み聞きする,listen(聞く)とin(中へ)の組み合わせ。こっそり聞くという意味。,"eavesdrop(イ́ーヴズドロップ): 盗聴する, overhear(オウヴァーヒ́ア): 立ち聞きする",人・社会,中級
live down,リ́ヴ ダ́ウン,汚名をそそぐ,live(生きる)とdown(下へ)の組み合わせ。時間をかけて忘れさせるという意意。,"overcome disgrace(オウヴァーカ́ムディスグレ́イス): 不名誉を克服する, outlive shame(アウトリ́ヴシェイム): 恥を乗り越える",人・社会,中級
lock up,ロ́ック ア́ップ,閉じ込める・施錠する,lock(鍵をかける)とup(上へ)の組み合わせ。監禁するという意味。,"imprison(インプリ́ズン): 投獄する, secure(シキュ́ア): 安全にする",人・社会,中級
