語句,読み,意味,語源等解説,関連語,関連分野,難易度
act like,ア́クト ラ́イク,〜のように振る舞う,act(行動する)と like(〜のような)の組み合わせ。特定の人や物のように行動するという意味。,"behave like(ビヘ́イヴラ́イク): 〜のように振る舞う, pretend(プリテ́ンド): ふりをする",人・社会,初級
adapt to,アダ́プト トゥ,〜に適応する,adapt(適応する)と to(〜に)の組み合わせ。新しい環境に慣れるという意味。,"adjust to(アジャ́ストトゥ): 〜に順応する, accommodate to(アコ́モデイトトゥ): 〜に適合する",人・社会,初級
add to,ア́ッド トゥ,〜に加える,add(加える)と to(〜に)の組み合わせ。何かを追加するという意味。,"increase(インクリ́ース): 増やす, supplement(サ́プリメント): 補う",時間・数量,初級
add up,ア́ッド ア́ップ,合計する・筋が通る,add(加える)と up(上へ)の組み合わせ。数字を足し合わせる、または話が理にかなうという意味。,"total(トー́タル): 合計する, make sense(メ́イクセ́ンス): 筋が通る",時間・数量,初級
agree to,アグリ́ー トゥ,〜に同意する,agree(同意する)と to(〜に)の組み合わせ。提案や条件を受け入れるという意味。,"consent to(コンセ́ントトゥ): 〜に承諾する, accept(アクセ́プト): 受け入れる",人・社会,初級
all day long,オ́ール デ́イ ロ́ング,一日中,all(全ての)、day(日)、long(長く)の組み合わせ。丸一日という意味。,"throughout the day(スルー́アウトザデイ): 一日中, the whole day(ザホ́ウルデイ): 一日中",時間・数量,初級
any longer,エ́ニ ロ́ンガー,これ以上・もはや,any(何か)と longer(より長く)の組み合わせ。継続しないという意味。否定文で使用。,"anymore(エニモ́ア): もう〜ない, no more(ノ́ウモア): もはや〜ない",時間・数量,初級
apologize for,アポ́ロジャイズ フォ́ー,〜について謝る,apologize(謝る)と for(〜について)の組み合わせ。過ちを詫びるという意味。,"say sorry for(セ́イソ́リフォア): 〜を謝る, express regret for(イクスプレ́スリグレ́ットフォア): 〜を後悔する",人・社会,初級
apply to,アプラ́イ トゥ,〜に応募する・適用する,apply(応募する)と to(〜に)の組み合わせ。申し込む、またはルールなどが当てはまるという意味。,"submit to(サブミ́ットトゥ): 〜に提出する, be relevant to(ビーレ́ラヴァントトゥ): 〜に関連がある",学校・学習,初級
arrive at,アラ́イヴ ア́ット,到着する,arrive(到着する)と at(〜に)の組み合わせ。目的地に着くという意味。,"reach(リ́ーチ): 到達する, get to(ゲ́ットトゥ): 着く",場所・移動,初級
ask after,ア́スク ア́フター,〜の様子を尋ねる,ask(尋ねる)と after(〜について)の組み合わせ。健康や状態を聞くという意味。,"inquire about(インクワ́イアアバウト): 尋ねる, ask about(ア́スクアバウト): 質問する",人・社会,初級
ask for,ア́スク フォ́ー,〜を求める,ask(頼む)と for(〜を)の組み合わせ。何かをくださいと言うという意味。,"request(リクウェ́スト): 要求する, seek(スィ́ーク): 求める",言語基本,初級
at once,ア́ット ワ́ンス,すぐに・同時に,at(〜に)と once(一度)の組み合わせ。即座に、または一度にという意味。,"immediately(イミ́ーディエトリ): すぐに, simultaneously(サイマルテ́イニアスリ): 同時に",時間・数量,初級
attach to,アタ́ッチ トゥ,〜に取り付ける,attach(取り付ける)と to(〜に)の組み合わせ。何かを別のものに固定するという意味。,"fasten to(ファ́スントゥ): 〜に留める, connect to(コネ́クトトゥ): 〜に接続する",科学・技術,初級
back up,バ́ック ア́ップ,後退する・支援する,back(後ろへ)と up(上へ)の組み合わせ。後ろに下がる、またはサポートするという意味。,"reverse(リヴァ́ース): 後退する, support(サポ́ート): 支援する",日常生活,初級
be absent from,ビー ア́ブセント フロ́ム,〜を欠席する,be、absent(不在の)、from(〜を)の組み合わせ。いないという意味。対義語: be present at,"be away from(ビーアウェ́イフロム): 〜から離れている, miss(ミ́ス): 欠席する",学校・学習,初級
be afraid of,ビー アフレ́イド オヴ,〜を恐れる,be、afraid(怖がって)、of(〜を)の組み合わせ。恐怖を感じるという意味。,"fear(フィ́ア): 恐れる, be scared of(ビースケ́アドオヴ): 〜が怖い",人・社会,初級
be angry with,ビー ア́ングリ ウィズ,〜に怒っている,be、angry(怒った)、with(〜に)の組み合わせ。人に対して腹を立てているという意味。,"be mad at(ビーマ́ッドア́ット): 〜に怒っている, be furious with(ビーフュ́アリアスウィズ): 〜に激怒している",人・社会,初級
be ashamed of,ビー アシェ́イムド オヴ,〜を恥じる,be、ashamed(恥ずかしい)、of(〜を)の組み合わせ。恥を感じるという意味。,"feel shame about(フィ́ールシェ́イムアバ́ウト): 〜を恥じる, be embarrassed about(ビーエンバ́ラストアバウト): 〜を恥ずかしく思う",人・社会,初級
be aware of,ビー アウェ́ア オヴ,〜に気づいている,be、aware(気づいて)、of(〜に)の組み合わせ。知っているという意味。,"know(ノ́ウ): 知っている, realize(リ́アライズ): 認識する",人・社会,初級
be bad at,ビー バ́ッド ア́ット,〜が苦手である,be、bad(下手な)、at(〜において)の組み合わせ。能力が低いという意味。対義語: be good at,"be poor at(ビープ́アア́ット): 〜が下手である, be weak at(ビーウィ́ークア́ット): 〜が弱い",学校・学習,初級
be born in,ビー ボ́ーン イ́ン,〜で生まれる,be、born(生まれた)、in(〜で)の組み合わせ。出生地を示すという意味。,"come from(カ́ムフロム): 〜出身である, originate in(オリ́ジネイトイン): 〜で生まれる",人・社会,初級
be busy with,ビー ビ́ズィ ウィズ,〜で忙しい,be、busy(忙しい)、with(〜で)の組み合わせ。用事で手一杯という意味。,"be occupied with(ビーオ́キュパイドウィズ): 〜で手がふさがっている, be engaged in(ビーエンゲ́イジドイン): 〜に従事している",日常生活,初級
be careful about,ビー ケ́アフル アバ́ウト,〜に注意する,be、careful(注意深い)、about(〜について)の組み合わせ。気をつけるという意味。,"be cautious about(ビーコ́ーシャスアバウト): 〜に用心する, watch out for(ウォッチアウトフォア): 〜に気をつける",日常生活,初級
be covered with,ビー カ́ヴァード ウィズ,〜で覆われている,be、covered(覆われた)、with(〜で)の組み合わせ。表面が何かで覆われているという意味。,"be coated with(ビーコ́ウティドウィズ): 〜でコーティングされている, be blanketed with(ビーブラ́ンキティドウィズ): 〜で覆われている",自然・環境,初級
be different from,ビー ディ́ファレント フロ́ム,〜と異なる,be、different(異なる)、from(〜と)の組み合わせ。違いがあるという意味。,"differ from(ディ́ファーフロム): 〜と異なる, vary from(ヴェ́アリフロム): 〜と変わる",言語基本,初級
be excited about,ビー イクサ́イティド アバ́ウト,〜にワクワクしている,be、excited(興奮した)、about(〜について)の組み合わせ。楽しみで興奮しているという意味。,"be thrilled about(ビースリ́ルドアバウト): 〜に興奮している, look forward to(ル́ックフォワードトゥ): 〜を楽しみにする",人・社会,初級
be familiar with,ビー ファミ́リアー ウィズ,〜をよく知っている,be、familiar(よく知られた)、with(〜を)の組み合わせ。精通しているという意味。,"know well(ノ́ウウェ́ル): よく知っている, be acquainted with(ビーアクウェ́インティドウィズ): 〜に精通している",学校・学習,初級
be famous for,ビー フェ́イマス フォ́ー,〜で有名である,be、famous(有名な)、for(〜で)の組み合わせ。よく知られているという意味。,"be well-known for(ビーウェ́ルノ́ウンフォア): 〜で有名である, be renowned for(ビーリナ́ウンドフォア): 〜で名高い",人・社会,初級
be far from,ビー ファ́ー フロ́ム,〜から遠い,be、far(遠い)、from(〜から)の組み合わせ。距離がある、または程遠いという意味。,"be distant from(ビーディ́スタントフロム): 〜から離れている, be remote from(ビーリモ́ウトフロム): 〜から遠く離れている",場所・移動,初級
be fond of,ビー フォ́ンド オヴ,〜が好きである,be、fond(好きな)、of(〜が)の組み合わせ。愛着があるという意味。,"like(ラ́イク): 好む, be keen on(ビーキ́ーンオン): 〜に熱中している",人・社会,初級
be free from,ビー フリ́ー フロ́ム,〜がない・解放されている,be、free(自由な)、from(〜から)の組み合わせ。束縛がないという意味。,"be without(ビーウィザ́ウト): 〜がない, be liberated from(ビーリ́バレイティドフロム): 〜から解放されている",人・社会,初級
be full of,ビー フ́ル オヴ,〜でいっぱいである,be、full(満ちた)、of(〜で)の組み合わせ。満ちているという意味。,"be filled with(ビーフィ́ルドウィズ): 〜で満たされている, be packed with(ビーパ́クトウィズ): 〜で詰まっている",時間・数量,初級
be good at,ビー グ́ッド ア́ット,〜が得意である,be、good(上手な)、at(〜において)の組み合わせ。能力が高いという意味。,"excel at(イクセ́ルア́ット): 〜に秀でる, be skilled at(ビースキ́ルドア́ット): 〜が上手である",学校・学習,初級
be grateful for,ビー グレ́イトフル フォ́ー,〜に感謝している,be、grateful(感謝する)、for(〜に)の組み合わせ。ありがたく思うという意味。,"be thankful for(ビーサ́ンクフルフォア): 〜に感謝している, appreciate(アプリ́ーシエイト): 感謝する",人・社会,初級
be interested in,ビー イ́ンタレスティド イ́ン,〜に興味がある,be、interested(興味を持った)、in(〜に)の組み合わせ。関心があるという意味。,"be curious about(ビーキュ́アリアスアバウト): 〜に好奇心がある, be keen on(ビーキ́ーンオン): 〜に熱心である",学校・学習,初級
be jealous of,ビー ジェ́ラス オヴ,〜を妬む,be、jealous(嫉妬深い)、of(〜を)の組み合わせ。羨ましく思うという意味。,"envy(エ́ンヴィ): 羨む, be envious of(ビーエ́ンヴィアスオヴ): 〜を妬む",人・社会,初級
be known for,ビー ノ́ウン フォ́ー,〜で知られている,be、known(知られた)、for(〜で)の組み合わせ。有名であるという意味。,"be famous for(ビーフェイマスフォア): 〜で有名である, be noted for(ビーノ́ウティドフォア): 〜で知られている",人・社会,初級
be late for,ビー レ́イト フォ́ー,〜に遅刻する,be、late(遅い)、for(〜に)の組み合わせ。時間に間に合わないという意味。,"arrive late for(アラ́イヴレイトフォア): 〜に遅れて到着する, miss(ミ́ス): 乗り遅れる",時間・数量,初級
be made from,ビー メ́イド フロ́ム,〜から作られる,be、made(作られた)、from(〜から)の組み合わせ。原料が変化して見えない場合に使う。類似: be made of(材料が見える),"be produced from(ビープロデュ́ーストフロム): 〜から生産される, derive from(ディラ́イヴフロム): 〜に由来する",科学・技術,初級
be made of,ビー メ́イド オヴ,〜でできている,be、made(作られた)、of(〜から)の組み合わせ。材料が見える場合に使う。類似: be made from(材料が見えない),"consist of(コンスィ́ストオヴ): 〜から成る, be composed of(ビーコンポ́ウズドオヴ): 〜で構成されている",科学・技術,初級
be pleased with,ビー プリ́ーズド ウィズ,〜に喜んでいる,be、pleased(喜んだ)、with(〜に)の組み合わせ。満足しているという意味。,"be happy with(ビーハ́ッピウィズ): 〜に満足している, be delighted with(ビーディラ́イティドウィズ): 〜に大喜びしている",人・社会,初級
be popular with,ビー ポ́ピュラー ウィズ,〜に人気がある,be、popular(人気の)、with(〜に)の組み合わせ。多くの人に好かれているという意味。,"be well-liked by(ビーウェ́ルラ́イクトバ́イ): 〜に好かれている, be favored by(ビーフェ́イヴァードバイ): 〜に好まれている",人・社会,初級
be proud of,ビー プラ́ウド オヴ,〜を誇りに思う,be、proud(誇らしい)、of(〜を)の組み合わせ。自慢に思うという意味。,"take pride in(テ́イクプラ́イドイン): 〜を誇る, boast of(ボ́ウストオヴ): 〜を自慢する",人・社会,初級
be ready for,ビー レ́ディ フォ́ー,〜の準備ができている,be、ready(準備ができた)、for(〜の)の組み合わせ。用意が整っているという意味。,"be prepared for(ビープリペアドフォア): 〜の準備ができている, be set for(ビーセットフォア): 〜の準備万端である",日常生活,初級
be responsible for,ビー リスポ́ンシブル フォ́ー,〜に責任がある,be、responsible(責任のある)、for(〜に)の組み合わせ。義務を負っているという意味。,"be in charge of(ビーインチャージオヴ): 〜を担当している, be accountable for(ビーアカ́ウンタブルフォア): 〜に対して説明責任がある",人・社会,初級
