語句,読み,意味,語源等解説,関連語,関連分野,難易度
Sustainability is the defining challenge of our time .,,持続可能性は私たちの時代の決定的な課題です,,,Sustainable Society,上級
We face environmental crises that threaten our future .,,私たちの未来を脅かす環境危機に直面しています,,,Sustainable Society,上級
Climate change resource depletion and pollution require urgent action .,,気候変動資源枯渇汚染は緊急の行動を必要とします,,,Sustainable Society,上級
Building a sustainable society is not optional .,,持続可能な社会を築くことは選択肢ではありません,,,Sustainable Society,上級
It is essential for survival .,,それは生存に不可欠です,,,Sustainable Society,上級
A sustainable society meets present needs .,,持続可能な社会は現在のニーズを満たします,,,Sustainable Society,上級
Without compromising future generations ability .,,将来の世代の能力を損なうことなく,,,Sustainable Society,上級
This requires transforming how we produce and consume .,,これは生産と消費の方法を変革することを必要とします,,,Sustainable Society,上級
It demands new economic models .,,新しい経済モデルを要求します,,,Sustainable Society,上級
It calls for individual and collective action .,,個人的および集団的行動を求めます,,,Sustainable Society,上級
Climate change is the greatest threat we face .,,気候変動は私たちが直面する最大の脅威です,,,Sustainable Society,上級
Global temperatures are rising rapidly .,,地球の気温は急速に上昇しています,,,Sustainable Society,上級
The last decade was the hottest on record .,,過去10年は記録上最も暑かったです,,,Sustainable Society,上級
Extreme weather events are becoming more frequent .,,極端な気象現象がより頻繁になっています,,,Sustainable Society,上級
Hurricanes droughts floods and wildfires intensify .,,ハリケーン干ばつ洪水山火事が激化しています,,,Sustainable Society,上級
Sea levels are rising .,,海面が上昇しています,,,Sustainable Society,上級
Coastal cities face flooding risks .,,沿岸都市は洪水のリスクに直面しています,,,Sustainable Society,上級
Small island nations may disappear entirely .,,小さな島国は完全に消える可能性があります,,,Sustainable Society,上級
Ice caps and glaciers are melting .,,氷冠と氷河が溶けています,,,Sustainable Society,上級
This disrupts water supplies for millions .,,これは何百万人もの水供給を混乱させます,,,Sustainable Society,上級
Ecosystems are collapsing .,,生態系が崩壊しています,,,Sustainable Society,上級
Species extinction rates are accelerating .,,種の絶滅率が加速しています,,,Sustainable Society,上級
Coral reefs are dying from ocean acidification .,,サンゴ礁が海洋酸性化で死んでいます,,,Sustainable Society,上級
Forests that regulate climate are being destroyed .,,気候を調節する森林が破壊されています,,,Sustainable Society,上級
The main cause is greenhouse gas emissions .,,主な原因は温室効果ガスの排出です,,,Sustainable Society,上級
Burning fossil fuels releases carbon dioxide .,,化石燃料を燃やすと二酸化炭素が放出されます,,,Sustainable Society,上級
"Coal oil and natural gas powered our development . ,",,石炭石油天然ガスが私たちの発展を動かしました,,,Sustainable Society,上級
But their use is now destroying our planet .,,しかし今やその使用は地球を破壊しています,,,Sustainable Society,上級
We must transition to clean energy .,,クリーンエネルギーに移行しなければなりません,,,Sustainable Society,上級
This transition is already beginning .,,この移行はすでに始まっています,,,Sustainable Society,上級
Renewable energy offers hope for the future .,,再生可能エネルギーは未来への希望を提供します,,,Sustainable Society,上級
Solar power harnesses energy from the sun .,,太陽光発電は太陽からエネルギーを利用します,,,Sustainable Society,上級
Solar panels convert sunlight into electricity .,,ソーラーパネルは日光を電気に変換します,,,Sustainable Society,上級
Costs have dropped dramatically .,,コストは劇的に下がりました,,,Sustainable Society,上級
Solar is now cheaper than coal in many places .,,太陽光は今や多くの場所で石炭より安いです,,,Sustainable Society,上級
Homes and businesses install solar panels .,,家庭と企業はソーラーパネルを設置します,,,Sustainable Society,上級
Large solar farms generate power for entire cities .,,大規模な太陽光発電所は都市全体に電力を供給します,,,Sustainable Society,上級
Wind power is another clean energy source .,,風力発電は別のクリーンエネルギー源です,,,Sustainable Society,上級
Wind turbines capture energy from moving air .,,風力タービンは動く空気からエネルギーを捕らえます,,,Sustainable Society,上級
Offshore wind farms are particularly effective .,,洋上風力発電所は特に効果的です,,,Sustainable Society,上級
Ocean winds are strong and consistent .,,海の風は強く一貫しています,,,Sustainable Society,上級
Countries like Denmark generate most electricity from wind .,,デンマークのような国は風力から電力の大部分を生成します,,,Sustainable Society,上級
Hydroelectric power uses flowing water .,,水力発電は流れる水を使います,,,Sustainable Society,上級
Dams generate electricity from rivers .,,ダムは川から電気を生成します,,,Sustainable Society,上級
This is a mature technology .,,これは成熟した技術です,,,Sustainable Society,上級
Many countries rely heavily on hydropower .,,多くの国は水力発電に大きく依存しています,,,Sustainable Society,上級
Geothermal energy taps heat from the Earth .,,地熱エネルギーは地球からの熱を利用します,,,Sustainable Society,上級
It is reliable and constant .,,それは信頼性が高く一定です,,,Sustainable Society,上級
Iceland uses geothermal for heating and electricity .,,アイスランドは暖房と電気のために地熱を使用します,,,Sustainable Society,上級
Biomass energy comes from organic materials .,,バイオマスエネルギーは有機材料から来ます,,,Sustainable Society,上級
We can generate energy from agricultural waste .,,農業廃棄物からエネルギーを生成できます,,,Sustainable Society,上級
Biofuels can replace gasoline in vehicles .,,バイオ燃料は車両でガソリンを置き換えることができます,,,Sustainable Society,上級
The key is diversifying our energy sources .,,鍵はエネルギー源を多様化することです,,,Sustainable Society,上級
