語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
CO2削減,しーおーつーさくげん,二酸化炭素排出を減らす取り組み,CO2削減は地球温暖化対策の中心的な取り組み。パリ協定では各国が削減目標を設定。再生可能エネルギーの利用拡大、省エネルギー技術の開発、森林保全などが重要な手段。日本も2050年カーボンニュートラルを目標に掲げる。,地球温暖化|パリ協定|温室効果ガス|カーボンニュートラル,地理-環境,制度概念,,3
CTBT,しーてぃーびーてぃー,包括的核実験禁止条約,CTBTは1996年に国連総会で採択された核実験を全面的に禁止する条約。地下核実験を含むあらゆる核実験を禁止。核軍縮の重要な一歩だが、未発効。日本は批准済みだがアメリカ・中国などが未批准。,NPT|核軍縮|核兵器廃絶|国際条約,公民-国際,制度概念,,3
ICT,あいしーてぃー,情報通信技術,ICTは情報通信技術（Information and Communication Technology）の略。インターネット、スマートフォン、クラウドコンピューティングなどを指す。現代社会では教育・医療・ビジネスのあらゆる分野で活用される。,情報社会|インターネット|デジタル化|Society 5.0,公民-政治,その他,,3
NAFTA,なふた,北米自由貿易協定,NAFTAは1994年に発効したアメリカ・カナダ・メキシコの自由貿易協定。関税を撤廃し北米を一つの経済圏とした。2020年にUSMCA（米国・メキシコ・カナダ協定）に更新された。地域統合の代表例。,自由貿易|地域統合|アメリカ合衆国|メキシコ,地理-世界,制度概念,,2
NPT,えぬぴーてぃー,核拡散防止条約,NPTは1968年に発効した核兵器の拡散を防止する条約。核保有国を5か国（米・露・英・仏・中）に限定し、他国への核兵器の拡散を禁止。核軍縮の促進も目的とする。日本を含む190か国以上が加盟。,核兵器|CTBT|核軍縮|国際条約,公民-国際,制度概念,,3
キリスト教,きりすときょう,イエスを救世主とする宗教,キリスト教はイエス・キリストを救世主として信仰する世界宗教。16世紀にカトリックとプロテスタントに分裂。日本には戦国時代にフランシスコ・ザビエルが伝来。織田信長は保護したが江戸幕府は禁教とした。,フランシスコ・ザビエル|織田信長|禁教令|島原の乱,歴史-近世,その他,,2
デジタル化,でじたるか,情報や業務をデジタル技術で処理すること,デジタル化は紙や人手による作業をコンピュータやインターネットで行うように変えること。行政のデジタル化、教育のICT化、企業のDX（デジタルトランスフォーメーション）などが推進される。情報格差（デジタルデバイド）が課題。,ICT|情報社会|Society 5.0|DX,公民-政治,その他,,3
ナチスドイツ,なちすどいつ,ヒトラー率いるドイツの独裁政権,ナチスドイツは1933年にヒトラーが首相となり成立した独裁政権。ユダヤ人迫害、全体主義、軍備拡張を進めた。第二次世界大戦を引き起こし、ホロコースト（大量虐殺）を行った。1945年に連合国に敗北し崩壊。,ヒトラー|第二次世界大戦|ファシズム|ホロコースト,歴史-現代,その他,,3
ネット社会,ねっとしゃかい,インターネットが普及した社会,ネット社会はインターネットが生活の基盤となった社会。SNSで誰でも情報発信できる一方、フェイクニュース、個人情報流出、ネット犯罪などの問題も発生。情報リテラシー（情報を正しく読み取り活用する力）が重要。,情報社会|SNS|フェイクニュース|情報リテラシー,公民-政治,その他,,3
ファシズム,ふぁしずむ,独裁的な全体主義体制,ファシズムは個人の自由を抑圧し国家権力を絶対化する政治体制。1920-30年代にイタリア（ムッソリーニ）、ドイツ（ヒトラー）、日本（軍部）で台頭。第二次世界大戦の原因となった。民主主義の対極にある。,ヒトラー|ムッソリーニ|ナチスドイツ|第二次世界大戦,歴史-現代,制度概念,,3
