語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
法隆寺,ほうりゅうじ,聖徳太子ゆかりの寺,法隆寺は奈良県にある聖徳太子ゆかりの寺。607年創建と伝えられる。現存する世界最古の木造建築。飛鳥文化の代表的建造物。五重塔、金堂が有名。釈迦三尊像、百済観音などの国宝を多数所蔵。1993年に日本初の世界文化遺産に登録。,聖徳太子|飛鳥時代|世界遺産|木造建築,歴史-古代,地名,,1
浄土教,じょうどきょう,阿弥陀仏を信仰する仏教,浄土教は阿弥陀仏の救いを信じ、西方極楽浄土への往生を願う仏教の宗派。平安時代に貴族の間で広まり、鎌倉時代に法然（浄土宗）、親鸞（浄土真宗）が民衆に布教。「南無阿弥陀仏」と唱えれば救われるとした。戦乱・疫病の不安な時代に支持された。,阿弥陀仏|法然|親鸞|平安時代,歴史-中世,その他,,2
渡来人,とらいじん,古代に朝鮮から来た人々,渡来人は古代（4〜7世紀）に朝鮮半島から日本に移住した人々。鉄器製造、機織り、漢字、仏教などの先進技術・文化を伝えた。大和政権に仕え、土木工事、仏像製作などを担当。秦氏、漢氏などの有力氏族が知られる。日本の古代文化形成に大きく貢献。,古墳時代|朝鮮半島|大和政権|鉄器,歴史-古代,その他,,1
温帯,おんたい,四季がある気候帯,温帯は夏と冬の気温差があり四季が明瞭な気候帯。年間降水量が適度で農業に適する。日本、ヨーロッパ、アメリカ東部などに分布。温暖湿潤気候（日本）、地中海性気候（南ヨーロッパ）、西岸海洋性気候（西ヨーロッパ）に細分される。世界人口の大半が温帯に居住。,気候帯|四季|日本の気候|農業,地理-日本,その他,,1
火山,かざん,マグマが噴出する山,火山はマグマが地表に噴出してできた山。日本は環太平洋造山帯に位置し、活火山が約110ある。富士山、浅間山、阿蘇山などが有名。火山の恵み（温泉、地熱発電、肥沃な土壌）もあるが、噴火災害のリスクもある。火山国として防災対策が重要。,富士山|環太平洋造山帯|噴火|温泉,地理-日本,地名,,1
環境保全,かんきょうほぜん,環境を守ること,環境保全は自然環境を守り持続可能な社会を実現すること。森林保護、野生生物保護、公害防止、リサイクルなどが含まれる。日本は公害対策で成果を上げ、環境技術を世界に輸出。SDGs（持続可能な開発目標）でも環境保全が重視される。,SDGs|持続可能な開発|環境問題|リサイクル,地理-環境,その他,,3
産業,さんぎょう,経済活動の分類,産業は経済活動を分類したもの。第一次産業（農林水産業）、第二次産業（工業）、第三次産業（サービス業）に分類される。先進国では第三次産業の割合が高い。日本も第三次産業が約7割を占める。近年は第四次産業（情報産業）も注目される。,第一次産業|第二次産業|第三次産業|経済,公民-経済,その他,,2
発展途上国,はってんとじょうこく,経済発展が遅れている国,発展途上国は工業化が進まず経済発展が遅れている国。アジア、アフリカ、中南米に多い。一人当たりGNIが低く、貧困・飢餓・教育不足が課題。先進国からのODA（政府開発援助）、技術協力で発展を目指す。近年は新興国として急成長する国もある。,ODA|貧困|南北問題|国際協力,地理-世界,その他,,3
空港,くうこう,飛行機の発着場,空港は飛行機の離着陸・旅客・貨物の取り扱いを行う施設。国際交流・物流の拠点。日本の主要空港は成田空港、羽田空港、関西国際空港など。LCC（格安航空会社）の普及で利用者が増加。交通網の一部として新幹線、高速道路と連結。観光・ビジネスに不可欠。,成田空港|羽田空港|交通網|国際交流,地理-日本,その他,,2
立憲政治,りっけんせいじ,憲法に基づく政治,立憲政治は憲法に基づいて政治を行う体制。憲法で国民の権利を保障し、国家権力を制限（立憲主義）。明治時代に大日本帝国憲法を制定し、立憲政治を開始。大正デモクラシーで本格化。戦後は日本国憲法のもとで民主的な立憲政治が確立。,立憲主義|憲法|明治憲法|民主主義,歴史-近代,制度概念,,3
経済統合,けいざいとうごう,複数国が経済を一体化すること,経済統合は複数の国が関税撤廃、共通市場形成で経済を一体化すること。自由貿易地域→関税同盟→共通市場→経済同盟の順に統合が深化。EUが最も進んだ事例で単一通貨ユーロを導入。ASEAN、NAFTAも経済統合を進める。貿易拡大と経済成長が目的。,EU|ASEAN|地域統合|自由貿易,地理-世界,制度概念,,3
縄文土器,じょうもんどき,縄文時代の土器,縄文土器は縄文時代（紀元前14000年頃〜紀元前10世紀）に使われた土器。縄目（なわめ）の文様が特徴。厚手で低温焼成。煮炊き、食料貯蔵に使用。火焔型土器（新潟県）など芸術性の高いものもある。世界最古級の土器の一つ。狩猟採集生活を反映。,縄文時代|火焔型土器|弥生土器|土器,歴史-古代,その他,,1
自由貿易,じゆうぼうえき,関税をかけない貿易,自由貿易は関税や輸入制限をせず自由に貿易すること。各国が得意な商品を生産・輸出すれば全体の利益が増える（比較優位の原理）。WTO、FTA、EPAで推進。しかし国内産業保護のため保護貿易を主張する国もある。貿易摩擦の原因となることも。,貿易|関税|WTO|保護貿易,地理-世界,制度概念,,2
