語句,読み,意味,詳細解説,関連事項,関連分野,種別,source
民主主義,みんしゅしゅぎ,政治,国民が主権を持ち、政治に参加する制度。選挙で代表者を選び、多数決で決定する。基本的人権の尊重と法の支配が基礎。議会制民主主義が一般的。,国民主権|選挙|議会,公民-政治,制度概念,junior
国民主権,こくみんしゅけん,政治,日本国憲法の三大原則の一つ。国民が主権を持ち、選挙で代表を選び政治を行う。天皇は象徴であり、政治権力を持たない。国民投票で憲法改正も可能。,日本国憲法|選挙|天皇,公民-政治,制度概念,junior
三権分立,さんけんぶんりつ,政治,権力の集中を防ぐため、立法権（国会）・行政権（内閣）・司法権（裁判所）に分ける。互いに抑制と均衡を保ち、独裁を防ぐ。モンテスキューが提唱した原理。,国会|内閣|裁判所,公民-政治,制度概念,junior
国会,こっかい,政治,日本の立法機関で、法律を制定する。衆議院と参議院の二院制。衆議院は解散があり、予算先議権・内閣不信任権を持つ。参議院は任期6年で3年ごとに半数改選。,立法権|衆議院|参議院,公民-政治,制度概念,junior
内閣,ないかく,政治,内閣総理大臣と国務大臣で構成される行政機関。法律を執行し、政策を実施する。総理大臣は国会議員の中から国会が指名。内閣は国会に対して連帯責任を負う。,行政権|内閣総理大臣|国務大臣,公民-政治,制度概念,junior
裁判所,さいばんしょ,政治,争いを法律に基づいて解決する機関。最高裁判所と下級裁判所（高等・地方・家庭・簡易裁判所）がある。法律が憲法に違反していないか審査する違憲立法審査権を持つ。,司法権|最高裁判所|違憲審査権,公民-政治,制度概念,junior
選挙,せんきょ,政治,民主主義の基本。満18歳以上の国民に選挙権がある。普通選挙・平等選挙・秘密選挙・直接選挙が原則。衆議院は小選挙区比例代表並立制、参議院は選挙区制と比例代表制。,選挙権|普通選挙|18歳,公民-政治,制度概念,junior
地方自治,ちほうじち,政治,都道府県・市町村が独自に行う政治。首長と議員を住民が直接選挙で選ぶ。条例を制定し、地域の特性に応じた政策を実施。住民投票やリコール制度もある。,都道府県|市町村|条例,公民-政治,制度概念,junior
人権,じんけん,政治,すべての人が生まれながらに持つ基本的な権利。日本国憲法で基本的人権の尊重が保障される。自由権・平等権・社会権・参政権・請求権がある。公共の福祉により制限される場合もある。,基本的人権|自由権|平等権,公民-人権,制度概念,junior
平等権,びょうどうけん,政治,性別・人種・信条・社会的身分などによる差別を禁止。法の下の平等を保障。男女雇用機会均等法、障害者差別解消法などで具体化。部落差別・在日外国人差別の解消も課題。,法の下の平等|差別禁止|男女平等,公民-人権,制度概念,junior
資本主義,しほんしゅぎ,経済,生産手段を個人が所有し、利潤追求を目的とする経済体制。市場経済・自由競争が原則。しかし独占・格差などの問題もあり、政府による修正が必要。日本は修正資本主義。,市場経済|自由競争|私有財産,公民-経済,制度概念,junior
市場経済,しじょうけいざい,経済,商品の価格が需要と供給の関係で決まる経済。価格の自動調節機能（見えざる手）が働く。競争により効率的な生産が促進される。しかし市場の失敗もあり、政府の介入が必要。,需要と供給|価格|見えざる手,公民-経済,地名,junior
通貨,つうか,経済,商品の交換を仲介する手段。日本では日本銀行が発行する日本銀行券（紙幣）と、政府が発行する硬貨がある。価値の尺度・交換の手段・価値の保存の機能を持つ。,日本銀行|紙幣|硬貨,公民-経済,制度概念,junior
日本銀行,にほんぎんこう,経済,日本唯一の中央銀行で、日本銀行券（お札）を発行する。金融政策を行い、景気を調整。政府の銀行・銀行の銀行としても機能。物価の安定と金融システムの安定が目的。,中央銀行|紙幣|金融政策,公民-経済,制度概念,junior
