語句,読み,意味,詳細解説,関連事項,関連分野,種別,source
北海道,ほっかいどう,地理,日本列島の最北に位置する都道府県。面積は日本最大（約83424km²）。道庁所在地は札幌市。冷涼な気候で稲作、酪農、畑作が盛ん。アイヌ民族の伝統文化が残る。,札幌市|石狩平野|アイヌ文化,地理-日本,地名,junior
東北地方,とうほくちほう,地理,本州北部の地方。夏季のやませによる冷害、冬季の豪雪が特徴。稲作が盛んで、りんご・さくらんぼの生産が多い。三陸海岸はリアス海岸で漁業が盛ん。,やませ|リアス海岸|稲作,地理-日本,地名,junior
関東地方,かんとうちほう,地理,茨城・栃木・群馬・埼玉・千葉・東京・神奈川の1都6県。日本の政治・経済の中心。関東平野は日本最大の平野。東京湾岸に京浜工業地帯が発達。,関東平野|東京|京浜工業地帯,地理-日本,地名,junior
中部地方,ちゅうぶちほう,地理,新潟・富山・石川・福井・山梨・長野・岐阜・静岡・愛知の9県。日本アルプス（飛騨・木曽・赤石山脈）が連なる。東海地方（静岡・愛知）は中京工業地帯、北陸は米どころ。,日本アルプス|中京工業地帯|北陸,地理-日本,地名,junior
近畿地方,きんきちほう,地理,三重・滋賀・京都・大阪・兵庫・奈良・和歌山の2府5県。古都京都・奈良など歴史的建造物が多い。大阪は商業の中心で、阪神工業地帯が発達。琵琶湖は日本最大の湖。,大阪|京都|琵琶湖,地理-日本,地名,junior
中国地方,ちゅうごくちほう,地理,鳥取・島根・岡山・広島・山口の5県。中国山地が東西に走る。瀬戸内海側は温暖で降水量少ない。広島は平和記念都市。岡山は晴れの国として知られ、果樹栽培が盛ん。,中国山地|瀬戸内海|広島,地理-日本,地名,junior
四国地方,しこくちほう,地理,4県からなる島。讃岐山脈・四国山地が走る。瀬戸内海側は温暖少雨、太平洋側は多雨。高知はピーマン・なすの促成栽培、愛媛はみかん生産が盛ん。,四国山地|瀬戸内海|促成栽培,地理-日本,地名,junior
九州地方,きゅうしゅうちほう,地理,福岡・佐賀・長崎・熊本・大分・宮崎・鹿児島の7県。火山が多く温泉地が点在。北九州工業地帯があり、IC生産も盛ん。畜産・園芸農業が発達。沖縄県は含まない。,北九州工業地帯|火山|温泉,地理-日本,地名,junior
沖縄県,おきなわけん,地理,亜熱帯気候の島々からなる県。県庁所在地は那覇市。さとうきびパイナップル栽培が盛ん。琉球王国の歴史と独自の文化。第二次世界大戦の激戦地で、米軍基地が多い。,那覇市|琉球王国|米軍基地,地理-日本,地名,junior
石狩平野,いしかりへいや,地理,北海道中西部の平野。石狩川流域に広がる。泥炭地を開拓し、大規模な稲作が行われる。札幌市があり、北海道の政治・経済の中心。,石狩川|札幌市|稲作,地理-日本,地名,junior
