語句,読み,意味,詳細解説,関連事項,関連分野,種別,source
縄文時代,じょうもんじだい,歴史,約1万2000年前から約2300年前まで続いた時代。縄目の文様がある縄文土器が特徴。竪穴住居に住み、狩猟・採集生活を送った。,弥生時代|縄文土器|竪穴住居,歴史-古代,出来事,junior
弥生時代,やよいじだい,歴史,約2300年前から約1700年前まで続いた時代。大陸から稲作と金属器が伝わった。弥生土器を使用し、高床倉庫で米を保管した。身分の差が生まれ、クニができた。,縄文時代|古墳時代|稲作,歴史-古代,出来事,junior
邪馬台国,やまたいこく,歴史,3世紀頃に存在したと考えられる国。女王卑弥呼が鬼道で人々を治めた。中国の歴史書『魏志倭人伝』に記録されている。場所は近畿説と九州説がある。,卑弥呼|魏志倭人伝|古墳時代,歴史-古代,地名,junior
古墳時代,こふんじだい,歴史,3世紀後半から7世紀頃の時代。有力者の墓として前方後円墳などの大型古墳が造られた。大和朝廷が勢力を拡大し、日本統一が進んだ。,前方後円墳|大和朝廷|古墳,歴史-古代,出来事,junior
聖徳太子,しょうとくたいし,歴史,飛鳥時代の政治家。推古天皇の摂政として活躍。冠位十二階で才能ある人材を登用し、十七条の憲法で役人の心得を示した。遣隋使を派遣し、中国の文化を学んだ。,冠位十二階|十七条の憲法|遣隋使,歴史-古代,人物名,junior
大化の改新,たいかのかいしん,歴史,645年に始まった日本初の本格的な政治改革。蘇我氏を倒し、天皇中心の政治を目指した。公地公民制を導入し、戸籍・班田収授法を整備した。,中大兄皇子|中臣鎌足|蘇我氏,歴史-古代,その他,junior
奈良時代,ならじだい,歴史,710年から794年までの約80年間。平城京（奈良）に都が置かれた。聖武天皇が国分寺や東大寺の大仏を造り、仏教の力で国を治めようとした。『古事記』『日本書紀』が編纂された。,平城京|聖武天皇|東大寺,歴史-古代,出来事,junior
平安時代,へいあんじだい,歴史,794年から1185年までの約400年間。桓武天皇が平安京（京都）に都を移した。藤原氏が摂関政治で権力を握り、国風文化が発展。かな文字が生まれ、『源氏物語』『枕草子』が書かれた。,平安京|藤原氏|国風文化,歴史-古代,出来事,junior
鎌倉幕府,かまくらばくふ,歴史,1185年に源頼朝が開いた日本初の武家政権。征夷大将軍に任命され、鎌倉に幕府を開いた。守護・地頭を置き、御恩と奉公の関係で武士を統治した。執権北条氏が実権を握った。,源頼朝|執権|御恩と奉公,歴史-中世,制度概念,junior
元寇,げんこう,歴史,1274年と1281年の2回、元（モンゴル）が日本を攻めた。執権北条時宗が防戦し、暴風雨（神風）もあって撃退した。しかし恩賞が不十分で御家人の生活が苦しくなり、幕府の衰退につながった。,元|北条時宗|神風,歴史-中世,人物名,junior
