語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
戦争放棄,せんそうほうき,戦争をしないことを宣言すること,日本国憲法第9条で規定。国際紛争を解決する手段としての戦争を放棄し、戦力を保持しない。,憲法第9条・平和主義・自衛隊,公民-政治,用語,tokyo_shoseki,中学
有限責任,ゆうげんせきにん,出資額の範囲内で責任を負うこと,株式会社の株主が負う責任。会社が倒産しても出資額以上の損失は生じない。株式会社の特徴。,株式会社・出資・経営,公民-経済,用語,tokyo_shoseki,中学
民主政治,みんしゅせいじ,国民が政治の主体となる政治,国民主権の原理に基づく。選挙・議会・政党政治などが仕組み。対立する意見の調整が重要。,国民主権・選挙・議会・政党,公民-政治,用語,tokyo_shoseki,中学
民事裁判,みんじさいばん,私人間の権利や義務に関する争いを解決する裁判,金銭の貸し借り・土地の境界・契約違反など。原告が被告を訴える形で始まる。,裁判所・原告・被告・権利,公民-政治,用語,tokyo_shoseki,中学
水呑百姓,みずのみびゃくしょう,江戸時代の土地を持たない貧しい農民,田畑を持たず、他人の土地を借りて耕作した。年貢は負担しないが、生活は苦しかった。,江戸時代・身分制度・農民・年貢,歴史-近世,用語,tokyo_shoseki,中学
江戸時代,えどじだい,徳川家康が江戸幕府を開いた1603年から明治維新までの時代,約260年間続いた武家政権の時代。鎖国政策・身分制度・参勤交代などが特徴。,江戸幕府・徳川家康・鎖国・身分制度,歴史-近世,用語,tokyo_shoseki,中学
法の支配,ほうのしはい,権力も法に従わなければならないという原則,専制政治を防ぎ、人権を守るための原則。立憲主義の基礎となる考え方。,立憲主義・人権・法治国家,公民-政治,用語,tokyo_shoseki,中学
法律の制定,ほうりつのせいてい,国会が法律を作ること,国会は唯一の立法機関として法律を制定する。衆議院と参議院の両院で可決されて成立。,国会・立法権・二院制,公民-政治,用語,tokyo_shoseki,中学
消費生活,しょうひせいかつ,商品やサービスを購入・利用する生活,消費者として賢い選択が求められる。悪質商法への注意や環境への配慮も重要。,消費者・消費者保護・悪質商法,公民-経済,用語,tokyo_shoseki,中学
消費者,しょうひしゃ,商品やサービスを購入・利用する人,事業者に対して弱い立場にあることが多い。消費者基本法などで保護される。,消費者保護・消費者基本法・消費者庁,公民-経済,用語,tokyo_shoseki,中学
消費者の権利,しょうひしゃのけんり,消費者が持つ権利,安全である権利・知らされる権利・選ぶ権利・意見が反映される権利など。ケネディ大統領が提唱。,消費者保護・消費者基本法・ケネディ,公民-経済,用語,tokyo_shoseki,中学
消費者保護,しょうひしゃほご,消費者の権利や利益を守ること,消費者基本法・製造物責任法（PL法）・特定商取引法などで保護。消費者庁が中心的役割。,消費者・消費者基本法・消費者庁・PL法,公民-経済,用語,tokyo_shoseki,中学
消費者基本法,しょうひしゃきほんほう,消費者保護の基本となる法律,1968年に消費者保護基本法として制定、2004年に改正。消費者の権利を明確化。,消費者保護・消費者の権利・消費者庁,公民-経済,用語,tokyo_shoseki,中学
消費者庁,しょうひしゃちょう,消費者行政を一元的に担当する省庁,2009年設立。消費者保護・食品安全・製品事故対応などを担当。内閣府の外局。,消費者保護・内閣府・行政機関,公民-経済,用語,tokyo_shoseki,中学
熱帯林破壊,ねったいりんはかい,熱帯雨林が伐採されること,アマゾン川流域などで進行。地球温暖化や生物多様性の喪失につながる環境問題。,環境問題・地球温暖化・アマゾン川,地理-環境,用語,tokyo_shoseki,中学
生産,せいさん,財やサービスを作り出すこと,農業・工業・サービス業など様々な産業で行われる。経済活動の基本。,産業・経済活動・GDP,公民-経済,用語,tokyo_shoseki,中学
町人,ちょうにん,江戸時代の商人や職人,武士・農民とともに身分制度を構成。大坂・江戸などの城下町で活躍。元禄文化・化政文化の担い手。,江戸時代・身分制度・城下町・町人文化,歴史-近世,用語,tokyo_shoseki,中学
省庁,しょうちょう,国の行政機関,内閣の下に置かれる各省と庁。財務省・外務省・文部科学省など。行政サービスを提供。,行政・内閣・中央省庁,公民-政治,用語,tokyo_shoseki,中学
立憲主義,りっけんしゅぎ,憲法によって権力を制限する考え方,権力の濫用を防ぎ、人権を守るための原理。近代民主主義の基礎。法の支配と関連。,憲法・法の支配・人権・民主主義,公民-政治,用語,tokyo_shoseki,中学
競争,きょうそう,企業が市場で顧客を獲得しようと争うこと,自由競争により価格が下がり、商品の質が向上。独占禁止法で公正な競争を保護。,市場経済・独占禁止法・価格,公民-経済,用語,tokyo_shoseki,中学
経営,けいえい,企業を運営すること,利潤を上げるための計画・組織・統制などの活動。経営者が意思決定を行う。,企業・利潤・経営者・経営戦略,公民-経済,用語,tokyo_shoseki,中学
羊毛,ようもう,羊から取れる繊維,オーストラリア・ニュージーランドが主要生産国。毛織物の原料として重要な資源。,オーストラリア・牧畜・繊維産業,地理-産業,用語,tokyo_shoseki,中学
藩,はん,江戸時代の地方支配の単位,大名が治める領地。約300の藩があった。藩校を設けて武士の教育を行った。,江戸時代・大名・藩主・藩校,歴史-近世,用語,tokyo_shoseki,中学
行政権,ぎょうせいけん,法律を実行し、国を統治する権力,内閣が持つ権力。三権分立の一つ。予算の作成・条約の締結・公務員の任免などを行う。,三権分立・内閣・立法権・司法権,公民-政治,用語,tokyo_shoseki,中学
行政機関,ぎょうせいきかん,行政を担当する機関,内閣・各省庁・地方公共団体など。法律を執行し、公共サービスを提供する。,行政・内閣・省庁・地方公共団体,公民-政治,用語,tokyo_shoseki,中学
議決,ぎけつ,議会で決定すること,法律・予算・条例などを議会が決定する。多数決の原則に基づく。国会や地方議会の重要な権限。,国会・地方議会・多数決・議会制民主主義,公民-政治,用語,tokyo_shoseki,中学
起業,きぎょう,新しく事業を始めること,ベンチャー企業の設立など。経済の活性化や雇用創出につながる。リスクと責任を伴う。,企業・ベンチャー・経済活性化,公民-経済,用語,tokyo_shoseki,中学
違憲審査権,いけんしんさけん,法律や命令が憲法に違反していないか審査する権限,裁判所が持つ権限。司法権の独立を保障し、人権を守る。最高裁判所が終審。,裁判所・司法権・憲法・人権,公民-政治,用語,tokyo_shoseki,中学
都道府県,とどうふけん,広域の地方公共団体,東京都・北海道・43県・2府の総称。広域的な行政サービスを担当。知事が首長。,地方自治・地方公共団体・知事・市町村,公民-政治,用語,tokyo_shoseki,中学
配当,はいとう,株主に分配される利益,企業が得た利潤の一部を株主に還元。株式投資の魅力の一つ。,株式会社・株主・利潤・株式,公民-経済,用語,tokyo_shoseki,中学
閣議,かくぎ,内閣の会議,内閣総理大臣と国務大臣全員で構成。内閣の意思決定を行う。全会一致が原則。,内閣・内閣総理大臣・国務大臣・議院内閣制,公民-政治,用語,tokyo_shoseki,中学
需要と供給,じゅようときょうきゅう,買いたい量と売りたい量の関係,需要が供給を上回ると価格は上がり、供給が需要を上回ると価格は下がる。市場経済の基本原理。,市場経済・価格・市場,公民-経済,用語,tokyo_shoseki,中学
領土,りょうど,国家の主権が及ぶ陸地の範囲,領海・領空とともに国家の主権が及ぶ範囲。領土問題は国際紛争の原因となることがある。,主権・領海・領空・国境,公民-国際,用語,tokyo_shoseki,中学
首長,しゅちょう,地方公共団体の長,都道府県知事・市町村長のこと。住民の直接選挙で選ばれる。地方行政の責任者。,地方自治・地方公共団体・知事・市長・地方選挙,公民-政治,用語,tokyo_shoseki,中学
高等裁判所,こうとうさいばんしょ,控訴審を担当する裁判所,全国に8か所設置。地方裁判所の判決に不服がある場合の控訴を審理する。三審制の第二審。,裁判所・三審制・控訴・司法権,公民-政治,用語,tokyo_shoseki,中学
