語句,読み,意味,語源等解説,関連語,関連分野,難易度
get up,ɡet (ゲット) ʌp (アップ),起きる,get(〜になる)とup(上に)の組み合わせ。寝た状態から起き上がるという意味。,"wake up(ウェイク アップ): 目を覚ます, rise(ライズ): 起き上がる",日常生活,beginner
go to bed,ɡoʊ (ゴー) tuː (トゥ) bed (ベッド),寝る,go(行く)とto bed(ベッドへ)の組み合わせ。寝るために横になるという意味。,"sleep(スリープ): 眠る, fall asleep(フォール アスリープ): 眠りに落ちる",日常生活,beginner
come back,kʌm (カム) bæk (バック),帰ってくる,come(来る)とback(戻って)の組み合わせ。元の場所に戻ってくるという意味。,"return(リターン): 戻る, go back(ゴー バック): 戻る",人・社会,beginner
come from,kʌm (カム) frʌm (フロム),〜出身である,come(来る)とfrom(〜から)の組み合わせ。どこから来たかを表す意味。,"be from(ビー フロム): 〜出身である, originate from(オリジネイト フロム): 〜に由来する",人・社会,beginner
look at,lʊk (ルック) æt (アット),〜を見る,look(見る)とat(〜を)の組み合わせ。視線を向けて見るという意味。,"watch(ウォッチ): 注視する, see(シー): 見える",人・社会,beginner
look for,lʊk (ルック) fɔːr (フォー),〜を探す,look(見る)とfor(〜を)の組み合わせ。何かを見つけようとするという意味。,"search for(サーチ フォー): 捜す, seek(シーク): 探し求める",人・社会,beginner
listen to,ˈlɪsən (リスン) tuː (トゥ),〜を聞く,listen(聞く)とto(〜に)の組み合わせ。耳を傾けて聞くという意味。,"hear(ヒア): 聞こえる, pay attention to(ペイ アテンション トゥ): 注意を払う",人・社会,beginner
wait for,weɪt (ウェイト) fɔːr (フォー),〜を待つ,wait(待つ)とfor(〜を)の組み合わせ。誰かや何かが来るのを待つという意味。,"expect(イクスペクト): 期待する, await(アウェイト): 待ち受ける",人・社会,beginner
talk to,tɔːk (トーク) tuː (トゥ),〜と話す,talk(話す)とto(〜に)の組み合わせ。誰かに話しかけるという意味。,"speak to(スピーク トゥ): 話しかける, chat with(チャット ウィズ): 雑談する",人・社会,beginner
talk about,tɔːk (トーク) əˈbaʊt (アバウト),〜について話す,talk(話す)とabout(〜について)の組み合わせ。ある話題について話すという意味。,"discuss(ディスカス): 議論する, speak about(スピーク アバウト): 〜について話す",人・社会,beginner
think about,θɪŋk (シンク) əˈbaʊt (アバウト),〜について考える,think(考える)とabout(〜について)の組み合わせ。ある事柄について思いを巡らせるという意味。,"consider(コンシダー): 熟考する, ponder(ポンダー): 熟考する",人・社会,beginner
take care of,teɪk (テイク) ker (ケア) ʌv (オブ),〜の世話をする,take care(世話をする)とof(〜の)の組み合わせ。責任を持って面倒を見るという意味。,"look after(ルック アフター): 世話をする, care for(ケア フォー): 気にかける",人・社会,beginner
put on,pʊt (プット) ɑːn (オン),〜を着る,put(置く)とon(上に)の組み合わせ。衣服を身に着けるという意味。,"wear(ウェア): 着ている, dress(ドレス): 服を着せる",日常生活,beginner
take off,teɪk (テイク) ɔːf (オフ),〜を脱ぐ,take(取る)とoff(離れて)の組み合わせ。衣服を体から外すという意味。,"remove(リムーブ): 取り除く, undress(アンドレス): 服を脱ぐ",日常生活,beginner
turn on,tɜːrn (ターン) ɑːn (オン),〜をつける,turn(回す)とon(動作状態に)の組み合わせ。電気機器などを作動させるという意味。,"switch on(スウィッチ オン): つける, activate(アクティベイト): 作動させる",人・社会,beginner
turn off,tɜːrn (ターン) ɔːf (オフ),〜を消す,turn(回す)とoff(停止状態に)の組み合わせ。電気機器などを停止させるという意味。,"switch off(スウィッチ オフ): 消す, deactivate(ディアクティベイト): 停止させる",人・社会,beginner
pick up,pɪk (ピック) ʌp (アップ),〜を拾う,pick(選ぶ)とup(上に)の組み合わせ。地面などから持ち上げるという意味。,"lift(リフト): 持ち上げる, collect(コレクト): 集める",人・社会,beginner
give up,ɡɪv (ギブ アップ),あきらめる,give(与える)とup(上に)の組み合わせ。努力をやめて降参するという意味。,"quit(クウィット): やめる, abandon(アバンドン): 放棄する",人・社会,beginner
find out,faɪnd (ファインド アウト),〜を見つける,find(見つける)とout(外に)の組み合わせ。調べて明らかにするという意味。,"discover(ディスカバー): 発見する, learn(ラーン): 知る",人・社会,beginner
take part in,teɪk (テイク パート イン),〜に参加する,take part(役割を取る)とin(〜に)の組み合わせ。活動に加わるという意味。,"join(ジョイン): 参加する, participate in(パーティシペイト イン): 参加する",人・社会,beginner
be interested in,biː (ビー) ˈɪntrəstɪd (インタレスティド) ɪn (イン),〜に興味がある,be interested(興味を持つ)とin(〜に)の組み合わせ。関心を持っているという意味。,"be curious about(ビー キュリアス アバウト): 〜に好奇心がある, like(ライク): 好む",食・健康,beginner
be good at,biː (ビー) ɡʊd (グッド) æt (アット),〜が得意である,be good(上手)とat(〜で)の組み合わせ。能力が高いという意味。,"excel at(エクセル アット): 〜に秀でる, be skilled at(ビー スキルド アット): 〜が上手である",人・社会,beginner
look like,lʊk (ルック) laɪk (ライク),〜に似ている,look(見える)とlike(〜のように)の組み合わせ。外見が似ているという意味。,"resemble(リゼンブル): 似る, appear like(アピア ライク): 〜のように見える",人・社会,beginner
go out,ɡəʉ (ゴー アウト),外出する,go(行く)とout(外へ)の組み合わせ。家や建物の外に出るという意味。,"leave(リーブ): 去る, exit(イグジット): 退出する",場所・移動,beginner
come in,kʌm (カム イン),入る,come(来る)とin(中へ)の組み合わせ。建物や部屋の中に入るという意味。,"enter(エンター): 入る, go in(ゴー イン): 入る",人・社会,beginner
sit down,sɪt (シット ダウン),座る,sit(座る)とdown(下に)の組み合わせ。立った状態から腰を下ろすという意味。,"take a seat(テイク ア シート): 席に着く, be seated(ビー シーティド): 座る",人・社会,beginner
stand up,stænd (スタンド アップ),立つ,stand(立つ)とup(上に)の組み合わせ。座った状態から立ち上がるという意味。,"rise(ライズ): 起き上がる, get up(ゲット アップ): 立ち上がる",人・社会,beginner
run away,ɹʊn (ラン アウェイ),逃げる,run(走る)とaway(離れて)の組み合わせ。危険や脅威から逃走するという意味。,"escape(エスケイプ): 逃げる, flee(フリー): 逃走する",人・社会,beginner
grow up,ɡɹəʊ (グロウ アップ),成長する,grow(育つ)とup(上に)の組み合わせ。子供から大人になるという意味。,"mature(マチュア): 成熟する, develop(ディベロップ): 発達する",人・社会,beginner
help out,hɛlp (ヘルプ アウト),手伝う,help(助ける)とout(完全に)の組み合わせ。困っている人を助けるという意味。,"assist(アシスト): 援助する, support(サポート): 支援する",食・健康,beginner
in the morning,ɪn (イン ザ モーニング),朝に,in(〜に)とthe morning(朝)の組み合わせ。午前中の時間帯を指す表現。,"in the afternoon(イン ジ アフタヌーン): 午後に, in the evening(イン ジ イーブニング): 夕方に",時間・数量,beginner
in the afternoon,ɪn (イン ジ アフタヌーン),午後に,in(〜に)とthe afternoon(午後)の組み合わせ。正午から夕方までの時間帯を指す表現。,"in the morning(イン ザ モーニング): 朝に, at noon(アット ヌーン): 正午に",時間・数量,beginner
in the evening,ɪn (イン ジ イーブニング),夕方に,in(〜に)とthe evening(夕方)の組み合わせ。日没前後の時間帯を指す表現。,"at night(アット ナイト): 夜に, in the afternoon(イン ジ アフタヌーン): 午後に",人・社会,beginner
on time,ɒn (オン) taɪm (タイム),時間通りに,on(〜に)とtime(時間)の組み合わせ。予定された時刻ぴったりにという意味。,"punctually(パンクチュアリ): 時間厳守で, in time(イン タイム): 間に合って",時間・数量,beginner
in time,ɪn (イン タイム),間に合って,in(〜に)とtime(時間)の組み合わせ。締め切りや約束の時間に間に合うという意味。,"on time(オン タイム): 時間通りに, early(アーリー): 早く",人・社会,beginner
right now,ˈɹaɪt (ライト ナウ),今すぐ,right(ちょうど)とnow(今)の組み合わせ。この瞬間にという意味。,"immediately(イミーディアトリー): 直ちに, at once(アット ワンス): すぐに",時間・数量,beginner
for a long time,fɔːr (フォー) ə (ア) lɔːŋ (ロング) taɪm (タイム),長い間,for(〜の間)とa long time(長い時間)の組み合わせ。長期間にわたってという意味。,"for ages(フォー エイジズ): 長期間, for years(フォー イヤーズ): 何年も",人・社会,beginner
at the same time,æt (アット) ðə (ザ) seɪm (セイム) taɪm (タイム),同時に,at(〜に)とthe same time(同じ時間)の組み合わせ。同じ瞬間にという意味。,"simultaneously(サイマルテイニアスリー): 同時に, together(トゥゲザー): 一緒に",時間・数量,beginner
over there,ˈəʊ.və(ɹ) (オーヴァー ゼア),あそこに,over(向こうに)とthere(そこ)の組み合わせ。少し離れた場所を指す表現。,"there(ゼア): そこに, yonder(ヨンダー): あそこに",場所・移動,beginner
around here,əˈɹaʊnd (アラウンド ヒア),この辺に,around(〜の周りに)とhere(ここ)の組み合わせ。この付近の範囲を指す表現。,"nearby(ニアバイ): 近くに, in this area(イン ディス エリア): この地域に",人・社会,beginner
