語句,読み,意味,語源等解説,関連語,関連分野,難易度
arts and crafts,Arts And Crafts,工芸,arts and crafts の詳しい用法を追加してください。,,言語基本,intermediate
e-mail,E-Mail,電子メール,e-mail の詳しい用法を追加してください。,,言語基本,intermediate
fire station,Fire Station,消防署,fire station の詳しい用法を追加してください。,,言語基本,intermediate
ice cream,Ice Cream,アイスクリーム,ice cream の詳しい用法を追加してください。,,言語基本,intermediate
moral education,Moral Education,道徳教育,moral education の詳しい用法を追加してください。,,言語基本,intermediate
police officer,Police Officer,警察官,police officer の詳しい用法を追加してください。,,言語基本,intermediate
police station,Police Station,警察署,police station の詳しい用法を追加してください。,,言語基本,intermediate
post office,Post Office,郵便局,post office の詳しい用法を追加してください。,,言語基本,intermediate
social studies,Social Studies,社会科,social studies の詳しい用法を追加してください。,,言語基本,intermediate
table tennis,Table Tennis,卓球,table tennis の詳しい用法を追加してください。,,言語基本,intermediate
the U.K.,The U.K.,イギリス,the U.K. の詳しい用法を追加してください。,,言語基本,intermediate
T-shirt,T-Shirt,Tシャツ,T-shirt の詳しい用法を追加してください。,,言語基本,intermediate
a - amount of,A - Amount Of,かなりの量の,a - amount of の詳しい用法を追加してください。,,言語基本,intermediate
a cup of,A Cup Of,一杯の,a cup of の詳しい用法を追加してください。,,言語基本,intermediate
a few,A Few,少しの,a few の詳しい用法を追加してください。,,言語基本,intermediate
a glass of,A Glass Of,一杯の,a glass of の詳しい用法を追加してください。,,言語基本,intermediate
a kind of,A Kind Of,一種の,a kind of の詳しい用法を追加してください。,,言語基本,intermediate
a little,A Little,少し,a little の詳しい用法を追加してください。,,言語基本,intermediate
a lot,A Lot,たくさん,a lot の詳しい用法を追加してください。,,言語基本,intermediate
a lot of,A Lot Of,多くの,a lot of の詳しい用法を追加してください。,,言語基本,intermediate
a piece of,A Piece Of,一片の,a piece of の詳しい用法を追加してください。,,言語基本,intermediate
a - variety of,A - Variety Of,様々な,a - variety of の詳しい用法を追加してください。,,言語基本,intermediate
according to,According To,〜によれば,according to の詳しい用法を追加してください。,,言語基本,intermediate
after a while,After A While,しばらくして,after a while の詳しい用法を追加してください。,,言語基本,intermediate
after all,After All,結局,after all の詳しい用法を追加してください。,,言語基本,intermediate
after school,After School,放課後,after school の詳しい用法を追加してください。,,言語基本,intermediate
