語句,読み,意味,語源等解説,関連語,関連分野,難易度
able,エ́イブル,〜できる,"ラテン語の ""habilis""(扱いやすい)が語源。同じ語源を持つ単語に ""ability(アビ́リティ): 能力"" がある。","can(キャ́ン): 〜できる, possible(ポ́ッシブル): 可能な",人・社会,beginner
about,アバ́ウト,〜について,"古英語の ""onbūtan""(周りに)が語源。","on(オ́ン): 〜の上に, of(オ́ヴ): 〜の",言語基本,beginner
above,アバ́ヴ,〜の上に,"古英語の ""abufan"" が語源。","over(オ́ーヴァー): 〜の上に, below(ビロ́ウ): 〜の下に",言語基本,beginner
accept,アクセ́プト,受け入れる,"ラテン語の ""accipere""(受け取る)が語源。""ad-""(〜へ)と ""capere""(つかむ)から。同じ語源を持つ単語に ""capture(キャ́プチャー): 捕らえる"" がある。","receive(レシーヴ): 受け取る, refuse(リフューズ): 拒否する",人・社会,beginner
across,アクロ́ス,横切って,"古フランス語の ""a croix""(十字に)が語源。","through(スルー): 通り抜けて, over(オ́ーヴァー): 超えて",言語基本,beginner
act,ア́クト,行動する,"ラテン語の ""agere""(行う)が語源。同じ語源を持つ単語に ""action(ア́クション): 行動"" がある。","do(ドゥ́): する, move(ム́ーヴ): 動く",人・社会,beginner
add,ア́ッド,加える,"ラテン語の ""addere"" が語源。""ad-""(〜へ)と ""dare""(与える)から。","subtract(サブトラ́クト): 引く, increase(インクリ́ース): 増やす",人・社会,beginner
afraid,アフレ́イド,恐れて,"古英語の ""āfǣran""(怖がらせる)が語源。","scared(スケ́アド): 怖がって, fearful(フィ́アフル): 恐れている",人・社会,beginner
after,ア́フター,〜の後で,"古英語の ""æfter"" が語源。","before(ビフォ́ー): 〜の前に, later(レ́イター): 後で",時間・数量,beginner
again,アゲ́イン,再び,"古英語の ""ongean""(反対側に)が語源。","once more(ワ́ンスモ́ア): もう一度, repeat(リピ́ート): 繰り返す",言語基本,beginner
age,エ́イジ,年齢,"ラテン語の ""aevum""(時代)が語源。","old(オ́ウルド): 年老いた, young(ヤ́ング): 若い",言語基本,beginner
