語句,読み,事項,問題文,説明,関連事項,関連分野,難易度,source,年代,選択肢生成ヒント
徳川家康,とくがわいえやす,江戸幕府を開いた人物,江戸幕府を開いた人物は誰か？,徳川家康は1603年に江戸幕府を開き、約260年間続く江戸時代の基礎を築いた。織田信長・豊臣秀吉とともに三英傑の一人と呼ばれる。,関ヶ原の戦い|大坂の陣|幕藩体制,歴史-近世,3,junior,1603,織田信長|豊臣秀吉|徳川家光
明治維新,めいじいしん,江戸幕府の終わりから明治政府の成立,江戸幕府が終わり、明治政府ができた一連の出来事を何というか？,明治維新は1868年に起こった大きな変革で、江戸幕府が倒れ、明治天皇を中心とする新政府ができた。日本の近代化が始まった。,大政奉還|王政復古|廃藩置県,歴史-近代,3,junior,1868,江戸時代|平安時代|昭和時代
北海道,ほっかいどう,日本最北の都道府県,日本の最も北にある都道府県は何か？,北海道は日本の最北に位置し、面積が最も大きい都道府県。稲作の北限があり、札幌市がある。,札幌市|石狩平野|アイヌ文化,地理-日本,1,junior,,青森県|沖縄県|東京都
三権分立,さんけんぶんりつ,立法・行政・司法の三つの権力を分ける仕組み,国の権力を立法・行政・司法に分ける仕組みを何というか？,三権分立は国の権力を3つに分けることで、お互いに抑制し合い、権力の集中や独裁を防ぐ民主主義の重要な原則。,国会|内閣|裁判所,公民-政治,3,junior,,議会制民主主義|権力分散|立憲君主制
人権,じんけん,人間が生まれながらに持つ権利,人間が生まれながらに持っている権利を何というか？,人権とはすべての人が生まれながらにして持つ、平等で自由な権利。日本国憲法で基本的人権として保障されている。,基本的人権|自由権|社会権,公民-人権,1,junior,,義務|法律|国家
室町幕府,むろまちばくふ,足利尊氏が開いた幕府,足利尊氏が1336年に京都に開いた幕府は何か？,室町幕府は1336年に足利尊氏が京都に開いた武家政権。京都の室町に幕府が置かれたことから室町幕府と呼ばれ、約240年間続いた。,足利尊氏|金閣寺|銀閣寺,歴史-中世,3,junior,1336,鎌倉幕府|江戸幕府|平安京
石狩平野,いしかりへいや,北海道の中央部にある平野,北海道の中央部にある、米作りが盛んな平野は何か？,石狩平野は石狩川流域に広がる平野で、稲作や畑作が盛ん。北海道の中心都市である札幌市もこの平野にある。,石狩川|札幌市|北海道,地理-日本,1,junior,,関東平野|濃尾平野|十勝平野
元寇,げんこう,モンゴル帝国が日本を攻めた事件,13世紀にモンゴル帝国が日本を攻めた事件を何というか？,元寇は1274年（文永の役）と1281年（弘安の役）の2回にわたり、元（モンゴル）が日本を攻めた事件。台風（神風）により撃退された。,フビライ・ハン|北条時宗|神風,歴史-中世,3,junior,1274,応仁の乱|承久の乱|壬申の乱
国会,こっかい,日本の立法機関,法律を作る日本の機関を何というか？,国会は日本国憲法で定められた唯一の立法機関。衆議院と参議院の二院制で構成される。,立法権|衆議院|参議院,公民-政治,1,junior,,内閣|裁判所|都道府県
富士山,ふじさん,日本最高峰の山,日本で最も高い山は何か？,富士山は標高3776メートルで日本最高峰の山。静岡県と山梨県にまたがる活火山で、世界文化遺産に登録されている。,3776m|活火山|世界遺産,地理-日本,1,junior,,エベレスト|桜島|阿蘇山
