語句,読み,意味,語源等解説,関連語,関連分野,難易度
accomplish,アカ́ンプリシュ,達成する,ラテン語accomplere(完全にする)から。派生語: accomplishment(達成),in spite of～(～にもかかわらず);achieve(アチ́ーヴ:達成する);complete(コンプリ́ート:完成する),学習;成果,3
abundant,アバ́ンダント,豊富な,ラテン語abundare(溢れる)から。派生語: abundance(豊富さ),be abundant in～(～が豊富である);plentiful(プレ́ンティフル:豊富な);ample(ア́ンプル:十分な),数量;状態,3
acquire,アクワ́イア,獲得する,ラテン語acquirere(得る)から。派生語: acquisition(取得),acquire knowledge(知識を得る);obtain(オブテ́イン:得る);gain(ゲ́イン:獲得する),学習;取得,3
admire,アドマ́イア,賞賛する,ラテン語admirari(驚嘆する)から。派生語: admiration(賞賛),admire someone's courage(勇気を賞賛する);respect(リスペ́クト:尊敬する);appreciate(アプリ́ーシエイト:評価する),感情;評価,2
ancient,エ́インシャント,古代の,ラテン語ante(前に)から。派生語: antiquity(古代),ancient civilization(古代文明);old(オ́ウルド:古い);antique(アンティ́ーク:骨董品の),歴史;時代,2
anxious,ア́ングシャス,不安な,ラテン語anxius(心配な)から。派生語: anxiety(不安),be anxious about～(～を心配する);worried(ワ́ーリド:心配している);nervous(ナ́ーヴァス:神経質な),感情;心理,2
apparent,アパ́レント,明白な,ラテン語apparere(現れる)から。派生語: apparently(明らかに),it is apparent that～(～は明白だ);obvious(ア́ブヴィアス:明らかな);evident(エ́ヴィデント:明白な),状態;程度,3
approach,アプロ́ウチ,接近する,ラテン語appropiare(近づく)から。派生語: approachable(親しみやすい),approach the station(駅に近づく);come near(近づく);access(ア́クセス:接近),動作;位置,2
appropriate,アプロ́ウプリエイト,適切な,ラテン語appropriatus(適切な)から。派生語: appropriately(適切に),appropriate behavior(適切な行動);suitable(ス́ータブル:適した);proper(プラ́パー:適切な),状態;評価,3
benefit,ベ́ネフィット,利益,ラテン語benefactum(善行)から。派生語: beneficial(有益な),benefit from～(～から利益を得る);advantage(アドヴァ́ンティッジ:利点);profit(プラ́フィット:利益),経済;結果,2
capable,ケ́イパブル,有能な,ラテン語capabilis(受け入れられる)から。派生語: capability(能力),be capable of～(～ができる);able(エ́イブル:できる);competent(カ́ンピテント:有能な),能力;評価,2
circumstance,サ́ーカムスタンス,状況,ラテン語circumstare(周りに立つ)から。派生語: circumstantial(状況の),under the circumstances(この状況では);situation(スィチュエ́イシャン:状況);condition(コンディ́シャン:状態),状態;環境,3
comprehensive,カンプリヘ́ンスィヴ,包括的な,ラテン語comprehendere(理解する)から。派生語: comprehension(理解),comprehensive study(包括的な研究);thorough(サ́ロウ:徹底的な);complete(コンプリ́ート:完全な),程度;範囲,3
consequence,カ́ンスィクウェンス,結果,ラテン語consequi(続く)から。派生語: consequent(結果としての),as a consequence(結果として);result(リザ́ルト:結果);outcome(ア́ウトカム:成果),因果;結果,3
considerable,コンスィ́デラブル,かなりの,ラテン語considerare(よく考える)から。派生語: considerably(かなり),considerable amount(かなりの量);substantial(サブスタ́ンシャル:相当な);significant(スィグニ́フィカント:重要な),程度;数量,3
contribute,コントリ́ビュート,貢献する,ラテン語contribuere(一緒に与える)から。派生語: contribution(貢献),contribute to～(～に貢献する);donate(ドウネ́イト:寄付する);give(ギ́ヴ:与える),行為;社会,3
determine,ディタ́ーミン,決定する,ラテン語determinare(境界を定める)から。派生語: determination(決意),determine the cause(原因を特定する);decide(ディサ́イド:決める);settle(セ́トル:解決する),思考;判断,2
efficient,イフィ́シェント,効率的な,ラテン語efficere(成し遂げる)から。派生語: efficiency(効率),efficient method(効率的な方法);effective(イフェ́クティヴ:効果的な);productive(プロダ́クティヴ:生産的な),方法;評価,3
eliminate,イリ́ミネイト,除去する,ラテン語eliminare(しきいの外に出す)から。派生語: elimination(除去),eliminate waste(無駄を省く);remove(リム́ーヴ:取り除く);delete(ディリ́ート:削除する),動作;処理,3
enormous,イノ́ーマス,巨大な,ラテン語enormis(規則外れの)から。派生語: enormously(非常に),enormous building(巨大な建物);huge(ヒュ́ージ:巨大な);immense(イメ́ンス:莫大な),サイズ;程度,2
smile,スマイル,笑顔,嬉しい表情,happy;laugh,表情;感情,1
