語句,読み,意味,語源等解説,関連語,関連分野,難易度
leave no stone unturned,リーブ ノー ストーン アンターンド,あらゆる手を尽くす,stone(石)を一つもunturned(ひっくり返さない)まま残さない。徹底的に探すこと。,"search thoroughly(サーチ ソロウリ): 徹底的に探す, make every effort(メイク エブリ エフォート): あらゆる努力をする",人・社会,上級
let bygones be bygones,レット バイゴーンズ ビー バイゴーンズ,過去は水に流す,bygones(過ぎたこと)をbygones(過ぎたこと)にlet(させる)。過去のことを許すこと。,"forgive past(フォーギブ パスト): 過去を許す, move forward(ムーブ フォワード): 前進する",人・社会,上級
level playing field,レベル プレイイング フィールド,公平な条件,level(平らな)playing field(競技場)。全員が同じ条件で競うこと。,"fair conditions(フェア コンディションズ): 公平な条件, equal opportunity(イークォル オポチュニティ): 平等な機会",人・社会,上級
lightning never strikes twice,ライトニング ネバー ストライクス トワイス,不運は二度続かない,lightning(稲妻)は二度同じ場所をstrikes(打たない)。悪いことは繰り返さないという意味。,"bad luck won't repeat(バッド ラック ウォント リピート): 不運は繰り返さない, rare occurrence(レア オカレンス): 稀な出来事",時間・数量,上級
live from hand to mouth,リブ フロム ハンド トゥ マウス,その日暮らしをする,hand(手)からmouth(口)へlive(生きる)。蓄えなく日々を過ごすこと。,"barely survive(ベアリ サバイブ): かろうじて生き延びる, live in poverty(リブ イン ポバティ): 貧困に生きる",日常生活,上級
long shot,ロング ショット,可能性の低い試み,long(長い)shot(射撃)。当たる確率が低い賭け。,"unlikely attempt(アンライクリ アテンプト): ありそうにない試み, risky bet(リスキー ベット): 危険な賭け",人・社会,上級
lose face,ルーズ フェイス,面目を失う,face(面目)をlose(失う)。名誉や評判を損なうこと。,"be embarrassed(ビー エンバラスト): 恥をかく, lose dignity(ルーズ ディグニティ): 尊厳を失う",人・社会,上級
low-hanging fruit,ロー ハンギング フルート,簡単に得られる成果,low(低い)位置にhanging(ぶら下がっている)fruit(果実)。簡単に達成できる目標。,"easy target(イージー ターゲット): 簡単な目標, quick win(クイック ウィン): 手早い勝利",人・社会,上級
make a mountain out of a molehill,メイク ア マウンテン アウト オブ ア モールヒル,針小棒大に言う,molehill(モグラ塚)からmountain(山)をmake(作る)。小さなことを大げさに言うこと。,"exaggerate(イグザジャレイト): 誇張する, overreact(オーバーリアクト): 過剰反応する",言語基本,上級
make no bones about,メイク ノー ボーンズ アバウト,遠慮なく言う,bones(骨)をmake(作らない)。率直に意見を述べること。,"speak frankly(スピーク フランクリ): 率直に話す, be direct about(ビー ダイレクト アバウト): 〜について率直である",言語基本,上級
make waves,メイク ウェイブズ,波風を立てる,waves(波)をmake(作る)。問題や論争を引き起こすこと。,"cause trouble(コーズ トラブル): 問題を起こす, stir controversy(スター コントラバーシ): 論争を引き起こす",人・社会,上級
meet halfway,ミート ハーフウェイ,歩み寄る,halfway(中間地点)でmeet(会う)。双方が譲歩すること。,"compromise(コンプロマイズ): 妥協する, find middle ground(ファインド ミドル グラウンド): 中間点を見つける",人・社会,上級
method to one's madness,メソッド トゥ ワンズ マッドネス,狂気にも筋が通る,madness(狂気)にmethod(方法)がある。一見無謀に見えても理由があること。,"hidden logic(ヒドゥン ロジック): 隠れた論理, underlying reason(アンダーライング リーズン): 根底にある理由",人・社会,上級
mind over matter,マインド オーバー マター,精神力で克服する,mind(精神)がmatter(物質)をover(超える)。意志の力で困難を乗り越えること。,"willpower prevails(ウィルパワー プリベイルズ): 意志力が勝る, mental strength(メンタル ストレングス): 精神力",人・社会,上級
money doesn't grow on trees,マニー ダズント グロー オン ツリーズ,金は木に生えない,money(お金)はtrees(木)にgrow(生えない)。お金は簡単に得られないという意味。,"money is limited(マニー イズ リミティッド): お金は限られている, must work for money(マスト ワーク フォー マニー): お金のために働かなければならない",日常生活,上級
more than meets the eye,モア ザン ミーツ ジ アイ,見かけ以上のものがある,eye(目)がmeets(見る)よりmore(もっと)ある。表面的には分からない深い意味がある。,"hidden depth(ヒドゥン デプス): 隠れた深さ, not obvious(ノット オブビアス): 明白でない",人・社会,上級
move heaven and earth,ムーブ ヘブン アンド アース,あらゆる努力をする,heaven(天)とearth(地)をmove(動かす)。不可能を可能にするほど努力すること。,"make every effort(メイク エブリ エフォート): あらゆる努力をする, do everything possible(ドゥー エブリシング ポッシブル): 可能な全てをする",人・社会,上級
much ado about nothing,マッチ アドゥー アバウト ナッシング,空騒ぎ,nothing(何もないこと)についてmuch ado(大騒ぎ)。大したことのないことで騒ぐこと。,"unnecessary fuss(アンネセサリー ファス): 不必要な大騒ぎ, overreaction(オーバーリアクション): 過剰反応",人・社会,上級
necessity is the mother of invention,ネセシティ イズ ザ マザー オブ インベンション,必要は発明の母,necessity(必要性)がinvention(発明)のmother(母)。必要に迫られて新しいものが生まれること。,"need drives innovation(ニード ドライブズ イノベイション): 必要が革新を促す, pressure creates solutions(プレッシャー クリエイツ ソリューションズ): 圧力が解決策を生む",科学・技術,上級
nip in the bud,ニップ イン ザ バッド,芽のうちに摘む,bud(芽)の段階でnip(摘む)。問題が大きくなる前に対処すること。,"stop early(ストップ アーリー): 早期に止める, prevent from developing(プリベント フロム ディベロッピング): 発展を防ぐ",人・社会,上級
no pain no gain,ノー ペイン ノー ゲイン,苦労なくして得るものなし,pain(痛み)なしにgain(利益)なし。努力なしに成功はないという意味。,"effort required(エフォート リクワイアード): 努力が必要, must work hard(マスト ワーク ハード): 懸命に働かなければならない",人・社会,上級
not rocket science,ノット ロケット サイエンス,難しくない,rocket science(ロケット科学)ではない。複雑ではないという意味。,"easy to understand(イージー トゥ アンダースタンド): 理解しやすい, simple(シンプル): 簡単な",学校・学習,上級
off the beaten track,オフ ザ ビートゥン トラック,人里離れた,beaten(踏み固められた)track(道)から外れて。一般的でない場所や方法。,"remote location(リモート ロケイション): 辺鄙な場所, unusual(アンユージュアル): 普通でない",場所・移動,上級
off the record,オフ ザ レコード,非公式に,record(記録)の外で。公式記録に残さないこと。,"unofficial(アンオフィシャル): 非公式の, confidential(コンフィデンシャル): 機密の",言語基本,上級
