語句,読み,意味,語源等解説,関連語,関連分野,難易度
a far cry from,ア ファー クライ フロム,〜とは大違いである,far(遠い)とcry(叫び)の組み合わせ。遠い叫び声という比喩から、大きく異なることを表す。,"differ greatly(ディファー グレイトリ): 大きく異なる, be completely different(ビー コンプリートリ ディファレント): 完全に違う",人・社会,上級
a stone's throw,ア ストーンズ スロー,すぐ近く,stone(石)をthrow(投げる)距離。石を投げて届く距離という意味。,"close by(クロース バイ): すぐそばに, nearby(ニアバイ): 近くに",場所・移動,上級
add fuel to the fire,アッド フューエル トゥ ザ ファイア,火に油を注ぐ,fuel(燃料)をfire(火)に加える。状況を悪化させることの比喩。,"make worse(メイク ワース): 悪化させる, aggravate(アグラベイト): 悪化させる",人・社会,上級
at loggerheads,アット ロガーヘッズ,対立して,loggerhead(愚か者)から。意見が対立している状態を表す。,"in conflict(イン コンフリクト): 対立して, disagreeing(ディサグリーイング): 意見が合わない",人・社会,上級
back to square one,バック トゥ スクエア ワン,振り出しに戻る,square one(第一マス)に戻る。最初からやり直すという意味。,"start over(スタート オーバー): やり直す, begin again(ビギン アゲイン): 再開する",時間・数量,上級
barking up the wrong tree,バーキング アップ ザ ローング ツリー,見当違いをする,bark(吠える)場所を間違える。猟犬が間違った木に向かって吠えることから。,"be mistaken(ビー ミステイクン): 間違っている, on the wrong track(オン ザ ローング トラック): 見当違い",人・社会,上級
bend over backwards,ベンド オーバー バックワーズ,全力を尽くす,後ろ向きに身体を曲げる。困難なことでも実行しようとする姿勢。,"make every effort(メイク エブリ エフォート): あらゆる努力をする, go to great lengths(ゴー トゥ グレイト レングス): 懸命に努力する",人・社会,上級
bite off more than one can chew,バイト オフ モア ザン ワン キャン チュー,手に余ることをする,噛み切れる以上のものを噛もうとする。能力以上のことを引き受けること。,"take on too much(テイク オン トゥー マッチ): やりすぎる, overextend(オーバーエクステンド): 無理をする",人・社会,上級
burn the midnight oil,バーン ザ ミッドナイト オイル,夜遅くまで勉強する,midnight(真夜中)のoil(油)を燃やす。夜遅くまで働く様子。,"study late(スタディ レイト): 遅くまで勉強する, work through the night(ワーク スルー ザ ナイト): 徹夜する",学校・学習,上級
call a spade a spade,コール ア スペイド ア スペイド,歯に衣着せぬ,spade(スコップ)をスコップと呼ぶ。物事をありのままに言うこと。,"speak frankly(スピーク フランクリ): 率直に話す, be direct(ビー ダイレクト): 直接的である",言語基本,上級
come hell or high water,カム ヘル オア ハイ ウォーター,何があっても,hell(地獄)やhigh water(洪水)が来ても。どんな困難があっても。,"no matter what(ノー マター ホワット): 何があっても, regardless(リガードレス): 関係なく",人・社会,上級
cut corners,カット コーナーズ,手抜きをする,corners(角)をcut(切る)。近道をして品質を犠牲にすること。,"take shortcuts(テイク ショートカッツ): 近道をする, do carelessly(ドゥー ケアレスリ): 不注意にやる",人・社会,上級
draw the line,ドロー ザ ライン,限界を設ける,line(線)をdraw(引く)。受け入れられる限界を示すこと。,"set limits(セット リミッツ): 制限を設ける, establish boundaries(エスタブリッシュ バウンダリーズ): 境界を定める",人・社会,上級
face the music,フェイス ザ ミュージック,責任を取る,music(音楽)にface(向き合う)。批判や罰を受け入れること。,"accept consequences(アクセプト コンシクエンシズ): 結果を受け入れる, take responsibility(テイク リスポンシビリティ): 責任を取る",人・社会,上級
fall on deaf ears,フォール オン デフ イアーズ,聞き入れられない,deaf(耳の聞こえない)ears(耳)に落ちる。無視されることの比喩。,"be ignored(ビー イグノアード): 無視される, go unheeded(ゴー アンヒーディッド): 聞き入れられない",言語基本,上級
get cold feet,ゲット コールド フィート,尻込みする,cold(冷たい)feet(足)になる。恐怖や不安で躊躇すること。,"become nervous(ビカム ナーバス): 緊張する, lose courage(ルーズ カレッジ): 勇気を失う",人・社会,上級
give someone the cold shoulder,ギブ サムワン ザ コールド ショルダー,冷たくあしらう,cold(冷たい)shoulder(肩)を与える。わざと無視すること。,"ignore deliberately(イグノア デリバレトリ): わざと無視する, snub(スナブ): 冷たくする",人・社会,上級
go the extra mile,ゴー ジ エクストラ マイル,一層努力する,extra(余分な)mile(マイル)を行く。期待以上の努力をすること。,"make extra effort(メイク エクストラ エフォート): 特別な努力をする, exceed expectations(エクシード エクスペクテイションズ): 期待を超える",人・社会,上級
have a bone to pick,ハブ ア ボーン トゥ ピック,文句がある,pick(つつく)bone(骨)がある。不満や苦情を言いたいこと。,"have a complaint(ハブ ア コンプレイント): 不満がある, take issue with(テイク イシュー ウィズ): 異議を唱える",人・社会,上級
hit the nail on the head,ヒット ザ ネイル オン ザ ヘッド,的を射る,nail(釘)のhead(頭)をhit(打つ)。正確に本質を突くこと。,"be exactly right(ビー イグザクトリ ライト): まさに正しい, be accurate(ビー アキュレット): 正確である",言語基本,上級
in the same boat,イン ザ セイム ボート,同じ立場で,同じboat(船)の中にいる。同じ困難な状況を共有すること。,"in the same situation(イン ザ セイム シチュエイション): 同じ状況で, sharing difficulties(シェアリング ディフィカルティーズ): 困難を共有する",人・社会,上級
jump on the bandwagon,ジャンプ オン ザ バンドワゴン,時流に乗る,bandwagon(楽隊車)にjump(飛び乗る)。人気のあるものに便乗すること。,"follow the trend(フォロー ザ トレンド): 流行に従う, join popular movement(ジョイン ポピュラー ムーブメント): 人気の動きに加わる",人・社会,上級
keep your chin up,キープ ユア チン アップ,元気を出す,chin(あご)をup(上げて)keep(保つ)。落胆せずに前向きでいること。,"stay positive(ステイ ポジティブ): 前向きでいる, remain cheerful(リメイン チアフル): 明るくいる",人・社会,上級
