語句,読み,意味,解説,関連事項,時代背景,種別
竹取物語,たけとりものがたり,日本最古の物語,「竹取物語」は日本最古の物語文学。かぐや姫の物語として有名。平安時代初期成立。作者未詳。「物語の出で来はじめの祖」と評される。,かぐや姫|最古の物語|平安初期|作者未詳,平安時代初期,古典作品
伊勢物語,いせものがたり,在原業平の歌物語,「伊勢物語」は在原業平を主人公とする歌物語。全125段。和歌を中心とした短編集。「昔男ありけり」で始まる各段が有名。恋愛を主題とする。,在原業平|歌物語|昔男|恋愛,平安時代初期,古典作品
土佐日記,とさにっき,紀貫之の日記文学,「土佐日記」は紀貫之が仮名で書いた日記文学。「男もすなる日記といふものを」で始まる。女性視点で書かれた最初の仮名日記。,紀貫之|仮名日記|男もすなる|女性視点,平安時代中期,古典作品
枕草子,まくらのそうし,清少納言の随筆,「枕草子」は清少納言の随筆文学。「春はあけぼの」で始まる。をかしの文学の代表。宮廷生活を鋭い観察眼で描く。約300段。,清少納言|春はあけぼの|をかし|随筆,平安時代中期,古典作品
源氏物語,げんじものがたり,紫式部の長編小説,「源氏物語」は紫式部による世界最古の長編小説。光源氏の生涯と恋愛を描く全54帖。「もののあわれ」の文学の最高峰。日本文学の最高傑作。,紫式部|光源氏|もののあわれ|長編小説,平安時代中期,古典作品
更級日記,さらしなにっき,菅原孝標女の日記,「更級日記」は菅原孝標女の回想的日記文学。源氏物語への憧れから始まる。「あづまぢの道のはてよりも」で始まる。女性の内面を描く。,菅原孝標女|源氏物語憧れ|回想的日記|女性内面,平安時代後期,古典作品
大鏡,おおかがみ,歴史物語,「大鏡」は歴史物語の代表作。藤原道長の栄華を中心に摂関政治を描く。「鏡物」の最初。二人の老人の対話形式。紀伝体で書かれる。,藤原道長|歴史物語|鏡物|対話形式,平安時代後期,古典作品
今昔物語集,こんじゃくものがたりしゅう,説話集,「今昔物語集」は日本最大の説話集。全31巻(現存28巻)。「今は昔」で始まる約千話を収録。仏教説話・世俗説話を含む。,説話集|今は昔|仏教説話|世俗説話,平安時代後期,古典作品
平家物語,へいけものがたり,軍記物語,「平家物語」は平氏の興亡を描いた軍記物語。「祇園精舎の鐘の声」で始まる。琵琶法師により語られた。無常観を描く。全12巻。,平氏興亡|祇園精舎|軍記物語|琵琶法師,鎌倉時代,古典作品
徒然草,つれづれぐさ,兼好法師の随筆,「徒然草」は兼好法師(吉田兼好)の随筆。「つれづれなるままに」で始まる。全243段。人生観・無常観を記す。枕草子と並ぶ随筆の双璧。,兼好法師|つれづれなるままに|随筆|人生観,鎌倉時代,古典作品
方丈記,ほうじょうき,鴨長明の随筆,「方丈記」は鴨長明の随筆。「ゆく河の流れは絶えずして」で始まる。無常観を哲学的に描く。五大災厄を記録。隠遁生活を語る。,鴨長明|ゆく河の流れ|無常観|隠遁,鎌倉時代,古典作品
