語句,読み,意味,解説,関連事項,例文1,例文2
竹取物語,たけとりものがたり,日本最古の物語,「竹取物語」は日本最古の物語文学。かぐや姫の物語として有名。平安時代初期成立。作者未詳。「物語の出で来はじめの祖」と評される。【あらすじ】竹取の翁が光る竹の中からかぐや姫を見つけ、やがて姫は多くの求婚者や帝の求愛を退け、最後は月へ帰っていく物語。,かぐや姫|最古の物語|平安初期|作者未詳|時代:平安時代初期|種別:古典作品,竹取の翁が竹の中で光る小さな姫を見つけ、家に連れ帰って育て始める。（たけとりものがたり）＜竹取の翁が竹の中で光る小さな姫を見つけ、家に連れ帰って育て始める。＞【竹取物語】,月から迎えが来る夜、かぐや姫は育ての親に別れを告げ、天人の衣を着せられて涙も心も遠のいていく。帝の軍勢も引き留められず、姫は月へ昇ってしまう。（たけとりものがたり）＜月から迎えが来る夜、かぐや姫は育ての親に別れを告げ、天人の衣を着せられて涙も心も遠のいていく。帝の軍勢も引き留められず、姫は月へ昇ってしまう。＞【竹取物語】
伊勢物語,いせものがたり,在原業平の歌物語,「伊勢物語」は在原業平を主人公とする歌物語。全125段。和歌を中心とした短編集。「昔男ありけり」で始まる各段が有名。恋愛を主題とする。【あらすじ】在原業平を思わせる「昔男」を中心に、恋や旅の逸話と和歌を組み合わせた短い話の連なり。,在原業平|歌物語|昔男|恋愛|時代:平安時代初期|種別:古典作品,主人公は恋に悩みながら各地を旅し、折々の出来事を和歌に託して語る。（いせものがたり）＜主人公は恋に悩みながら各地を旅し、折々の出来事を和歌に託して語る。＞【伊勢物語】,東国への旅の途中、隅田川のほとりで都を思って涙がこぼれ、旅の寂しさが胸に迫る。変わらぬ月や春の景色に、変わってしまった自分の身を重ねて嘆く。（いせものがたり）＜東国への旅の途中、隅田川のほとりで都を思って涙がこぼれ、旅の寂しさが胸に迫る。変わらぬ月や春の景色に、変わってしまった自分の身を重ねて嘆く。＞【伊勢物語】
土佐日記,とさにっき,紀貫之の日記文学,「土佐日記」は紀貫之が仮名で書いた日記文学。「男もすなる日記といふものを」で始まる。女性視点で書かれた最初の仮名日記。【あらすじ】紀貫之が「女」のふりをして、土佐から都へ戻る旅の日々を仮名で記した日記文学。旅の別れや喪失の悲しみが描かれる。,紀貫之|仮名日記|男もすなる|女性視点|時代:平安時代中期|種別:古典作品,作者一行が任地の土佐を出発し、船で都へ帰る道中の出来事を日々書き留める。（とさにっき）＜作者一行が任地の土佐を出発し、船で都へ帰る道中の出来事を日々書き留める。＞【土佐日記】,旅の途中、亡くした子のことがふと胸に迫り、楽しむはずの景色も悲しみに染まる。どうしようもない思いを、歌と言葉でこぼしながら船路を進む。（とさにっき）＜旅の途中、亡くした子のことがふと胸に迫り、楽しむはずの景色も悲しみに染まる。どうしようもない思いを、歌と言葉でこぼしながら船路を進む。＞【土佐日記】
枕草子,まくらのそうし,清少納言の随筆,「枕草子」は清少納言の随筆文学。「春はあけぼの」で始まる。をかしの文学の代表。宮廷生活を鋭い観察眼で描く。約300段。【あらすじ】清少納言が宮廷での見聞や感想を、鋭い観察と機知ある文章で綴った随筆。四季や人物、出来事が多彩に描かれる。,清少納言|春はあけぼの|をかし|随筆|時代:平安時代中期|種別:古典作品,四季それぞれの美しさを、春の夜明けや秋の夕暮れなど具体的な情景で語る。（まくらのそうし）＜四季それぞれの美しさを、春の夜明けや秋の夕暮れなど具体的な情景で語る。＞【枕草子】,雪の積もった香炉峰をめぐるやり取りで、機転の利いた返答が場を一気に沸かせる。宮中の知的な遊びと、才気が勝負になる緊張感が伝わる。（まくらのそうし）＜雪の積もった香炉峰をめぐるやり取りで、機転の利いた返答が場を一気に沸かせる。宮中の知的な遊びと、才気が勝負になる緊張感が伝わる。＞【枕草子】
源氏物語,げんじものがたり,紫式部の長編小説,「源氏物語」は紫式部による世界最古の長編小説。光源氏の生涯と恋愛を描く全54帖。「もののあわれ」の文学の最高峰。日本文学の最高傑作。【あらすじ】光源氏の恋愛と栄華、そしてその後の世代までを描く長編物語。人の心の揺れと「もののあわれ」が物語全体を貫く。,紫式部|光源氏|もののあわれ|長編小説|時代:平安時代中期|種別:古典作品,身分の定まらない母を持つ光源氏が宮中で成長し、さまざまな恋に身を投じていく。（げんじものがたり）＜身分の定まらない母を持つ光源氏が宮中で成長し、さまざまな恋に身を投じていく。＞【源氏物語】,栄華の頂点にあるように見えても、別れや嫉妬が積み重なり、心は静かに疲れていく。最愛の人を失う場面では、取り返しのつかない喪失が物語の空気を変えてしまう。（げんじものがたり）＜栄華の頂点にあるように見えても、別れや嫉妬が積み重なり、心は静かに疲れていく。最愛の人を失う場面では、取り返しのつかない喪失が物語の空気を変えてしまう。＞【源氏物語】
更級日記,さらしなにっき,菅原孝標女の日記,「更級日記」は菅原孝標女の回想的日記文学。源氏物語への憧れから始まる。「あづまぢの道のはてよりも」で始まる。女性の内面を描く。【あらすじ】菅原孝標女が少女期から晩年までを回想し、物語への憧れと現実の人生の移ろいを綴った日記文学。,菅原孝標女|源氏物語憧れ|回想的日記|女性内面|時代:平安時代後期|種別:古典作品,幼い頃から物語を強く望み、ついにそれを手にして夢中になる心の高まりが語られる。（さらしなにっき）＜幼い頃から物語を強く望み、ついにそれを手にして夢中になる心の高まりが語られる。＞【更級日記】,憧れていた物語の世界に心を預けたのに、現実の人生は思うように進まず、ふと我に返って虚しさを覚える。年月を経て、かつての熱と今の静けさの落差を受け止める場面が胸に残る。（さらしなにっき）＜憧れていた物語の世界に心を預けたのに、現実の人生は思うように進まず、ふと我に返って虚しさを覚える。年月を経て、かつての熱と今の静けさの落差を受け止める場面が胸に残る。＞【更級日記】
大鏡,おおかがみ,歴史物語,「大鏡」は歴史物語の代表作。藤原道長の栄華を中心に摂関政治を描く。「鏡物」の最初。二人の老人の対話形式。紀伝体で書かれる。【あらすじ】摂関政治の時代を、老人たちの語り（対話）という形で回想し、藤原氏と道長の栄華を中心に描く歴史物語。,藤原道長|歴史物語|鏡物|対話形式|時代:平安時代後期|種別:古典作品,二人の老人が昔話として語り始め、宮廷の政争や人々の評判が生き生きと伝えられる。（おおかがみ）＜二人の老人が昔話として語り始め、宮廷の政争や人々の評判が生き生きと伝えられる。＞【大鏡】,語りが進むにつれ、道長の権勢が極まり、誰も逆らえない空気が都を覆っていく。やがて栄華の影にある緊張や不安もにじみ、時代の大きなうねりが感じられる。（おおかがみ）＜語りが進むにつれ、道長の権勢が極まり、誰も逆らえない空気が都を覆っていく。やがて栄華の影にある緊張や不安もにじみ、時代の大きなうねりが感じられる。＞【大鏡】
今昔物語集,こんじゃくものがたりしゅう,説話集,「今昔物語集」は日本最大の説話集。全31巻(現存28巻)。「今は昔」で始まる約千話を収録。仏教説話・世俗説話を含む。【あらすじ】仏教説話や世俗説話など多種多様な短編を集めた大規模な説話集。「今は昔」の語り口で物語が展開する。,説話集|今は昔|仏教説話|世俗説話|時代:平安時代後期|種別:古典作品,「今は昔」と語り出し、因果応報や人の欲深さなど、教訓を含む出来事を短く語る。（こんじゃくものがたりしゅう）＜「今は昔」と語り出し、因果応報や人の欲深さなど、教訓を含む出来事を短く語る。＞【今昔物語集】,人の欲や怠け心が招いた結末がはっきり示され、読後に強い戒めが残る。笑い話でも最後には「そうなってはいけない」と思わせる落ちが付く。（こんじゃくものがたりしゅう）＜人の欲や怠け心が招いた結末がはっきり示され、読後に強い戒めが残る。笑い話でも最後には「そうなってはいけない」と思わせる落ちが付く。＞【今昔物語集】
平家物語,へいけものがたり,軍記物語,「平家物語」は平氏の興亡を描いた軍記物語。「祇園精舎の鐘の声」で始まる。琵琶法師により語られた。無常観を描く。全12巻。【あらすじ】平氏の栄華と滅亡、源平合戦の激動を語る軍記物語。冒頭から無常観が示され、盛者必衰の理が描かれる。,平氏興亡|祇園精舎|軍記物語|琵琶法師|時代:鎌倉時代|種別:古典作品,平氏が権勢を誇るが、やがて戦乱が広がり、一門が滅びへ向かっていく。（へいけものがたり）＜平氏が権勢を誇るが、やがて戦乱が広がり、一門が滅びへ向かっていく。＞【平家物語】,都で栄華を誇った平家が、戦の連敗で次第に追い詰められていく。最期を迎える場面では、勝敗以上に無常と別れの痛みが強く胸に迫る。（へいけものがたり）＜都で栄華を誇った平家が、戦の連敗で次第に追い詰められていく。最期を迎える場面では、勝敗以上に無常と別れの痛みが強く胸に迫る。＞【平家物語】
徒然草,つれづれぐさ,兼好法師の随筆,「徒然草」は兼好法師(吉田兼好)の随筆。「つれづれなるままに」で始まる。全243段。人生観・無常観を記す。枕草子と並ぶ随筆の双璧。【あらすじ】兼好法師が、世の中の出来事や人の心を観察し、教訓や無常観を交えて書き留めた随筆。短い段が積み重なる。,兼好法師|つれづれなるままに|随筆|人生観|時代:鎌倉時代|種別:古典作品,退屈な時間に硯へ向かい、思いつくままに物事を書きつけていく動機が述べられる。（つれづれぐさ）＜退屈な時間に硯へ向かい、思いつくままに物事を書きつけていく動機が述べられる。＞【徒然草】,人の失敗や世間の評判を見て、なるほどと思う教訓が最後に突きつけられる。笑って読んでいたはずが、結局は自分の生き方を省みる気持ちになる。（つれづれぐさ）＜人の失敗や世間の評判を見て、なるほどと思う教訓が最後に突きつけられる。笑って読んでいたはずが、結局は自分の生き方を省みる気持ちになる。＞【徒然草】
