語句,読み,意味,解説,関連事項,例文1,例文2
あはれ,あわれ,しみじみとした情趣,「あはれ」は平安時代の美意識を表す最重要語。しみじみとした情趣、感動、もののあわれ。「いとあはれなり」などの形で頻出。物事に感動する心。,もののあわれ|平安美意識|枕草子|源氏物語|時代:平安時代|種別:古文単語,友とするにわろき者、七つあり（あわれ）＜友にしてはいけない人が七種類いる。＞【徒然草】,うつくしきもの。（あわれ）＜かわいいものを列挙する。＞【枕草子】
いとほし,いとおし,かわいそうだ・気の毒だ,「いとほし」は「かわいそうだ」「気の毒だ」「いとしい」の意。同情や愛情を表す。「いといとほし」などの形で頻出。現代語の「いとおしい」の語源。,かわいそう|同情|愛情|現代語語源|時代:平安時代|種別:古文単語,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（いとおし）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】,月日は百代の過客にして（いとおし）＜月日も年も旅人のように過ぎていく。＞【奥の細道】
おぼつかなし,おぼつかなし,不安だ・はっきりしない,「おぼつかなし」は「不安だ」「はっきりしない」「待ち遠しい」の意。不確かさや不安を表す重要語。「おぼつかなく思ふ」などの形。多義的な語。,不安|はっきりしない|待ち遠しい|多義語|時代:平安時代|種別:古文単語,花は盛りに、月は隈なきをのみ、見るものかは（おぼつかなし）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】,冬はつとめて。（おぼつかなし）＜冬は早朝がよい。＞【枕草子】
かたじけなし,かたじけなし,もったいない・恐れ多い,「かたじけなし」は「もったいない」「恐れ多い」「ありがたい」の意。恩恵に対する感謝や畏敬を表す。「かたじけなく思ふ」などの形。,もったいない|恐れ多い|感謝|畏敬|時代:平安時代|種別:古文単語,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（かたじけなし）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（かたじけなし）＜春は夜明けがよい。＞【枕草子】
ゆかし,ゆかし,見たい・聞きたい,「ゆかし」は「見たい」「聞きたい」「知りたい」の意。好奇心や興味を表す。「いとゆかし」などの形で頻出。知的好奇心を示す重要語。,見たい|聞きたい|知りたい|好奇心|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし、硯にむかひて（ゆかし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（ゆかし）＜友にしてはいけない人が七種類いる。＞【徒然草】
つれづれなり,つれづれなり,退屈だ・することがない,「つれづれなり」は「退屈だ」「することがない」「心寂しい」の意。「徒然草」の冒頭「つれづれなるままに」が有名。時間を持て余す様子。,退屈|心寂しい|徒然草|時間|時代:鎌倉時代|種別:古文単語,あやふき時は言はで、やすき時に教へけり（つれづれなり）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】,世にしたがへば、身苦し。（つれづれなり）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】
をかし,おかし,趣がある・おもしろい,「をかし」は「趣がある」「おもしろい」「美しい」の意。知的で明るい美を表す。「あはれ」と対をなす重要語。枕草子に頻出。,趣|おもしろい|美しい|枕草子|時代:平安時代|種別:古文単語,男もすなる日記といふものを、女もしてみむとて、するなり（おかし）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（おかし）＜退屈なので、硯に向かって書きつける。＞【徒然草】
あさまし,あさまし,驚きあきれる・意外だ,「あさまし」は「驚きあきれる」「意外だ」「嘆かわしい」の意。程度が甚だしい様子を表す。「あさましきこと」などの形。強い驚きや非難を含む。,驚きあきれる|意外|嘆かわしい|程度甚だしい|時代:平安時代|種別:古文単語,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（あさまし）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（あさまし）＜この世は無常である。＞【平家物語】
いみじ,いみじ,はなはだしい・すばらしい,「いみじ」は「はなはだしい」「すばらしい」「ひどい」の意。程度の激しさを表す最重要語。良い意味でも悪い意味でも使う。「いみじう」の形で副詞化。,はなはだしい|すばらしい|ひどい|程度|時代:平安時代|種別:古文単語,春はあけぼの。（いみじ）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（いみじ）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
めでたし,めでたし,すばらしい・立派だ,「めでたし」は「すばらしい」「立派だ」「喜ばしい」の意。賞賛や祝福を表す。「めでたきこと」などの形。現代語の「めでたい」の語源。,すばらしい|立派|喜ばしい|現代語語源|時代:平安時代|種別:古文単語,春はあけぼの（めでたし）＜春は夜明けがよい。＞【枕草子】,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（めでたし）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】
