語句,読み,意味,解説,関連事項,時代背景,種別
あはれ,あわれ,しみじみとした情趣,「あはれ」は平安時代の美意識を表す最重要語。しみじみとした情趣、感動、もののあわれ。「いとあはれなり」などの形で頻出。物事に感動する心。,もののあわれ|平安美意識|枕草子|源氏物語,平安時代,古文単語
いとほし,いとおし,かわいそうだ・気の毒だ,「いとほし」は「かわいそうだ」「気の毒だ」「いとしい」の意。同情や愛情を表す。「いといとほし」などの形で頻出。現代語の「いとおしい」の語源。,かわいそう|同情|愛情|現代語語源,平安時代,古文単語
おぼつかなし,おぼつかなし,不安だ・はっきりしない,「おぼつかなし」は「不安だ」「はっきりしない」「待ち遠しい」の意。不確かさや不安を表す重要語。「おぼつかなく思ふ」などの形。多義的な語。,不安|はっきりしない|待ち遠しい|多義語,平安時代,古文単語
かたじけなし,かたじけなし,もったいない・恐れ多い,「かたじけなし」は「もったいない」「恐れ多い」「ありがたい」の意。恩恵に対する感謝や畏敬を表す。「かたじけなく思ふ」などの形。,もったいない|恐れ多い|感謝|畏敬,平安時代,古文単語
ゆかし,ゆかし,見たい・聞きたい,「ゆかし」は「見たい」「聞きたい」「知りたい」の意。好奇心や興味を表す。「いとゆかし」などの形で頻出。知的好奇心を示す重要語。,見たい|聞きたい|知りたい|好奇心,平安時代,古文単語
つれづれなり,つれづれなり,退屈だ・することがない,「つれづれなり」は「退屈だ」「することがない」「心寂しい」の意。「徒然草」の冒頭「つれづれなるままに」が有名。時間を持て余す様子。,退屈|心寂しい|徒然草|時間,鎌倉時代,古文単語
をかし,おかし,趣がある・おもしろい,「をかし」は「趣がある」「おもしろい」「美しい」の意。知的で明るい美を表す。「あはれ」と対をなす重要語。枕草子に頻出。,趣|おもしろい|美しい|枕草子,平安時代,古文単語
あさまし,あさまし,驚きあきれる・意外だ,「あさまし」は「驚きあきれる」「意外だ」「嘆かわしい」の意。程度が甚だしい様子を表す。「あさましきこと」などの形。強い驚きや非難を含む。,驚きあきれる|意外|嘆かわしい|程度甚だしい,平安時代,古文単語
いみじ,いみじ,はなはだしい・すばらしい,「いみじ」は「はなはだしい」「すばらしい」「ひどい」の意。程度の激しさを表す最重要語。良い意味でも悪い意味でも使う。「いみじう」の形で副詞化。,はなはだしい|すばらしい|ひどい|程度,平安時代,古文単語
めでたし,めでたし,すばらしい・立派だ,「めでたし」は「すばらしい」「立派だ」「喜ばしい」の意。賞賛や祝福を表す。「めでたきこと」などの形。現代語の「めでたい」の語源。,すばらしい|立派|喜ばしい|現代語語源,平安時代,古文単語
うつくし,うつくし,かわいい・美しい,「うつくし」は「かわいい」「美しい」「いとしい」の意。小さくてかわいらしいものを表す。現代語の「美しい」とは異なる。「うつくしきもの」などの形。,かわいい|小さい|いとしい|現代語と違う,平安時代,古文単語
わびし,わびし,つらい・侘しい,「わびし」は「つらい」「侘しい」「みじめだ」の意。精神的・物質的な困窮を表す。「わびしき心」などの形。「わび」の美意識の源。,つらい|侘しい|みじめ|わび,平安時代,古文単語
ありがたし,ありがたし,めったにない・珍しい,「ありがたし」は「めったにない」「珍しい」「すばらしい」の意。「有り難し」が語源。稀少性を表す。現代語の「ありがたい」とはニュアンスが異なる。,めったにない|珍しい|すばらしい|有り難し,平安時代,古文単語
なまめかし,なまめかし,優美だ・上品だ,「なまめかし」は「優美だ」「上品だ」「若々しい」の意。洗練された美しさを表す。「なまめかしき姿」などの形。王朝貴族の理想的美意識。,優美|上品|若々しい|王朝美意識,平安時代,古文単語
あてなり,あてなり,上品だ・高貴だ,「あてなり」は「上品だ」「高貴だ」「優雅だ」の意。「貴なり」と書く。身分の高さや品格を表す。「あてなる人」などの形。,上品|高貴|優雅|貴なり,平安時代,古文単語
きよげなり,きよげなり,上品だ・美しい,「きよげなり」は「上品だ」「美しい」「清らかだ」の意。清潔で端正な美しさを表す。「きよげなる姿」などの形。視覚的な美を強調。,上品|美しい|清らか|視覚的美,平安時代,古文単語
めづらし,めずらし,珍しい・新鮮だ,「めづらし」は「珍しい」「新鮮だ」「すばらしい」の意。現代語とほぼ同じだが賞賛の意味も含む。「めづらしき花」などの形。滅多にないものへの評価。,珍しい|新鮮|すばらしい|賞賛,平安時代,古文単語
ねんごろなり,ねんごろなり,心がこもっている・親しい,「ねんごろなり」は「心がこもっている」「親しい」「熱心だ」の意。「懇ろ」と書く。「ねんごろに語らふ」などの形。誠実で丁寧な様子を表す。,心がこもる|親しい|熱心|誠実,平安時代,古文単語
はかなし,はかなし,頼りない・むなしい,「はかなし」は「頼りない」「むなしい」「はかない」の意。「果無し」が語源。一時的で消え去りやすいものを表す。無常観を示す重要語。,頼りない|むなしい|はかない|無常観,平安時代,古文単語
たのもし,たのもし,頼もしい・心強い,「たのもし」は「頼もしい」「心強い」「信頼できる」の意。現代語とほぼ同じ。「たのもしき人」などの形。信頼感を表す重要語。,頼もしい|心強い|信頼できる|現代語同じ,平安時代,古文単語
こころづきなし,こころずきなし,気に入らない・不愉快だ,「こころづきなし」は「気に入らない」「不愉快だ」「気にくわない」の意。心が引かれない、の意。「心憂し」より軽い否定的感情。,気に入らない|不愉快|気にくわない|否定感情,平安時代,古文単語
こころうし,こころうし,つらい・いやだ,「こころうし」は「つらい」「いやだ」「情けない」の意。「心憂し」と書く。心が痛む、の意。強い精神的苦痛を表す。「こころうく思ふ」の形。,つらい|いやだ|情けない|精神的苦痛,平安時代,古文単語
すさまじ,すさまじ,興ざめだ・殺風景だ,「すさまじ」は「興ざめだ」「殺風景だ」「がっかりだ」の意。期待外れや白けた気持ちを表す。枕草子「すさまじきもの」の段が有名。,興ざめ|殺風景|がっかり|枕草子,平安時代,古文単語
ゆゆし,ゆゆし,恐ろしい・不吉だ,「ゆゆし」は「恐ろしい」「不吉だ」「はなはだしい」の意。忌み嫌うべきもの、神聖で近づきがたいものを表す。「ゆゆしき御夢」などの形。,恐ろしい|不吉|はなはだしい|神聖,平安時代,古文単語
おろかなり,おろかなり,いいかげんだ・並大抵でない,「おろかなり」は「いいかげんだ」「並大抵でない」の意。二つの正反対の意味を持つ。文脈判断が必要。「おろかならず」は並大抵でない、の意。,いいかげん|並大抵でない|二義|文脈判断,平安時代,古文単語
たいだいし,たいだいし,いいかげんだ・粗略だ,「たいだいし」は「いいかげんだ」「粗略だ」「無造作だ」の意。「大々し」が語源。軽率でいいかげんな様子を表す。否定的評価。,いいかげん|粗略|無造作|軽率,平安時代,古文単語
こころにくし,こころにくし,奥ゆかしい・上品だ,「こころにくし」は「奥ゆかしい」「上品だ」「心惹かれる」の意。心が遠い、の意から。すべてを見せない品格を表す。平安貴族の美意識。,奥ゆかしい|上品|心惹かれる|品格,平安時代,古文単語
らうたし,らうたし,かわいい・いとしい,「らうたし」は「かわいい」「いとしい」「愛らしい」の意。「うつくし」より強い愛情を表す。子供や小動物への愛情表現。,かわいい|いとしい|愛らしい|強い愛情,平安時代,古文単語
まばゆし,まばゆし,まぶしい・きらびやかだ,「まばゆし」は「まぶしい」「きらびやかだ」「見事すぎて見ていられない」の意。現代語とほぼ同じ。「まばゆき光」などの形。,まぶしい|きらびやか|見事|現代語同じ,平安時代,古文単語
はづかし,はずかし,立派だ・気後れする,「はづかし」は「立派だ」「気後れする」「恥ずかしい」の意。相手が優れていて自分が気後れする、の意が原義。現代語の「恥ずかしい」とは微妙に異なる。,立派|気後れ|恥ずかしい|現代語と違う,平安時代,古文単語
こころぐるし,こころぐるし,気の毒だ・心苦しい,「こころぐるし」は「気の毒だ」「心苦しい」「かわいそうだ」の意。「心苦し」と書く。同情や罪悪感を表す。「いとほし」と類義。,気の毒|心苦しい|かわいそう|同情,平安時代,古文単語
あぢきなし,あじきなし,つまらない・どうしようもない,「あぢきなし」は「つまらない」「どうしようもない」「無益だ」の意。価値がない、の意。「あぢきなく思ふ」などの形。無力感を表す。,つまらない|どうしようもない|無益|無力感,平安時代,古文単語
