語句,読み,意味,解説,関連事項,例文1,例文2
不知,しらず,知らない,「不」は否定、「知」は知る。「不レ知」と書き「知らず」と読む。最も基本的な否定表現。例文：「吾不レ知」→「吾知らず」（私は知らない）。,基本構文,吾不レ知（しらず）＜私は知らない＞【漢文】,
無人,ひとなし,人がいない,「無」は「ない」の意味。「無レ人」と書き「人なし」と読む。存在の否定。例文：「室中無レ人」→「室中に人なし」（部屋の中に人がいない）。,基本構文,室中無レ人（ひとなし）＜部屋の中に人がいない＞【漢文】,
非我,われにあらず,私ではない,「非」は名詞の否定。「非レ我」で「我にあらず」と読む。例文：「此非レ我之過」→「これは我が過ちに非ず」（これは私の過ちではない）。,基本構文,此非レ我之過（われにあらず）＜これは私の過ちではない＞【漢文】,
莫笑,わらうなかれ,笑うな,「莫」は禁止。「莫レ笑」で「笑うなかれ」。例文：「莫レ笑人」→「人を笑うなかれ」（人を笑ってはいけない）。,基本構文,莫レ笑人（わらうなかれ）＜人を笑ってはいけない＞【漢文】,
如山,やまのごとし,山のようだ,「如」は比喩。「如レ山」で「山のごとし」。例文：「其志如レ山」→「その志、山の如し」（その意志は山のように堅固だ）。,基本構文,其志如レ山（やまのごとし）＜その意志は山のように堅固だ＞【漢文】,
生於貧,まずしきにうまる,貧しい家に生まれる,「於」は場所を表す前置詞。「生於レ貧」→「貧しきに生まる」。順序：生（生まる）＋於レ（〜に）＋貧（貧しき）。,基本構文,,
未読書,いまだしょをよまず,まだ本を読んでいない,再読文字「未」の例。「未二読一レ書」→「いまだ書を読まず」。一度目「いまだ」、二度目「ず」と読む。例：「我未レ見」→「我いまだ見ず」。,再読文字,我未レ見（いまだしょをよまず）＜我いまだ見ず＞【漢文】,
将帰故郷,まさにこきょうにかえらんとす,今にも故郷に帰ろうとする,再読文字「将」の例。「将二帰一レ故郷」→「まさに故郷に帰らんとす」。一度目「まさに」、二度目「〜んとす」。近い未来を表す。,再読文字,,
当学,まさにまなぶべし,当然学ぶべきだ,再読文字「当」の例。「当レ学」→「まさに学ぶべし」。義務や当然性。「須」より一般的な義務表現。,再読文字,,
須努力,すべからくどりょくすべし,ぜひとも努力すべきだ,再読文字「須」の例。「須レ努力」→「すべからく努力すべし」。強い義務。「当」より強制力が強い表現。,再読文字,,
宜早,よろしくはやくすべし,早くするのがよい,再読文字「宜」の例。「宜レ早」→「よろしく早くすべし」。適切さの表現。助言や推奨のニュアンス。,再読文字,,
何為,なにをかなさん,何をしようか,疑問詞「何」の例。「何為」→「何をか為さん」。反語的に使われることも多い。「何ぞ〜せん」で「どうして〜しようか（いや、しない）」。,疑問,,
安得,いずくんぞえん,どうして得られようか,疑問詞「安」の例。「安得」→「いずくんぞ得ん」。反語表現が多い。「どうして〜できようか（いや、できない）」という意味。,疑問,,
胡不帰,なんぞかえらざる,どうして帰らないのか,疑問詞「胡」の例。「胡不レ帰」→「なんぞ帰らざる」。反語で勧誘を表す。「帰るべきだ」という意味を含む。,疑問,,
読書,しょをよむ,本を読む,「読二書一」または「読レ書」。返り点の基本。「読」（動詞）＋「書」（目的語）の語順を返して日本語順に。,語順,,
読二中国之書一,ちゅうごくのしょをよむ,中国の本を読む,長い修飾語の例。「読二中国之書一」→「中国の書を読む」。「之」は「の」と読む連体修飾語の助詞。,語順,,
不二見一レ月,つきをみず,月を見ない,否定＋返り点の例。「不二見一レ月」→「月を見ず」。「不」（否定）＋「見」（動詞）＋「月」（目的語）。,否定,,
無二読一レ書之人,しょをよむのひとなし,本を読む人がいない,存在否定の例。「無二読一レ書之人」→「書を読むの人なし」。「之」で連体修飾。「読書する人」が存在しないという意味。,否定,,
生於二中国一,ちゅうごくにうまる,中国に生まれる,「生於二中国一」→「中国に生まる」。「於」の後に場所を示す語が来る。前置詞の基本的な使い方。,前置詞,,
居於二京都一,きょうとにおる,京都にいる,「居於二京都一」→「京都に居る」。「居」は住む、いるの意味。「於」＋場所で「〜に」。,前置詞,,
如二夢一,ゆめのごとし,夢のようだ,「如二夢一」→「夢のごとし」。比喩表現。人生のはかなさを表現する際によく使われる。例：「人生如レ夢」。,比喩,,
若二春風一,しゅんぷうのごとし,春風のようだ,「若二春風一」→「春風の如し」。「若」も「如」と同じく比喩を表す。優しく暖かいものの例えとして使われる。,比喩,,
知之,これをしる,これを知る,「知レ之」→「これを知る」。「之」は目的語の代名詞「これ・それ」。最頻出の構文。,代名詞,,
読其書,そのしょをよむ,その本を読む,「読二其書一」→「その書を読む」。「其」は指示代名詞「その」。三人称所有を表すことが多い。,代名詞,,
此我之友,これわがともなり,これは私の友人だ,「此我之友」→「これ我が友なり」。「此」は指示代名詞「この・これ」。「之」は所有・連体修飾の助詞。,代名詞,,
美哉,うつくしきかな,美しいことだ,「美哉」→「美しきかな」。詠嘆の助詞「哉」。深い感動を表す。漢詩の結句によく現れる。,助詞,,
足矣,たれり,十分だ,「足矣」→「足れり」。断定の助詞「矣」。「十分である、満足だ」の意味。完了や確定を表す。,助詞,,
学者也,がくしゃなり,学者である,「学者也」→「学者なり」。断定の助詞「也」。「A＋也」で「Aである」。判断を表す。,助詞,,
然乎,しかるか,そうだろうか,「然乎」→「然るか」。疑問の助詞「乎」。文末に置いて疑問文を作る。「〜か」「〜や」と読む。,助詞,,
孔子曰,こうしいわく,孔子が言うには,「孔子曰」→「孔子曰く」。「曰」は「いわく」と読む言う動詞。引用文の前に使う。漢文の常套句。,常套句,,
書曰,しょにいわく,書物に言うには,「書曰」→「書に曰く」。古典を引用する際の決まり文句。「古典にはこう書かれている」という意味。,常套句,,
古人云,こじんいわく,昔の人が言うには,「古人云」→「古人云く」。「云」も「いわく」と読む。先人の言葉を引用する表現。,常套句,,
老子曰,ろうしいわく,老子が言うには,「老子曰」→「老子曰く」。道家の思想家老子の言葉を引用。「道徳経」からの引用が多い。,常套句,,
論語曰,ろんごにいわく,論語に言うには,「論語曰」→「論語に曰く」。孔子の言行録「論語」からの引用を示す表現。,常套句,,
春夜喜雨,しゅんやきう,春の夜の恵みの雨,杜甫の五言律詩の題名。春の夜に降る待望の雨を喜ぶ詩。「好雨知時節」（好雨は時節を知る）で始まる名作。,漢詩,,
春望,しゅんぼう,春の眺め,杜甫の五言律詩。安史の乱で荒廃した長安を嘆く詩。「国破山河在」（国破れて山河在り）で有名。憂国の情を詠う。,漢詩,,
静夜思,せいやし,静かな夜の思い,李白の五言絶句。故郷を思う詩。「挙頭望山月　低頭思故郷」（頭を挙げて山月を望み　頭を低れて故郷を思う）。,漢詩,,
