語句,読み,意味,解説,関連事項,例文1,例文2
一二点,いちにてん,漢文の返り点の一つ。「一」を先に「二」を後に読む,返り点は漢文を日本語の語順で読むための記号。一二点は近い距離の返り読みに使用する。例：「読書一」→「書を読む」。レ点よりも離れた文字を返す際に用いる。,返り点,読書一（-）＜書を読む＞【漢文】,
上下点,じょうげてん,漢文の返り点の一つ。「上」を先に「下」を後に読む,一二点よりも広い範囲の返り読みに使用する返り点。「上」→「下」の順に読む。さらに広範囲の場合は甲乙点（甲→乙）を使用する。三つ以上の返り読みがある場合に階層的に使い分ける。,返り点,,
甲乙点,こうおつてん,漢文の返り点の一つ。「甲」を先に「乙」を後に読む,上下点よりもさらに広い範囲の返り読みに使用する返り点。「甲」→「乙」→「丙」→「丁」の順。最も外側の大きな括りとして使用される。複雑な文構造で複数の返り読みを整理するために必要。,返り点,,
レ点,れてん,すぐ下の字を先に読んで返る記号,最も基本的な返り点。すぐ下の一字だけを返して読む。例：「見レ月」→「月を見る」。レは「返」の草書体に由来。隣接した二字の語順を入れ替える最小単位の返り点。,返り点,見レ月（-）＜月を見る＞【漢文】,
未,いまダ〜ず,まだ〜しない（未然の否定）,再読文字の一つ。一度目は「いまだ」、二度目は「ず」と読む。例：「未レ知」→「いまだ知らず」。まだその行為や状態に至っていないことを表す。否定の副詞「未だ」と否定の助動詞「ず」の組み合わせ。,再読文字,未レ知（-）＜いまだ知らず＞【漢文】,
将,まさニ〜んとス,今にも〜しようとする,再読文字の一つ。一度目は「まさに」、二度目は「〜んとす」と読む。例：「将レ帰」→「まさに帰らんとす」。これから行おうとする意志や、そうなりそうな状態を表す。推量の意味を含む。,再読文字,将レ帰（-）＜まさに帰らんとす＞【漢文】,
当,まさニ〜べシ,当然〜すべきである,再読文字の一つ。一度目は「まさに」、二度目は「べし」と読む。例：「当レ行」→「まさに行くべし」。義務や当然性を表す。道理として行うべきことを示す。,再読文字,当レ行（-）＜まさに行くべし＞【漢文】,
須,すべから〜べシ,ぜひとも〜すべきである,再読文字の一つ。一度目は「すべからく」、二度目は「べし」と読む。例：「須レ学」→「すべからく学ぶべし」。強い義務や必要性を表す。「当」よりも強い意味合い。,再読文字,須レ学（-）＜すべからく学ぶべし＞【漢文】,
宜,よろシ〜べシ,〜するのがよい,再読文字の一つ。一度目は「よろしく」、二度目は「べし」と読む。例：「宜レ早」→「よろしく早くすべし」。適切さや妥当性を表す。「〜するのが適当だ」という意味。,再読文字,宜レ早（-）＜よろしく早くすべし＞【漢文】,
猶,なホ〜ごとシ,なお〜のようだ,再読文字の一つ。一度目は「なお」、二度目は「ごとし」と読む。例：「猶レ昔」→「なお昔のごとし」。依然として前の状態が続いていることを表す。比喩や例えを伴うことが多い。,再読文字,猶レ昔（-）＜なお昔のごとし＞【漢文】,
盍,なんゾ〜ざル,どうして〜しないのか,反語を表す再読文字。一度目は「なんぞ」、二度目は「ざる」と読む。例：「盍レ帰」→「なんぞ帰らざる」。「〜しないのはおかしい」という意味で、実質的には勧誘を表す。,再読文字,盍レ帰（-）＜なんぞ帰らざる＞【漢文】,
不,〜ず,〜ない（打消）,否定を表す基本的な文字。「ず」と読む。例：「不レ知」→「知らず」。最も一般的な否定表現。英語のnotに相当。動詞や形容詞を否定する。,否定,不レ知（-）＜知らず＞【漢文】,
非,〜にあらず,〜ではない,名詞や代名詞を否定する文字。「あらず」と読む。例：「非レ人」→「人にあらず」。「不」は動詞否定、「非」は名詞否定と使い分ける。英語のis notに相当。,否定,非レ人（-）＜人にあらず＞【漢文】,
無,〜なシ,〜がない、〜しない,存在の否定や動作の否定を表す。「なし」と読む。例：「無レ友」→「友なし」。持っていない、存在しないという意味。「不」より存在自体の否定が強い。,否定,無レ友（-）＜友なし＞【漢文】,
莫,〜なかレ,〜するな（禁止）,禁止を表す文字。「なかれ」と読む。例：「莫レ笑」→「笑うなかれ」。相手に対して行為を禁止する命令文。「勿」も同様の用法。,禁止,莫レ笑（-）＜笑うなかれ＞【漢文】,
勿,〜なかレ,〜するな（禁止）,禁止を表す文字。「なかれ」と読む。例：「勿レ言」→「言うなかれ」。「莫」とほぼ同じ意味。やや柔らかい禁止表現として使われることもある。,禁止,勿レ言（-）＜言うなかれ＞【漢文】,
如,〜ごとシ,〜のようだ,比喩・比況を表す文字。「ごとし」と読む。例：「如レ雲」→「雲のごとし」。「AがBのようだ」という直喩表現。類似性を示す。,比喩,如レ雲（-）＜雲のごとし＞【漢文】,
