語句,読み,意味,語源等解説,関連語,関連分野,難易度
able,エ́イブル,〜できる,ラテン語の "habilis"(扱いやすい)が語源。同じ語源を持つ単語に "ability(アビ́リティ): 能力" がある。,"can(キャ́ン): 〜できる, possible(ポ́ッシブル): 可能な",状態,初級
about,アバ́ウト,〜について,古英語の "onbūtan"(周りに)が語源。,"on(オ́ン): 〜の上に, of(オ́ヴ): 〜の",前置詞,初級
above,アバ́ヴ,〜の上に,古英語の "abufan" が語源。,"over(オ́ーヴァー): 〜の上に, below(ビロ́ウ): 〜の下に",前置詞,初級
accept,アクセ́プト,受け入れる,ラテン語の "accipere"(受け取る)が語源。"ad-"(〜へ)と "capere"(つかむ)から。同じ語源を持つ単語に "capture(キャ́プチャー): 捕らえる" がある。,"receive(レシーヴ): 受け取る, refuse(リフューズ): 拒否する",動作,初級
across,アクロ́ス,横切って,古フランス語の "a croix"(十字に)が語源。,"through(スルー): 通り抜けて, over(オ́ーヴァー): 超えて",前置詞,初級
act,ア́クト,行動する,ラテン語の "agere"(行う)が語源。同じ語源を持つ単語に "action(ア́クション): 行動" がある。,"do(ドゥ́): する, move(ム́ーヴ): 動く",動作,初級
add,ア́ッド,加える,ラテン語の "addere" が語源。"ad-"(〜へ)と "dare"(与える)から。,"subtract(サブトラ́クト): 引く, increase(インクリ́ース): 増やす",動作,初級
afraid,アフレ́イド,恐れて,古英語の "āfǣran"(怖がらせる)が語源。,"scared(スケ́アド): 怖がって, fearful(フィ́アフル): 恐れている",感情,初級
after,ア́フター,〜の後で,古英語の "æfter" が語源。,"before(ビフォ́ー): 〜の前に, later(レ́イター): 後で",時間,初級
again,アゲ́イン,再び,古英語の "ongean"(反対側に)が語源。,"once more(ワ́ンスモ́ア): もう一度, repeat(リピ́ート): 繰り返す",副詞,初級
age,エ́イジ,年齢,ラテン語の "aevum"(時代)が語源。,"old(オ́ウルド): 年老いた, young(ヤ́ング): 若い",名詞,初級
ago,アゴ́ウ,〜前に,古英語の "āgān"(過ぎ去る)が語源。,"before(ビフォ́ー): 以前に, past(パ́スト): 過去",時間,初級
agree,アグリ́ー,同意する,ラテン語の "gratus"(心地よい)が語源。"ad-"(〜へ)と "gratus" から。,"disagree(ディスアグリ́ー): 反対する, accept(アクセ́プト): 受け入れる",思考,初級
air,エ́アー,空気,ギリシャ語の "aēr" が語源。,"wind(ウィ́ンド): 風, sky(スカ́イ): 空",自然,初級
all,オ́ール,すべての,古英語の "eall" が語源。,"every(エ́ヴリ): すべての, none(ナ́ン): 何もない",限定詞,初級
allow,アラ́ウ,許す,ラテン語の "allaudare"(称賛する)が語源。意味が変化した。,"permit(パーミ́ット): 許可する, forbid(フォービ́ッド): 禁じる",動作,初級
almost,オ́ールモウスト,ほとんど,古英語の "eallmǣst"(すべて最も)が語源。,"nearly(ニ́アリ): ほとんど, just about(ジャ́ストアバ́ウト): ほぼ",副詞,初級
alone,アロ́ウン,一人で, "all" と "one" から。,"lonely(ロ́ウンリ): 寂しい, together(トゥゲ́ザー): 一緒に",状態,初級
along,アロ́ング,〜に沿って,古英語の "andlang"(全体の長さ)が語源。,"with(ウィ́ズ): 〜と一緒に, beside(ビサ́イド): 〜のそばに",前置詞,初級
already,オールレ́ディ,すでに, "all" と "ready" から。,"yet(イェ́ット): まだ, now(ナ́ウ): 今",副詞,初級
also,オ́ールソウ,〜もまた,古英語の "ealswā"(全くそのように)が語源。,"too(トゥ́ー): 〜もまた, as well(アズウェ́ル): 同様に",副詞,初級
always,オ́ールウェイズ,いつも,古英語の "eallne weg"(すべての道)が語源。,"never(ネ́ヴァー): 決して〜ない, often(オ́フン): しばしば",頻度,初級
am,ア́ム,〜である,インド・ヨーロッパ祖語の "es-"(存在する)が語源。,"is(イ́ズ): 〜である, are(ア́ー): 〜である",動詞,初級
among,アマ́ング,〜の間で,古英語の "onmang"(群れの中に)が語源。,"between(ビトウィ́ーン): (二者の)間で, with(ウィ́ズ): 〜と一緒に",前置詞,初級
an,ア́ン,一つの, "one" と同じ語源。,"a(ア́): 一つの, the(ザ́): その",冠詞,初級
and,ア́ンド,そして,ゲルマン祖語の "andi" が語源。,"or(オ́ア): または, but(バ́ット): しかし",接続詞,初級
animal,ア́ニマル,動物,ラテン語の "anima"(生命、魂)が語源。,"plant(プラ́ント): 植物, human(ヒュ́ーマン): 人間",生物,初級
another,アナ́ザー,もう一つの, "an" と "other" から。,"other(ア́ザー): 他の, different(ディ́ファレント): 違う",限定詞,初級
answer,ア́ンサー,答える,古英語の "andswaru"(反対の誓い)が語源。,"question(クウェ́スチョン): 質問, reply(リプラ́イ): 返事する",伝達,初級
any,エ́ニ,いくつかの,古英語の "ǣnig" が語源。"one" から派生。,"some(サ́ム): いくつかの, no(ノ́ウ): 少しも〜ない",限定詞,初級
appear,アピア́ー,現れる,ラテン語の "apparere"(現れる)が語源。派生: apparent(アパ́レント): 明白な / appearance(アピア́ランス): 外見,"show(ショ́ウ): 示す, seem(スィ́ーム): 〜のように見える",状態,初級
apple,ア́ップル,りんご,古英語の "æppel" が語源。派生: applesauce(ア́ップルソース): りんごソース / apple tree(ア́ップルツリー): りんごの木,"fruit(フル́ート): 果物, pear(ペ́ア): 洋なし",食べ物,初級
arrive,アライ́ヴ,到着する,古フランス語の "arriver"(船が岸に着く)が語源。派生: arrival(アライ́ヴァル): 到着 / arrive at(アライ́ヴアット): 〜に到着する,"reach(リ́ーチ): 到着する, come(カ́ム): 来る",交通,初級
art,ア́ート,芸術,ラテン語の "ars"(技)が語源。派生: artist(ア́ーティスト): 芸術家 / artistic(アーティ́スティック): 芸術的な,"painting(ペ́インティング): 絵画, music(ミュ́ージック): 音楽",文化,初級
as,ア́ズ,〜なので・〜のように,古英語の "alswa" に由来する機能語。派生: as if(ア́ズイフ): まるで〜のように / as soon as(ア́ズスーンアズ): 〜するとすぐに,"since(シ́ンス): 〜なので, because(ビコ́ーズ): 〜なので",接続詞,初級
ask,ア́スク,たずねる,古英語の "ascian" が語源。派生: ask for(ア́スクフォア): 求める / asking(ア́スキング): 依頼,"inquire(インクワ́イア): 尋ねる, question(クウェ́スチョン): 質問する",伝達,初級
at,ア́ト,〜で,古英語の "æt" が語源(機能語)。派生: at least(ア́ットリースト): 少なくとも / at first(ア́ットファースト): 最初は,"in(イ́ン): 〜の中で, on(オ́ン): 〜の上で",前置詞,初級
