# 高校受験英単語プレースホルダ（本番ではここを全語彙に差し替え）
# フォーマット: word\t(optional_level)\t(optional_tags)
# level: B = Beginner, I = Intermediate, A = Advanced （未指定なら自動推定）
# 例: ability	I
ability	I
absorb	A
accept	B
achievement	I
active	B
adapt	I
address	I
advance	A
advice	B
affect	I
after	B
against	B
agree	B
allow	B
almost	B
amount	I
ancient	A
animal	B
announce	I
annual	A
answer	B
apply	I
approach	A
area	B
argue	I
arrive	B
art	B
article	I
attend	I
author	A
avoid	I
balance	I
basic	B
behavior	I
benefit	I
biology	A
body	B
build	B
calculate	A
career	I
carry	B
cause	B
challenge	I
change	B
character	I
choice	B
citizen	I
climate	I
collect	B
community	B
compare	I
complete	B
complex	A
computer	B
concern	I
confirm	I
connect	B
consider	I
consume	I
contact	B
contain	B
continue	B
control	B
culture	I
current	I
custom	I
cycle	A
daily	B
data	A
decade	A
decide	B
demand	I
develop	B
difference	B
direction	B
disappear	I
disease	I
distance	B
diverse	A
draw	B
drop	B
earth	B
education	I
effect	I
efficient	A
effort	B
enable	I
energy	I
environment	I
equal	I
event	B
everyday	B
evidence	I
example	B
exchange	I
experience	I
explain	B
fact	B
fail	B
familiar	I
fashion	I
feature	I
feel	B
field	I
focus	I
force	B
foreign	I
forest	B
future	B
gain	I
garden	B
gather	B
global	I
government	I
growth	I
habit	B
happen	B
health	B
heat	B
help	B
history	B
human	B
idea	B
impact	I
include	B
increase	B
industry	I
information	I
influence	I
interest	B
international	I
introduce	B
issue	I
item	B
judge	I
knowledge	I
labor	I
language	B
law	I
leader	I
learn	B
level	B
life	B
local	B
machine	I
maintain	I
manage	I
material	I
meaning	B
medical	I
memory	I
method	I
modern	I
moment	B
natural	B
necessary	B
negative	I
neighbor	B
network	I
object	B
observe	I
obtain	I
occasion	I
occur	I
ocean	I
offer	I
operate	I
opinion	B
option	I
order	B
organize	I
origin	I
other	B
patient	I
pattern	I
perform	I
period	B
physical	I
planet	I
plastic	I
population	I
possible	B
practice	B
prepare	B
present	B
pressure	I
prevent	I
problem	B
process	I
produce	B
protect	B
provide	B
public	I
purpose	I
quality	I
question	B
raise	B
range	I
rate	I
reason	B
receive	B
recent	I
record	I
reduce	I
region	I
relationship	I
remove	I
report	B
require	I
resource	I
respect	I
result	B
risk	I
role	I
rule	B
science	I
season	B
search	I
section	I
select	I
sense	B
separate	I
service	I
shape	B
share	B
sign	B
similar	B
simple	B
skill	B
society	I
solution	I
source	I
space	B
stage	I
standard	I
store	B
story	B
stress	I
structure	I
student	B
study	B
subject	B
success	B
suggest	I
support	B
system	I
task	I
technology	I
temperature	I
term	I
theme	I
theory	I
thing	B
thought	B
time	B
tool	B
topic	I
tradition	I
travel	B
trend	I
value	I
variety	I
view	I
village	B
voice	I
volunteer	I
waste	I
water	B
weather	B
weight	B
while	B
wildlife	I
wind	B
wonder	B
word	B
work	B
world	B
write	B
# 以降に本番の語彙を追加してください
