語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
徳川家康,とくがわいえやす,江戸幕府を開いた人物,徳川家康は1603年に江戸幕府を開き、約260年間続く江戸時代の基礎を築いた。織田信長・豊臣秀吉とともに三英傑の一人と呼ばれる。,関ヶ原の戦い|大坂の陣|幕藩体制,歴史-近世,人物名,,2
明治維新,めいじいしん,江戸幕府の終わりから明治政府の成立,明治維新は1868年に起こった大きな変革で、江戸幕府が倒れ、明治天皇を中心とする新政府ができた。日本の近代化が始まった。,大政奉還|王政復古|廃藩置県,歴史-近代,出来事,,3
北海道,ほっかいどう,日本最北の都道府県,北海道は日本の最北に位置し、面積が最も大きい都道府県。稲作の北限があり、札幌市がある。,札幌市|石狩平野|アイヌ文化,地理-日本,地名,,1|2
三権分立,さんけんぶんりつ,立法・行政・司法の三つの権力を分ける仕組み,三権分立は国の権力を3つに分けることで、お互いに抑制し合い、権力の集中や独裁を防ぐ民主主義の重要な原則。,国会|内閣|裁判所,公民-政治,制度概念,,3
人権,じんけん,人間が生まれながらに持つ権利,人権とはすべての人が生まれながらにして持つ、平等で自由な権利。日本国憲法で基本的人権として保障されている。,基本的人権|自由権|社会権,公民-人権,制度概念,,3
室町幕府,むろまちばくふ,足利尊氏が開いた幕府,室町幕府は1336年に足利尊氏が京都に開いた武家政権。京都の室町に幕府が置かれたことから室町幕府と呼ばれ、約240年間続いた。,足利尊氏|金閣寺|銀閣寺,歴史-中世,制度概念,,2
石狩平野,いしかりへいや,北海道の中央部にある平野,石狩平野は石狩川流域に広がる平野で、稲作や畑作が盛ん。北海道の中心都市である札幌市もこの平野にある。,石狩川|札幌市|北海道,地理-日本,地名,,1|2
元寇,げんこう,モンゴル帝国が日本を攻めた事件,元寇は1274年（文永の役）と1281年（弘安の役）の2回にわたり、元（モンゴル）が日本を攻めた事件。台風（神風）により撃退された。,フビライ・ハン|北条時宗|神風,歴史-中世,出来事,,2
国会,こっかい,日本の立法機関,国会は日本国憲法で定められた唯一の立法機関。衆議院と参議院の二院制で構成される。,立法権|衆議院|参議院,公民-政治,制度概念,,3
富士山,ふじさん,日本最高峰の山,富士山は標高3776メートルで日本最高峰の山。静岡県と山梨県にまたがる活火山で、世界文化遺産に登録されている。,3776m|活火山|世界遺産,地理-日本,地名,,1|2
縄文時代,じょうもんじだい,歴史,約1万2000年前から約2300年前まで続いた時代。縄目の文様がある縄文土器が特徴。竪穴住居に住み、狩猟・採集生活を送った。,弥生時代|縄文土器|竪穴住居,歴史-古代,出来事,,1
弥生時代,やよいじだい,歴史,約2300年前から約1700年前まで続いた時代。大陸から稲作と金属器が伝わった。弥生土器を使用し、高床倉庫で米を保管した。身分の差が生まれ、クニができた。,縄文時代|古墳時代|稲作,歴史-古代,出来事,,1
邪馬台国,やまたいこく,歴史,3世紀頃に存在したと考えられる国。女王卑弥呼が鬼道で人々を治めた。中国の歴史書『魏志倭人伝』に記録されている。場所は近畿説と九州説がある。,卑弥呼|魏志倭人伝|古墳時代,歴史-古代,地名,,1
古墳時代,こふんじだい,歴史,3世紀後半から7世紀頃の時代。有力者の墓として前方後円墳などの大型古墳が造られた。大和朝廷が勢力を拡大し、日本統一が進んだ。,前方後円墳|大和朝廷|古墳,歴史-古代,出来事,,1
聖徳太子,しょうとくたいし,歴史,飛鳥時代の政治家。推古天皇の摂政として活躍。冠位十二階で才能ある人材を登用し、十七条の憲法で役人の心得を示した。遣隋使を派遣し、中国の文化を学んだ。,冠位十二階|十七条の憲法|遣隋使,歴史-古代,人物名,,1
大化の改新,たいかのかいしん,歴史,645年に始まった日本初の本格的な政治改革。蘇我氏を倒し、天皇中心の政治を目指した。公地公民制を導入し、戸籍・班田収授法を整備した。,中大兄皇子|中臣鎌足|蘇我氏,歴史-古代,その他,,1
奈良時代,ならじだい,歴史,710年から794年までの約80年間。平城京（奈良）に都が置かれた。聖武天皇が国分寺や東大寺の大仏を造り、仏教の力で国を治めようとした。『古事記』『日本書紀』が編纂された。,平城京|聖武天皇|東大寺,歴史-古代,出来事,,1
平安時代,へいあんじだい,歴史,794年から1185年までの約400年間。桓武天皇が平安京（京都）に都を移した。藤原氏が摂関政治で権力を握り、国風文化が発展。かな文字が生まれ、『源氏物語』『枕草子』が書かれた。,平安京|藤原氏|国風文化,歴史-古代,出来事,,1
鎌倉幕府,かまくらばくふ,歴史,1185年に源頼朝が開いた日本初の武家政権。征夷大将軍に任命され、鎌倉に幕府を開いた。守護・地頭を置き、御恩と奉公の関係で武士を統治した。執権北条氏が実権を握った。,源頼朝|執権|御恩と奉公,歴史-中世,制度概念,,2
元寇,げんこう,歴史,1274年と1281年の2回、元（モンゴル）が日本を攻めた。執権北条時宗が防戦し、暴風雨（神風）もあって撃退した。しかし恩賞が不十分で御家人の生活が苦しくなり、幕府の衰退につながった。,元|北条時宗|神風,歴史-中世,人物名,,2
室町幕府,むろまちばくふ,歴史,1336年に足利尊氏が開いた武家政権。京都の室町に幕府を置いた。3代将軍足利義満が南北朝を統一し、金閣を建てた。8代将軍足利義政の時代に応仁の乱が起き、戦国時代へと続いた。,足利尊氏|金閣|応仁の乱,歴史-中世,制度概念,,2
