語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
十七条の憲法,じゅうしちじょうのけんぽう,聖徳太子が制定した役人の心得,十七条の憲法は604年に聖徳太子が制定した役人の心得。「和を以て貴しとなす」「篤く三宝（仏法僧）を敬え」など17条からなる。法律ではなく道徳的な規範。仏教・儒教の思想が取り入れられ、天皇中心の政治を目指した。,聖徳太子|冠位十二階|飛鳥時代|仏教,歴史-古代,制度概念,,1
原爆投下,げんばくとうか,広島・長崎への原子爆弾投下,原爆投下は1945年8月にアメリカが広島（6日）と長崎（9日）に原子爆弾を投下した出来事。広島で約14万人、長崎で約7万人が犠牲となった。人類史上初めての核兵器使用。日本はポツダム宣言を受諾し終戦。核兵器廃絶運動の原点。,第二次世界大戦|ポツダム宣言|広島|長崎,歴史-現代,出来事,,3
団体交渉権,だんたいこうしょうけん,労働者が使用者と交渉する権利,団体交渉権は労働者が労働組合を通じて使用者（企業）と労働条件について交渉する権利。日本国憲法第28条で保障される労働基本権の一つ。団結権・団体行動権とともに労働三権を構成。労働条件の改善に不可欠。,労働基本権|労働三権|団結権|団体行動権,公民-政治,制度概念,,3
団体行動権,だんたいこうどうけん,労働者がストライキを行う権利,団体行動権は労働者が要求実現のためストライキ（同盟罷業）などの集団行動をとる権利。日本国憲法第28条で保障される労働基本権の一つ。団結権・団体交渉権とともに労働三権を構成。争議行為の正当性が認められる。,労働基本権|労働三権|団結権|ストライキ,公民-政治,制度概念,,3
団結権,だんけつけん,労働者が労働組合を結成する権利,団結権は労働者が労働組合を結成する権利。日本国憲法第28条で保障される労働基本権の一つ。団体交渉権・団体行動権とともに労働三権を構成。使用者（企業）との力の格差を埋め、対等な立場で交渉するために必要な権利。,労働基本権|労働三権|労働組合|団体交渉権,公民-政治,制度概念,,3
国家,こっか,領土・国民・政府を持つ政治組織,国家は一定の領土・国民・政府を持ち、主権を行使する政治組織。国際社会は約200の主権国家で構成される。近代国家では国民主権や立憲主義が基本原理。国家には国民の生命・財産を守り、公共サービスを提供する役割がある。,主権|主権国家|領土|国民主権,公民-国際,制度概念,,3
国連,こくれん,国際連合の略称,国連は1945年に設立された国際平和と安全保障を目的とする国際機関。本部はニューヨーク。193か国が加盟（2020年時点）。安全保障理事会（常任理事国5か国）が中心。PKO（国連平和維持活動）を展開。日本は1956年に加盟。,国際連合|安全保障理事会|PKO|常任理事国,公民-国際,制度概念,,3
国際協力,こくさいきょうりょく,国家間で協力すること,国際協力は地球規模の課題（環境・貧困・紛争など）に各国が協力して取り組むこと。ODA（政府開発援助）、技術協力、NGO活動などがある。日本も途上国支援や災害救援で国際協力を行う。SDGsの達成には国際協力が不可欠。,国際連合|ODA|NGO|SDGs,公民-国際,その他,,3
国際平和,こくさいへいわ,世界平和の実現,国際平和は戦争や紛争のない世界の実現。国際連合の最大の目的。日本国憲法も前文で国際平和を希求。集団安全保障、軍縮、紛争の平和的解決が重要。PKO、核兵器廃絶、対話外交などが手段。冷戦終結後も地域紛争が課題。,国際連合|PKO|軍縮|核兵器廃絶,公民-国際,制度概念,,3
国際法,こくさいほう,国家間の関係を規律する法,国際法は国家間の関係を規律する法の総称。条約（国際条約）と国際慣習法がある。国際司法裁判所が紛争を裁く。領土・海洋・戦争・人権などを規定。主権国家が対等な立場で合意することが基本。国連憲章も国際法の一つ。,国際条約|国際慣習法|国際司法裁判所|主権国家,公民-国際,制度概念,,3
