語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
コーヒー,こーひー,熱帯地域で栽培される嗜好飲料作物,ブラジル・コロンビア・ベトナムなどが主要生産国。プランテーション農業の代表的作物で、世界的な商品作物として重要。,プランテーション・熱帯農業・商品作物,地理-産業,用語,tokyo_shoseki,中学
スペイン語,すぺいんご,スペインや中南米諸国で話される言語,世界で4億人以上が使用する言語。ラテンアメリカの多くの国で公用語となっている。,ラテンアメリカ・公用語・国際言語,地理-世界,用語,tokyo_shoseki,中学
バンパ,ばんぱ,アルゼンチンの大草原地帯,南米のアルゼンチン中部に広がる温帯草原。牧畜業が盛んで、小麦栽培も行われる。,アルゼンチン・草原・牧畜,地理-世界,用語,tokyo_shoseki,中学
ポルトガル語,ぽるとがるご,ポルトガルやブラジルで話される言語,ブラジルの公用語。世界で約2億人が使用する。ポルトガルの植民地支配により広まった。,ブラジル・公用語・植民地,地理-世界,用語,tokyo_shoseki,中学
三大原則,さんだいげんそく,日本国憲法の三つの基本原則,国民主権・基本的人権の尊重・平和主義の三つ。日本国憲法の根幹をなす原則。,日本国憲法・国民主権・基本的人権・平和主義,公民-政治,用語,tokyo_shoseki,中学
二院制,にいんせい,国会が衆議院と参議院の2つの議院から構成される制度,日本の国会は二院制を採用。衆議院の優越が認められている。慎重な審議と多様な民意の反映が目的。,国会・衆議院・参議院・議院内閣制,公民-政治,用語,tokyo_shoseki,中学
人権尊重,じんけんそんちょう,すべての人の基本的人権を尊重すること,日本国憲法の三大原則の一つ。人間の尊厳を守り、自由や平等を保障することが民主主義の基礎。,基本的人権・日本国憲法・民主主義,公民-人権,用語,tokyo_shoseki,中学
企業,きぎょう,利潤を目的として生産活動を行う組織,株式会社・合同会社などの形態がある。資本主義経済の中心的な経済主体。,資本主義・株式会社・経営・利潤,公民-経済,用語,tokyo_shoseki,中学
価格,かかく,商品やサービスの値段,需要と供給の関係で決まる。市場経済における重要な指標。物価の変動は経済に大きな影響を与える。,需要と供給・市場経済・物価,公民-経済,用語,tokyo_shoseki,中学
先住民,せんじゅうみん,ある地域に古くから住んでいる民族,アメリカ大陸のインディオ、オーストラリアのアボリジニなど。植民地支配により権利が侵害された歴史がある。,植民地・文化的多様性・人権,地理-世界,用語,tokyo_shoseki,中学
先進国,せんしんこく,経済が高度に発展した国々,工業化が進み、国民の生活水準が高い国。G7（主要7か国）などが代表例。,経済発展・工業化・G7,地理-世界,用語,tokyo_shoseki,中学
内閣府,ないかくふ,内閣の重要政策を企画立案する機関,内閣総理大臣を長とし、経済財政政策や少子化対策などを担当。2001年の中央省庁再編で設置。,内閣・中央省庁・行政機関,公民-政治,用語,tokyo_shoseki,中学
刑事裁判,けいじさいばん,犯罪の有無と刑罰を決める裁判,検察官が被告人を起訴し、裁判所が有罪か無罪かを判断。無罪の推定の原則がある。,裁判所・検察官・被告人・刑罰,公民-政治,用語,tokyo_shoseki,中学
利潤,りじゅん,企業の収入から費用を引いた残りの利益,企業活動の目的。利潤を追求することで経済が発展する。適正な利潤は企業の存続に必要。,企業・経営・収益,公民-経済,用語,tokyo_shoseki,中学
唯一の立法機関,ゆいいつのりっぽうきかん,法律を制定できる唯一の機関としての国会,憲法第41条で規定。国会だけが法律を作ることができる。国民主権の原理に基づく。,国会・法律・国民主権・三権分立,公民-政治,用語,tokyo_shoseki,中学
国会議員,こっかいぎいん,国会を構成する議員,衆議院議員と参議院議員がいる。国民の代表として法律の制定や予算の議決などを行う。,国会・衆議院・参議院・選挙,公民-政治,用語,tokyo_shoseki,中学
国務大臣,こくむだいじん,内閣を構成する大臣,内閣総理大臣と各省の大臣など。国務大臣の過半数は国会議員でなければならない。,内閣・内閣総理大臣・議院内閣制,公民-政治,用語,tokyo_shoseki,中学
国権の最高機関,こっけんのさいこうきかん,国の権力の中で最も優位に立つ機関としての国会,憲法第41条で規定。国会は国民の代表機関であり、立法権を持つ。,国会・国民主権・三権分立,公民-政治,用語,tokyo_shoseki,中学
国民の権利と義務,こくみんのけんりとぎむ,憲法が定める国民の権利と義務,基本的人権が権利の中心。義務には納税・教育・勤労の義務がある。,日本国憲法・基本的人権・三大義務,公民-人権,用語,tokyo_shoseki,中学
国民の義務,こくみんのぎむ,憲法が定める国民の三つの義務,納税の義務・教育を受けさせる義務・勤労の義務の三つ。権利とともに国民に課される責任。,日本国憲法・納税・教育・勤労,公民-人権,用語,tokyo_shoseki,中学
国際分業,こくさいぶんぎょう,国際的な分業体制,各国が得意な産業に特化し、貿易で互いに補い合う。資源・技術・労働力の違いを活かす。,貿易・グローバル化・比較優位,公民-国際,用語,tokyo_shoseki,中学
国際慣習法,こくさいかんしゅうほう,国際的に繰り返し行われてきた慣行が法となったもの,明文化されていない国際法。条約とともに国際法の源泉。外交特権などが例。,国際法・条約・外交,公民-国際,用語,tokyo_shoseki,中学
国際紛争,こくさいふんそう,国家間の対立や争い,領土問題・資源問題・民族問題などが原因。国際連合などが平和的解決を目指す。,国際連合・領土問題・平和主義,公民-国際,用語,tokyo_shoseki,中学
地方公共団体,ちほうこうきょうだんたい,都道府県や市町村などの地方自治体,地方自治を行う団体。首長と議会を持ち、条例を制定できる。住民に身近な行政サービスを提供。,地方自治・都道府県・市町村・首長・議会,公民-政治,用語,tokyo_shoseki,中学
地方分権,ちほうぶんけん,国の権限を地方に移すこと,地方自治を強化し、地域の実情に合った行政を可能にする。1990年代以降、改革が進められた。,地方自治・地方公共団体・行政改革,公民-政治,用語,tokyo_shoseki,中学
地方税,ちほうぜい,地方公共団体が徴収する税,住民税・固定資産税・地方消費税など。地方自治体の財源となる。,地方自治・地方財政・住民税・固定資産税,公民-政治,用語,tokyo_shoseki,中学
地方裁判所,ちほうさいばんしょ,各都道府県に置かれる裁判所,第一審の裁判を主に扱う。民事・刑事の訴訟を審理。控訴審として簡易裁判所の判決を審理することもある。,裁判所・三審制・司法権,公民-政治,用語,tokyo_shoseki,中学
地方議会,ちほうぎかい,地方公共団体の議決機関,都道府県議会・市町村議会がある。条例の制定や予算の議決を行う。住民が直接選挙で議員を選ぶ。,地方自治・地方公共団体・首長・条例,公民-政治,用語,tokyo_shoseki,中学
大名,だいみょう,江戸時代の藩主,将軍から1万石以上の領地を与えられた武士。藩を統治し、参勤交代の義務を負った。,江戸時代・江戸幕府・藩・参勤交代,歴史-近世,用語,tokyo_shoseki,中学
契約,けいやく,当事者間の合意による法的な約束,売買・雇用・賃貸など様々な契約がある。契約自由の原則が基本だが、消費者保護の規制もある。,民法・消費者保護・権利と義務,公民-政治,用語,tokyo_shoseki,中学
市場,しじょう,商品やサービスが売買される場,需要と供給が出会い、価格が決まる。市場経済の中心的な仕組み。,市場経済・需要と供給・価格,公民-経済,用語,tokyo_shoseki,中学
市町村,しちょうそん,基礎的な地方公共団体,市・町・村の総称。住民に最も身近な行政を担当。保健・福祉・教育などのサービスを提供。,地方自治・地方公共団体・地方分権,公民-政治,用語,tokyo_shoseki,中学
悪質商法,あくしつしょうほう,消費者を騙す商売の手口,訪問販売・マルチ商法・キャッチセールスなど。消費者保護のため特定商取引法で規制。,消費者保護・特定商取引法・消費者庁,公民-経済,用語,tokyo_shoseki,中学
憲法改正,けんぽうかいせい,憲法の内容を変更すること,各議院の総議員の3分の2以上の賛成と国民投票での過半数の賛成が必要。硬性憲法の特徴。,日本国憲法・硬性憲法・国民投票,公民-政治,用語,tokyo_shoseki,中学
