語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
くさび形文字,くさびがたもじ,メソポタミア文明の文字,くさび形文字は古代メソポタミア文明で使われた文字。粘土板に楔（くさび）形の跡を付けて記録。シュメール人が発明し、バビロニア・アッシリアに継承された。世界最古の文字の一つ。ハンムラビ法典もくさび形文字で記された。,メソポタミア文明|四大文明|シュメール|粘土板,歴史-古代,その他,,1
アフリカ諸国,あふりかしょこく,アフリカ大陸の国々,アフリカ諸国はアフリカ大陸の約50か国の総称。多くが20世紀に植民地支配から独立。豊富な資源（石油・ダイヤモンド・レアメタル）を持つが、貧困・紛争・感染症が課題。サハラ砂漠以南のサブサハラ地域は特に発展が遅れる。,アフリカ|植民地|独立|サハラ砂漠,地理-世界,地名,,2
アメリカ,あめりか,アメリカ合衆国の略称,アメリカはアメリカ合衆国の略称。50州からなる連邦制国家。世界最大の経済・軍事大国。多民族国家で移民が多い。農業・工業・IT産業が発達。ニューヨーク、ロサンゼルスなどの大都市を持つ。日本とは日米安全保障条約で同盟関係。,アメリカ合衆国|ニューヨーク|連邦制|多民族国家,地理-世界,地名,,2
インダス文明,いんだすぶんめい,古代インドの文明,インダス文明は紀元前2500年頃にインダス川流域で栄えた古代文明。四大文明の一つ。モヘンジョダロ、ハラッパーなどの都市遺跡がある。計画的な都市設計、下水道完備が特徴。インダス文字は未解読。紀元前1800年頃に衰退。,四大文明|インダス川|モヘンジョダロ|古代文明,歴史-古代,出来事,,1
エジプト文明,えじぷとぶんめい,古代エジプトの文明,エジプト文明は紀元前3000年頃にナイル川流域で栄えた古代文明。四大文明の一つ。ピラミッド、スフィンクスなどの巨大建造物を建設。象形文字（ヒエログリフ）を使用。ファラオ（王）が神として統治。太陽暦を発明。,四大文明|ナイル川|ピラミッド|象形文字,歴史-古代,出来事,,1
エネルギー問題,えねるぎーもんだい,エネルギー資源の課題,エネルギー問題は石油・石炭などの化石燃料の枯渇、原子力発電の安全性、再生可能エネルギーの普及など。日本はエネルギー自給率が低く、資源の大半を輸入に依存。地球温暖化対策として脱炭素・再エネ拡大が課題。エネルギー安全保障も重要。,石油|再生可能エネルギー|原子力発電|地球温暖化,地理-環境,その他,,3
グレートプレーンズ,ぐれーとぷれーんず,北アメリカの大平原,グレートプレーンズはアメリカ中西部からカナダにかけて広がる大平原。小麦・とうもろこしの大規模農業地帯。機械化が進み、世界の穀倉地帯として重要。夏は高温、冬は厳寒の大陸性気候。ロッキー山脈の東側に位置する。,アメリカ合衆国|小麦地帯|大規模農業|プレーリー,地理-世界,地名,,2
ピラミッド,ぴらみっど,古代エジプトの巨大墓,ピラミッドは古代エジプトのファラオ（王）の墓として建造された巨大な四角錐の建造物。ギザの三大ピラミッド（クフ王、カフラー王、メンカウラー王）が有名。巨石を積み上げた高度な建築技術。世界七不思議の一つ。王の権力と来世信仰の象徴。,エジプト文明|クフ王|ギザ|古代エジプト,歴史-古代,その他,,1
プランテーション,ぷらんてーしょん,大規模な単一作物農園,プランテーションは熱帯・亜熱帯地域で欧米諸国が経営した大規模な単一作物農園。コーヒー、カカオ、綿花、天然ゴムなどを栽培。植民地時代に現地住民を低賃金労働者として使用。モノカルチャー経済（単一作物依存）の原因となった。,モノカルチャー|植民地|熱帯農業|単一作物,地理-世界,制度概念,,2
メソポタミア文明,めそぽたみあぶんめい,古代西アジアの文明,メソポタミア文明は紀元前3500年頃にティグリス・ユーフラテス川流域で栄えた古代文明。四大文明の一つ。シュメール人が都市国家を建設。くさび形文字、60進法、太陰暦を発明。ハンムラビ法典で知られるバビロニア王国も繁栄。,四大文明|ティグリス川|くさび形文字|ハンムラビ法典,歴史-古代,出来事,,1
一揆,いっき,農民の武力蜂起,一揆は中世から近世にかけて農民や武士が領主や幕府に対して起こした武力蜂起。鎌倉〜室町時代の土一揆、戦国時代の一向一揆（浄土真宗信徒）、江戸時代の百姓一揆が代表例。年貢軽減、借金帳消しなどを要求。織田信長は一向一揆を鎮圧。,百姓一揆|一向一揆|土一揆|室町時代,歴史-中世,出来事,,2
不平等条約,ふびょうどうじょうやく,対等でない国際条約,不平等条約は一方的に不利な条件を押し付けられた国際条約。日本は幕末に欧米諸国と結んだ条約（日米修好通商条約など）で、関税自主権がなく、領事裁判権を認めさせられた。明治政府は条約改正に尽力し、1911年に完全な対等条約を実現。,日米修好通商条約|関税自主権|領事裁判権|条約改正,歴史-近代,制度概念,,3
