語句,読み,意味,語源等解説,関連語,関連分野,難易度
arts and crafts,Arts And Crafts,工芸,arts and crafts の詳しい用法を追加してください。,,熟語,intermediate
e-mail,E-Mail,電子メール,e-mail の詳しい用法を追加してください。,,熟語,intermediate
fire station,Fire Station,消防署,fire station の詳しい用法を追加してください。,,熟語,intermediate
ice cream,Ice Cream,アイスクリーム,ice cream の詳しい用法を追加してください。,,熟語,intermediate
moral education,Moral Education,道徳教育,moral education の詳しい用法を追加してください。,,熟語,intermediate
police officer,Police Officer,警察官,police officer の詳しい用法を追加してください。,,熟語,intermediate
police station,Police Station,警察署,police station の詳しい用法を追加してください。,,熟語,intermediate
post office,Post Office,郵便局,post office の詳しい用法を追加してください。,,熟語,intermediate
social studies,Social Studies,社会科,social studies の詳しい用法を追加してください。,,熟語,intermediate
table tennis,Table Tennis,卓球,table tennis の詳しい用法を追加してください。,,熟語,intermediate
the U.K.,The U.K.,イギリス,the U.K. の詳しい用法を追加してください。,,熟語,intermediate
T-shirt,T-Shirt,Tシャツ,T-shirt の詳しい用法を追加してください。,,熟語,intermediate
a - amount of,A - Amount Of,かなりの量の,a - amount of の詳しい用法を追加してください。,,熟語,intermediate
a cup of,A Cup Of,一杯の,a cup of の詳しい用法を追加してください。,,熟語,intermediate
a few,A Few,少しの,a few の詳しい用法を追加してください。,,熟語,intermediate
a glass of,A Glass Of,一杯の,a glass of の詳しい用法を追加してください。,,熟語,intermediate
a kind of,A Kind Of,一種の,a kind of の詳しい用法を追加してください。,,熟語,intermediate
a little,A Little,少し,a little の詳しい用法を追加してください。,,熟語,intermediate
a lot,A Lot,たくさん,a lot の詳しい用法を追加してください。,,熟語,intermediate
a lot of,A Lot Of,多くの,a lot of の詳しい用法を追加してください。,,熟語,intermediate
a piece of,A Piece Of,一片の,a piece of の詳しい用法を追加してください。,,熟語,intermediate
a - variety of,A - Variety Of,様々な,a - variety of の詳しい用法を追加してください。,,熟語,intermediate
according to,According To,〜によれば,according to の詳しい用法を追加してください。,,熟語,intermediate
after a while,After A While,しばらくして,after a while の詳しい用法を追加してください。,,熟語,intermediate
after all,After All,結局,after all の詳しい用法を追加してください。,,熟語,intermediate
after school,After School,放課後,after school の詳しい用法を追加してください。,,熟語,intermediate
agree with,Agree With,〜に同意する,agree with の詳しい用法を追加してください。,,熟語,intermediate
all over,All Over,至る所に,all over の詳しい用法を追加してください。,,熟語,intermediate
all over the world,All Over The World,世界中に,all over the world の詳しい用法を追加してください。,,熟語,intermediate
All right.,All Right.,大丈夫,All right. の詳しい用法を追加してください。,,熟語,intermediate
all the time,All The Time,いつも,all the time の詳しい用法を追加してください。,,熟語,intermediate
and so on,And So On,など,and so on の詳しい用法を追加してください。,,熟語,intermediate
